source	target	path	descent	paths	nodes	ratio	bdd_nodes
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	Automata16S.ltl	real	input	4	4	1.0	478
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	Automata16S.ltl	real	output	491	43	11.418604651162791	478
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	FelixSpecFixed2_fa4d4ce3.ltl	unreal-formula	input	138022	2	69011.0	55
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	FelixSpecFixed2_fa4d4ce3.ltl	unreal-formula	output	138022	2	69011.0	55
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	FelixSpecFixed3_b0840146.ltl	unreal-formula	input	138022	2	69011.0	55
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	FelixSpecFixed3_b0840146.ltl	unreal-formula	output	138022	2	69011.0	55
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	abcg_arbiter3.ltl	real	input	8	8	1.0	204471
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	abcg_arbiter3.ltl	real	output	18432	18432	1.0	204471
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	abcg_arbiter3.ltl	unreal-formula	input	511	257	1.9883268482490273	726113
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	abcg_arbiter3.ltl	unreal-formula	output	4088	2056	1.9883268482490273	726113
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	amba_decomposed_lock15.ltl	real	input	983040	4	245760.0	196694
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	amba_decomposed_lock15.ltl	real	output	1966080	8	245760.0	196694
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	amba_decomposed_lock16.ltl	real	input	2097152	4	524288.0	393306
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	amba_decomposed_lock16.ltl	real	output	4194304	8	524288.0	393306
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	arbiter_with_buffer6.ltl	real	input	64	64	1.0	177267
_bm-logs.alphabet-census-20260814/syntcomp24-action-construction.csv	arbiter_with_buffer6.ltl	real	output	262144	262144	1.0	177267
