target,diag_index,diag_kind,checkpoint,wrapper_returncode,wrapper_timed_out,wrapper_stdout_bytes,wrapper_stderr_bytes,pid,instance,path,translation_pref,rsimp_ms,rsimp_changed,syntactic_bypass,syntactic_bypass_ms,translation_ms,aut_states,aut_edges,fast_class,fast_class_ms,fast_solve_ms,fast_verdict,preproc,preproc_ms,preproc_states_before,preproc_states_after,preproc_edges_before,preproc_edges_after,cap_census_ms,cap_k,cap_states_at_k,cap_states_finite,cap_states_zero,cap_counting_states,cap_finite_counting_states,simulation_census_ms,simulation_states_after,simulation_states_removed,bool_threshold,bitset_threshold,max_f,max_f_size,loops,k_attempts,cpre_ms,picker_ms,apply_ms,downset_ms,actions_seen,meets_computed,meet_batches,alphabet_input_paths,alphabet_input_nodes,alphabet_output_paths,alphabet_output_nodes,alphabet_bdd_nodes,equivariant,eq_clients,eq_blocks,eq_orbits,sym_families,sym_indices,sym_matrix,sym_subsets,sym_selected,sym_orbit_sizes,sym_blocks,sym_shared,solve_ms,total_ms,result,final_reason,source_format,tlsf_effective_target,tlsf_gr_level,tlsf_semantics,tlsf_target
Automata16S.ltl,1,final,final,124,1,0,8839,1143632,Automata16S.ltl,real,small,2,0,fallback,0,54562,18,53,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,491,43,478,not-run,0,0,0,-,-,-,-,-,-,-,-,0,54567,unknown,alphabet-census-only,ltl,-,-1,-,-
Automata16S.ltl,2,progress,after-decomposition,124,1,0,8839,1143632,Automata16S.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
Automata16S.ltl,3,progress,after-rsimp,124,1,0,8839,1143632,Automata16S.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
Automata16S.ltl,4,progress,after-translation,124,1,0,8839,1143632,Automata16S.ltl,real,small,2,0,fallback,0,54562,18,53,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,54565,unknown,unknown,ltl,-,-1,-,-
Automata16S.ltl,5,progress,alphabet-census,124,1,0,8839,1143632,Automata16S.ltl,real,small,2,0,fallback,0,54562,18,53,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,491,43,478,not-run,0,0,0,-,-,-,-,-,-,-,-,0,54567,unknown,unknown,ltl,-,-1,-,-
Automata16S.ltl,6,progress,after-decomposition,124,1,0,8839,1143633,Automata16S.ltl,unreal-formula,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
Automata16S.ltl,7,progress,after-rsimp,124,1,0,8839,1143633,Automata16S.ltl,unreal-formula,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed2_fa4d4ce3.ltl,1,final,final,124,1,0,8948,1144205,FelixSpecFixed2_fa4d4ce3.ltl,unreal-formula,small,2,1,fallback,0,55,2,2,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138022,2,138022,2,55,not-run,0,0,0,-,-,-,-,-,-,-,-,0,59,unknown,alphabet-census-only,ltl,-,-1,-,-
FelixSpecFixed2_fa4d4ce3.ltl,2,progress,after-decomposition,124,1,0,8948,1144204,FelixSpecFixed2_fa4d4ce3.ltl,real,small,3,1,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,4,unknown,unknown,ltl,-,-1,-,-
FelixSpecFixed2_fa4d4ce3.ltl,3,progress,after-rsimp,124,1,0,8948,1144204,FelixSpecFixed2_fa4d4ce3.ltl,real,small,3,1,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,3,unknown,unknown,ltl,-,-1,-,-
