target,diag_index,diag_kind,checkpoint,wrapper_returncode,wrapper_timed_out,wrapper_stdout_bytes,wrapper_stderr_bytes,pid,instance,path,translation_pref,rsimp_ms,rsimp_changed,syntactic_bypass,syntactic_bypass_ms,translation_ms,aut_states,aut_edges,fast_class,fast_class_ms,fast_solve_ms,fast_verdict,preproc,preproc_ms,preproc_states_before,preproc_states_after,preproc_edges_before,preproc_edges_after,cap_census_ms,cap_k,cap_states_at_k,cap_states_finite,cap_states_zero,cap_counting_states,cap_finite_counting_states,simulation_census_ms,simulation_states_after,simulation_states_removed,bool_threshold,bitset_threshold,max_f,max_f_size,loops,k_attempts,cpre_ms,picker_ms,apply_ms,downset_ms,actions_seen,meets_computed,meet_batches,alphabet_input_paths,alphabet_input_nodes,alphabet_output_paths,alphabet_output_nodes,alphabet_bdd_nodes,equivariant,eq_clients,eq_blocks,eq_orbits,sym_families,sym_indices,sym_matrix,sym_subsets,sym_selected,sym_orbit_sizes,sym_blocks,sym_shared,solve_ms,total_ms,result,final_reason,source_format,tlsf_effective_target,tlsf_gr_level,tlsf_semantics,tlsf_target
F-G-contradiction-111.ltl,1,final,final,2,0,0,12820,1145475,F-G-contradiction-111.ltl,unreal-formula,small,2,0,fallback,0,683,91,204,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,201856,118282,166116,not-run,0,0,0,-,-,-,-,-,-,-,-,0,1088,unknown,alphabet-census-only,ltl,-,-1,-,-
F-G-contradiction-111.ltl,2,final,final,2,0,0,12820,1145474,F-G-contradiction-111.ltl,real,small,2,0,fallback,0,4707,10226,228484,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,558,1281,942,238661,not-run,0,0,0,-,-,-,-,-,-,-,-,0,5449,unknown,alphabet-census-only,ltl,-,-1,-,-
F-G-contradiction-111.ltl,3,progress,after-decomposition,2,0,0,12820,1145474,F-G-contradiction-111.ltl,real,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,11,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,4,progress,after-rsimp,2,0,0,12820,1145474,F-G-contradiction-111.ltl,real,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,10,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,5,progress,after-translation,2,0,0,12820,1145474,F-G-contradiction-111.ltl,real,small,2,0,fallback,0,4707,10226,228484,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,4719,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,6,progress,alphabet-census,2,0,0,12820,1145474,F-G-contradiction-111.ltl,real,small,2,0,fallback,0,4707,10226,228484,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,558,1281,942,238661,not-run,0,0,0,-,-,-,-,-,-,-,-,0,5446,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,7,progress,after-decomposition,2,0,0,12820,1145475,F-G-contradiction-111.ltl,unreal-formula,small,2,0,fallback,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,11,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,8,progress,after-rsimp,2,0,0,12820,1145475,F-G-contradiction-111.ltl,unreal-formula,small,2,0,not-run,0,0,0,0,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,10,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,9,progress,after-translation,2,0,0,12820,1145475,F-G-contradiction-111.ltl,unreal-formula,small,2,0,fallback,0,683,91,204,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not-run,0,0,0,-,-,-,-,-,-,-,-,0,694,unknown,unknown,ltl,-,-1,-,-
F-G-contradiction-111.ltl,10,progress,alphabet-census,2,0,0,12820,1145475,F-G-contradiction-111.ltl,unreal-formula,small,2,0,fallback,0,683,91,204,not-run,0,0,fallback,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,201856,118282,166116,not-run,0,0,0,-,-,-,-,-,-,-,-,0,1081,unknown,unknown,ltl,-,-1,-,-
