instance,result,seconds,exit
AllHeating_d6376bf9.ltl,REALIZABLE,0.01,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.006,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.005,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.006,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.006,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.006,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.005,0
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.005,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.006,0
EscalatorCountingInit.ltl,REALIZABLE,0.006,0
EscalatorNonReactive.ltl,REALIZABLE,0.005,0
KitchenTimerV8.ltl,REALIZABLE,0.06,0
Light_aeb1d897.ltl,UNREALIZABLE,0.015,1
Lights2_f1477cc5.ltl,UNREALIZABLE,0.025,1
Lights3Min_6479ef9a.ltl,REALIZABLE,0.007,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.461,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.27,0
Morning2_4d4ca5c4.ltl,REALIZABLE,0.008,0
OneCounterInRangeA0.ltl,UNREALIZABLE,0.006,1
SPI.ltl,REALIZABLE,0.312,0
SPIReadManag.ltl,REALIZABLE,0.251,0
SPIWriteManag.ltl,REALIZABLE,0.059,0
SPIWriteSdi.ltl,REALIZABLE,0.007,0
SensorRegister.ltl,REALIZABLE,0.005,0
TwoCountersDisButA0.ltl,UNREALIZABLE,0.016,1
TwoCountersDisButAC.ltl,UNREALIZABLE,0.57,1
TwoCountersInRangeA4.ltl,UNREALIZABLE,0.036,1
TwoCountersRefined.ltl,UNREALIZABLE,0.011,1
abcg_arbiter2.ltl,REALIZABLE,0.083,0
button.ltl,REALIZABLE,0.005,0
jarvis_gideon_a02758ea.ltl,UNREALIZABLE,0.006,1
jarvis_philippe_484face8.ltl,UNREALIZABLE,0.007,1
lift_gr12.ltl,REALIZABLE,0.012,0
lilydemo01.ltl,UNREALIZABLE,0.006,1
ltl2dba_Q50.ltl,REALIZABLE,0.005,0
ltl2dba_R3.ltl,UNREALIZABLE,0.008,1
ltl2dba_U15.ltl,REALIZABLE,0.005,0
prioritized_arbiter2.ltl,REALIZABLE,0.006,0
prioritized_arbiter_unreal13_14.ltl,UNREALIZABLE,0.006,1
round_robin_arbiter2.ltl,REALIZABLE,0.006,0
03.ltl,REALIZABLE,2.797,0
05.ltl,REALIZABLE,11.114,0
09.ltl,REALIZABLE,7.069,0
10.ltl,REALIZABLE,3.28,0
11.ltl,REALIZABLE,3.249,0
12.ltl,REALIZABLE,5.208,0
13.ltl,REALIZABLE,5.604,0
Alarm_06e9cad4.ltl,REALIZABLE,1.996,0
Alarm_68c86764.ltl,REALIZABLE,2.032,0
Alarm_70523fbe.ltl,REALIZABLE,1.073,0
Alarm_f2774e0b.ltl,REALIZABLE,1.042,0
Morning2_1cf58fc1.ltl,UNREALIZABLE,6.055,1
Morning_14a3b3a2.ltl,UNREALIZABLE,10.936,1
Morning_4b5e6eaa.ltl,UNREALIZABLE,11.108,1
Morning_c92eb242.ltl,UNREALIZABLE,11.207,1
Morning_f1477cc5.ltl,UNREALIZABLE,10.465,1
Morning_f2774e0b.ltl,UNREALIZABLE,10.735,1
OneCounter.ltl,REALIZABLE,2.743,0
OneCounterGuiA8.ltl,UNREALIZABLE,3.261,1
OneCounterGuiA9.ltl,REALIZABLE,2.837,0
TwoCounters3.ltl,REALIZABLE,1.174,0
amba_case_study2.ltl,REALIZABLE,1.746,0
amba_decomposed_arbiter6.ltl,REALIZABLE,2.035,0
amba_decomposed_lock11.ltl,REALIZABLE,1.656,0
amba_decomposed_lock12.ltl,REALIZABLE,6.547,0
arbiter5.ltl,REALIZABLE,0.995,0
arbiter_on_inpchange4.ltl,REALIZABLE,2.394,0
arbiter_with_cancel5.ltl,REALIZABLE,2.936,0
collector_v19.ltl,REALIZABLE,0.995,0
collector_v213.ltl,REALIZABLE,2.331,0
collector_v215.ltl,REALIZABLE,16.286,0
collector_v39.ltl,REALIZABLE,5.396,0
detector_unreal13.ltl,UNREALIZABLE,1.157,1
detector_unreal14.ltl,UNREALIZABLE,2.964,1
detector_unreal15.ltl,UNREALIZABLE,7.336,1
full_arbiter_unreal12_15.ltl,UNREALIZABLE,2.065,1
full_arbiter_unreal12_16.ltl,UNREALIZABLE,4.367,1
full_arbiter_unreal13_6.ltl,UNREALIZABLE,1.493,1
full_arbiter_unreal13_7.ltl,UNREALIZABLE,10.028,1
full_arbiter_unreal14_4.ltl,UNREALIZABLE,2.842,1
full_arbiter_unreal24.ltl,UNREALIZABLE,5.146,1
generalized_buffer4.ltl,REALIZABLE,6.857,0
lift_wrong_physics_unreal10.ltl,UNREALIZABLE,1.07,1
load_balancer7.ltl,REALIZABLE,11.26,0
