target	phase	children	child_phases	timed_out	returncode	representative_path	deepest_checkpoint	translation_pref	translation_ms	aut_states	aut_edges	loops	solve_ms	total_ms
Automata16S.ltl	action-construction-bound	4	translation-bound=2;action-construction-bound=2;fixpoint-bound=0	0	0	real	after-preprocessing	any	40609	22	66	0	0	40615
Automata32S.ltl	translation-bound	4	translation-bound=3;action-construction-bound=1;fixpoint-bound=0	1	124	real	after-decomposition	small	0	0	0	0	0	5
FelixSpecFixed2_fa4d4ce3.ltl	action-construction-bound	4	translation-bound=2;action-construction-bound=2;fixpoint-bound=0	1	124	unreal-formula	after-translation	small	69	2	2	0	0	74
FelixSpecFixed3_b0840146.ltl	action-construction-bound	4	translation-bound=2;action-construction-bound=2;fixpoint-bound=0	1	124	unreal-formula	after-translation	small	84	2	2	0	0	90
LedMatrix.ltl	translation-bound	4	translation-bound=3;action-construction-bound=0;fixpoint-bound=1	1	124	real	after-decomposition	small	0	0	0	0	0	4
abcg_arbiter3.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	0	0	unreal-formula	before-solve	small	44340	10244	420235	0	0	44661
amba_decomposed_lock15.ltl	action-construction-bound	4	translation-bound=1;action-construction-bound=3;fixpoint-bound=0	0	2	unreal-automaton	after-input-push	small	41	10	40	0	0	180
amba_decomposed_lock16.ltl	action-construction-bound	4	translation-bound=1;action-construction-bound=3;fixpoint-bound=0	0	2	unreal-automaton	after-input-push	small	138	10	40	0	0	521
arbiter7.ltl	fixpoint-bound	4	translation-bound=1;action-construction-bound=0;fixpoint-bound=3	1	124	real	equivariant-after-picker	small	57	31	82	13	0	102184
arbiter8.ltl	fixpoint-bound	4	translation-bound=1;action-construction-bound=0;fixpoint-bound=3	1	124	unreal-automaton	solve-loop	small	8468	5889	1026944	3072	0	101009
arbiter_with_buffer6.ltl	action-construction-bound	4	translation-bound=1;action-construction-bound=3;fixpoint-bound=0	1	124	unreal-automaton	after-translation	small	371	1377	352512	0	0	376
arbiter_with_cancel6.ltl	fixpoint-bound	4	translation-bound=1;action-construction-bound=0;fixpoint-bound=3	1	124	unreal-automaton	solve-loop	small	9033	1121	320624	2048	0	44442
arbiter_with_cancel7.ltl	fixpoint-bound	4	translation-bound=2;action-construction-bound=0;fixpoint-bound=2	1	124	real	equivariant-after-cpre	small	39244	31	89	4	0	97096
detector_unreal16.ltl	action-construction-bound	4	translation-bound=1;action-construction-bound=3;fixpoint-bound=0	0	1	unreal-automaton	after-input-push	small	18723	56	179	0	0	18728
finding_nemo_1.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	3	51	274	2048	0	42
finding_nemo_2.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	7	86	553	5120	0	831
finding_nemo_4.ltl	fixpoint-bound	4	translation-bound=2;action-construction-bound=0;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	514	159	1170	29696	0	50031
full_arbiter_enc8.ltl	action-construction-bound	4	translation-bound=1;action-construction-bound=3;fixpoint-bound=0	1	124	unreal-automaton	before-solve	small	3037	30952	1506175	0	0	4732
lift3.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	real	after-preprocessing	small	11	169	1952	0	0	16
lift4.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	real	before-solve	small	62	437	9212	0	0	71
lift_gr1+3.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-formula	solve-loop	small	10	113	2337	369664	0	119783
lift_gr13.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	2	66	567	733184	0	52103
lift_unary_enc3.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-formula	before-solve	small	32	615	13117	0	0	41
lift_unary_enc4.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-formula	before-solve	small	1311	4219	223396	0	0	1715
ltl2dba_theta14.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	0	1	unreal-formula	after-preprocessing	small	13976	52	288	0	0	13980
ltl2dba_theta16.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	0	2	unreal-formula	after-preprocessing	small	83018	58	341	0	0	83022
prioritized_arbiter12.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-formula	solve-loop	small	1	55	189	2820096	0	16800
prioritized_arbiter9.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-formula	solve-loop	small	1	43	147	2113536	0	8853
prioritized_arbiter_enc10.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-formula	before-solve	small	9256	94723	1779127	0	0	87090
prioritized_arbiter_enc8.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-automaton	before-solve	small	549	33597	1255865	0	0	19745
prioritized_arbiter_unreal2100.ltl	translation-bound	4	translation-bound=4;action-construction-bound=0;fixpoint-bound=0	1	124	unreal-formula	final	small	76	0	0	0	0	141
prioritized_arbiter_unreal230.ltl	translation-bound	4	translation-bound=4;action-construction-bound=0;fixpoint-bound=0	1	124	unreal-formula	final	small	7	0	0	0	0	14
robot_grid2_2.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-formula	before-solve	small	358	1185	22771	0	0	367
round_robin_arbiter4.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	real	before-solve	small	19	453	17669	0	0	28
round_robin_arbiter6.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	real	before-solve	small	2155	6331	1275635	0	0	3260
simple_arbiter_enc10.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	unreal-automaton	after-translation	small	6535	71168	1424896	0	0	6544
simple_arbiter_enc8.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	unreal-automaton	before-solve	small	255	10423	402544	0	0	547
simple_arbiter_unreal225.ltl	translation-bound	4	translation-bound=4;action-construction-bound=0;fixpoint-bound=0	1	124	unreal-formula	final	small	4	0	0	0	0	10
simple_arbiter_unreal260.ltl	translation-bound	4	translation-bound=4;action-construction-bound=0;fixpoint-bound=0	1	124	unreal-formula	final	small	18	0	0	0	0	38
simple_arbiter_with_hints10.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-automaton	before-solve	small	6166	35759	14053480	0	0	103975
simple_arbiter_with_hints8.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	unreal-formula	after-translation	small	1420	1607	148666	0	0	1426
tmp_13cfc6f2.ltl	fixpoint-bound	4	translation-bound=0;action-construction-bound=2;fixpoint-bound=2	1	124	unreal-formula	solve-loop	small	7	36	142	11264	0	119966
workstation_resupply_3.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=3;fixpoint-bound=1	1	124	unreal-automaton	after-input-push	small	222	166	629	0	0	228
workstation_resupply_4.ltl	action-construction-bound	4	translation-bound=0;action-construction-bound=4;fixpoint-bound=0	1	124	unreal-formula	before-solve	small	3603	370	1598	0	0	3608
