target	phase	fixpoint_bucket	children	child_phases	timed_out	returncode	representative_path	deepest_checkpoint	translation_pref	translation_ms	aut_states	aut_edges	loops	cpre_ms	picker_ms	apply_ms	downset_ms	actions_seen	meets_computed	max_f_size	solve_ms	total_ms
Automata32S.ltl	translation-bound		3	translation-bound=2;action-construction-bound=1;fixpoint-bound=0	1	124	unreal-formula	after-decomposition	small	0	0	0	0								0	5
F-G-contradiction-111.ltl	fixpoint-bound	letter-loop-bound	3	translation-bound=0;action-construction-bound=0;fixpoint-bound=3	1	124	unreal-automaton	classic-after-cpre	small	523	116	254	8	109478.497	2536.059	72415.71800000001	37011.0182	807488	3704858	1024	0	80522
GF-G-contradiction4.ltl	fixpoint-bound	letter-loop-bound	3	translation-bound=0;action-construction-bound=0;fixpoint-bound=3	1	124	unreal-formula	classic-after-cpre	small	687	89	199	32	110898.9853	6379.7994	97601.135	13250.7545	738872	5493170	894	0	117605
GF-G-contradiction6.ltl	action-construction-bound		3	translation-bound=1;action-construction-bound=2;fixpoint-bound=0	0	2	unreal-automaton	after-input-push	small	10529	119	363	0								0	10538
LedMatrix.ltl	fixpoint-bound	downset-bound	3	translation-bound=1;action-construction-bound=0;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	6087	7261	812747	2432	82517.8791	8929.227	34767.5842	47734.938015	9980	2360871	14127	0	110654
amba_case_study_unreal_pb_2_pe_.ltl	fixpoint-bound	letter-loop-bound	3	translation-bound=1;action-construction-bound=0;fixpoint-bound=2	1	124	real	solve-loop	small	44	36	90	5632	23381.0691	9450.493	13395.4555	9923.81571	1231744	54339693	152	0	32753
amba_decomposed_lock_pb_16_pe_.ltl	action-construction-bound		3	translation-bound=1;action-construction-bound=2;fixpoint-bound=0	0	2	unreal-automaton	after-input-push	small	90	10	40	0								0	346
arbiter_pb_6_pe_.ltl	fixpoint-bound	downset-bound	3	translation-bound=1;action-construction-bound=0;fixpoint-bound=2	1	124	real	equivariant-after-closure	small	11	27	71	16	28964.085	513.4275	477.3154	28478.9977	148416	9869674	2439	0	82424
arbiter_with_buffer_pb_5_pe_.ltl	fixpoint-bound	downset-bound	3	translation-bound=1;action-construction-bound=1;fixpoint-bound=1	1	124	real	classic-after-cpre	small	2	17	43	8	8880.58	1.85957	67.9742	8812.07	8192	1461280	672	0	9054
arbiter_with_cancel_pb_6_pe_.ltl	fixpoint-bound	letter-loop-bound	3	translation-bound=1;action-construction-bound=0;fixpoint-bound=2	1	124	unreal-automaton	solve-loop	small	6923	1121	320624	2688	19656.5739	7612.6203000000005	17858.042	1652.9272999999998	1959335	55083	2268	0	40914
