binary	backend	phase	repetitions	min_cycles	max_cycles	spread_percent
simd-bm	vector_backed	simd	5	2275527	2364906	3.93
downset-bm-d128	vector_backed	cpre	5	8533647097	8562264819	0.34
downset-bm	vector_backed	intersection	5	614473612	615452605	0.16
downset-bm-d128	vector_backed	intersection	5	179429352	180129318	0.39
downset-bm-d128	vector_backed	query	5	176621695	177720335	0.62
downset-bm	vector_backed	cpre	5	1913008448	1927618102	0.76
downset-bm	vector_backed	query	5	122832780	123650066	0.67
downset-bm-d128	vector_backed	union	5	32407043	32684289	0.86
downset-bm-d128	vector_backed	build	5	407819206	411446702	0.89
downset-bm	vector_backed	union	5	246300790	265400071	7.75
downset-bm	vector_backed	transfer	5	19127541	19338190	1.10
downset-bm	vector_backed	build	5	261107988	262257561	0.44
downset-bm-d128	vector_backed	transfer	5	17569885	18157387	3.34
