revision	binary	backend	phase	repetition	cycles	perf_file
candidate	downset-bm	vector_backed	build	1	262257561	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-build-r1.perf
candidate	downset-bm	vector_backed	build	2	261107988	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	build	3	262041375	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-build-r3.perf
candidate	downset-bm	vector_backed	build	4	261553143	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-build-r4.perf
candidate	downset-bm	vector_backed	build	5	261652484	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-build-r5.perf
candidate	downset-bm	vector_backed	query	1	123317161	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	query	2	123650066	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-query-r2.perf
candidate	downset-bm	vector_backed	query	3	123367981	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-query-r3.perf
candidate	downset-bm	vector_backed	query	4	122832780	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-query-r4.perf
candidate	downset-bm	vector_backed	query	5	122933726	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-query-r5.perf
candidate	downset-bm	vector_backed	transfer	1	19243941	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-transfer-r1.perf
candidate	downset-bm	vector_backed	transfer	2	19127541	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	transfer	3	19246749	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-transfer-r3.perf
candidate	downset-bm	vector_backed	transfer	4	19338190	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-transfer-r4.perf
candidate	downset-bm	vector_backed	transfer	5	19131190	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-transfer-r5.perf
candidate	downset-bm	vector_backed	intersection	1	614743739	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	intersection	2	614473612	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-intersection-r2.perf
candidate	downset-bm	vector_backed	intersection	3	614892505	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-intersection-r3.perf
candidate	downset-bm	vector_backed	intersection	4	615363168	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-intersection-r4.perf
candidate	downset-bm	vector_backed	intersection	5	615452605	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-intersection-r5.perf
candidate	downset-bm	vector_backed	union	1	246300790	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	union	2	246636525	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-union-r2.perf
candidate	downset-bm	vector_backed	union	3	247284662	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-union-r3.perf
candidate	downset-bm	vector_backed	union	4	259317400	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-union-r4.perf
candidate	downset-bm	vector_backed	union	5	265400071	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-union-r5.perf
candidate	downset-bm	vector_backed	cpre	1	1927618102	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-cpre-r1.perf
candidate	downset-bm	vector_backed	cpre	2	1917142223	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm	vector_backed	cpre	3	1914938073	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-cpre-r3.perf
candidate	downset-bm	vector_backed	cpre	4	1913008448	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-cpre-r4.perf
candidate	downset-bm	vector_backed	cpre	5	1915090577	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-vector_backed-cpre-r5.perf
candidate	downset-bm-d128	vector_backed	build	1	408459557	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	build	2	407819206	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-build-r2.perf
candidate	downset-bm-d128	vector_backed	build	3	407884045	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-build-r3.perf
candidate	downset-bm-d128	vector_backed	build	4	407876911	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-build-r4.perf
candidate	downset-bm-d128	vector_backed	build	5	411446702	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-build-r5.perf
candidate	downset-bm-d128	vector_backed	query	1	176621695	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	query	2	177620120	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-query-r2.perf
candidate	downset-bm-d128	vector_backed	query	3	177131799	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-query-r3.perf
candidate	downset-bm-d128	vector_backed	query	4	177720335	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-query-r4.perf
candidate	downset-bm-d128	vector_backed	query	5	176727318	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-query-r5.perf
candidate	downset-bm-d128	vector_backed	transfer	1	18157387	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	2	17569885	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-transfer-r2.perf
candidate	downset-bm-d128	vector_backed	transfer	3	17944210	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-transfer-r3.perf
candidate	downset-bm-d128	vector_backed	transfer	4	18049757	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-transfer-r4.perf
candidate	downset-bm-d128	vector_backed	transfer	5	17909767	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-transfer-r5.perf
candidate	downset-bm-d128	vector_backed	intersection	1	179429352	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-intersection-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	2	179554977	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	intersection	3	179783235	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-intersection-r3.perf
candidate	downset-bm-d128	vector_backed	intersection	4	179529474	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-intersection-r4.perf
candidate	downset-bm-d128	vector_backed	intersection	5	180129318	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-intersection-r5.perf
candidate	downset-bm-d128	vector_backed	union	1	32627418	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-union-r1.perf
candidate	downset-bm-d128	vector_backed	union	2	32646417	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	union	3	32552871	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-union-r3.perf
candidate	downset-bm-d128	vector_backed	union	4	32407043	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-union-r4.perf
candidate	downset-bm-d128	vector_backed	union	5	32684289	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-union-r5.perf
candidate	downset-bm-d128	vector_backed	cpre	1	8555453365	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	downset-bm-d128	vector_backed	cpre	2	8533647097	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	3	8539508729	/tmp/posets-noise-calibration-20260810/candidate-downset-bm-d128-vector_backed-cpre-r3.perf
