label	suite	instance	fixpoint_bucket	repetition	cycles	instructions	llc_load_misses	branch_misses	exit	timed_out
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	1	462479461663	1550629140199	42026611	843961509	124	1
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	2	460674709468	1534759234986	52325837	823473694	124	1
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	3	454307626192	1529806934529	38581300	828765349	124	1
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	4	462433362026	1561122964739	37410343	840492637	124	1
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	5	464359518279	1563578392464	39751603	846819142	124	1
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	1	243484249204	548836822171	37476750	775142244	124	1
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	2	244058895794	551137438336	38651263	788288355	124	1
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	3	244844914630	546273829230	45678491	780737005	124	1
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	4	243817007980	545297081158	39994149	774134275	124	1
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	5	244488941699	542497878411	48062664	764537844	124	1
baseline	syntcomp24	lift4.ltl	downset-bound	1	676521996622	1476435915665	464924421	609110214	124	1
baseline	syntcomp24	lift4.ltl	downset-bound	2	660868090465	1486280715881	391896851	600604446	124	1
baseline	syntcomp24	lift4.ltl	downset-bound	3	641585303009	1409525380179	400327921	595531995	124	1
baseline	syntcomp24	lift4.ltl	downset-bound	4	643960346497	1388762588649	502619921	571956818	124	1
baseline	syntcomp24	lift4.ltl	downset-bound	5	649882598534	1416601039344	470966979	597808651	124	1
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	1	247892450948	528093132558	112409251	702260054	124	1
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	2	250594981017	533422229468	116261110	702670918	124	1
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	3	253477002348	530025497242	121023884	705581250	124	1
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	4	248643875538	522499575431	116822096	668810458	124	1
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	5	247763028701	520156191436	115659267	673662720	124	1
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	1	485134848281	1416481260172	704902	2007696595	124	1
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	2	476408771834	1442397208087	652506	1711799774	124	1
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	3	473203180437	1376777825644	837593	1992693057	124	1
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	4	486250072458	1433563740557	851083	1970653164	124	1
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	5	474007619780	1387807957544	1316032	1778876566	124	1
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	1	561107728561	1107671879960	482622904	1847689926	124	1
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	2	559076147505	1122177933348	482623435	1859148221	124	1
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	3	580878118039	1155008466530	523886568	1903016087	124	1
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	4	574151116673	1146949479826	503562753	1891547908	124	1
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	5	559139796146	1136406471788	467450580	1874702102	124	1
