label	suite	instance	fixpoint_bucket	median_cycles	min_cycles	max_cycles	spread_percent
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	462433362026	454307626192	464359518279	2.21
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	244058895794	243484249204	244844914630	0.56
baseline	syntcomp24	lift4.ltl	downset-bound	649882598534	641585303009	676521996622	5.45
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	248643875538	247763028701	253477002348	2.31
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	476408771834	473203180437	486250072458	2.76
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	561107728561	559076147505	580878118039	3.90
baseline	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	685528624147	657563320841	688662081898	4.73
baseline	syntcomp25	g-unreal-116.ltl	mixed	268602210158	268047453487	271041247986	1.12
baseline	syntcomp25	lift_pb_3_pe_.ltl	downset-bound	652439773797	645057388306	673650365641	4.43
baseline	syntcomp25	workstation_resupply_pb_3_pe_.ltl	letter-loop-bound	481816997578	463548087205	487360130582	5.14
