revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	261937739	/tmp/posets-slice3/base-downset-bm-vector_backed-build-r1.perf
base	downset-bm	vector_backed	query	123590054	/tmp/posets-slice3/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	transfer	19166737	/tmp/posets-slice3/base-downset-bm-vector_backed-transfer-r2.perf
base	downset-bm	vector_backed	intersection	613729895	/tmp/posets-slice3/base-downset-bm-vector_backed-intersection-r2.perf
base	downset-bm	vector_backed	union	247912391	/tmp/posets-slice3/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1921154327	/tmp/posets-slice3/base-downset-bm-vector_backed-cpre-r2.perf
base	downset-bm-d128	vector_backed	build	406961995	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-build-r2.perf
base	downset-bm-d128	vector_backed	query	177548034	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-query-r2.perf
base	downset-bm-d128	vector_backed	transfer	17615832	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-transfer-r1.perf
base	downset-bm-d128	vector_backed	intersection	179825478	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-intersection-r1.perf
base	downset-bm-d128	vector_backed	union	32635986	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-union-r2.perf
base	downset-bm-d128	vector_backed	cpre	8519499540	/tmp/posets-slice3/base-downset-bm-d128-vector_backed-cpre-r2.perf
base	simd-bm	vector_backed	simd	2350107	/tmp/posets-slice3/base-simd-bm-vector_backed-simd-r2.perf
candidate	downset-bm	vector_backed	build	260698258	/tmp/posets-slice3/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	123553884	/tmp/posets-slice3/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	transfer	19464858	/tmp/posets-slice3/candidate-downset-bm-vector_backed-transfer-r1.perf
candidate	downset-bm	vector_backed	intersection	606165578	/tmp/posets-slice3/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	union	246864044	/tmp/posets-slice3/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	cpre	2033799206	/tmp/posets-slice3/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	406460047	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	query	177595603	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-query-r2.perf
candidate	downset-bm-d128	vector_backed	transfer	17590472	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-transfer-r2.perf
candidate	downset-bm-d128	vector_backed	intersection	159037612	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-intersection-r1.perf
candidate	downset-bm-d128	vector_backed	union	32846140	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	8516878198	/tmp/posets-slice3/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	simd-bm	vector_backed	simd	2312265	/tmp/posets-slice3/candidate-simd-bm-vector_backed-simd-r2.perf
