revision	binary	backend	phase	cycles	perf_file
base	downset-bm	vector_backed	build	260926400	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-build-r2.perf
base	downset-bm	vector_backed	query	123568062	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	transfer	19380345	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-transfer-r1.perf
base	downset-bm	vector_backed	intersection	615559928	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-intersection-r2.perf
base	downset-bm	vector_backed	union	246900683	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-union-r1.perf
base	downset-bm	vector_backed	cpre	1921323160	/tmp/posets-slice5-guard/base-downset-bm-vector_backed-cpre-r1.perf
base	downset-bm-d128	vector_backed	build	406964827	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-build-r2.perf
base	downset-bm-d128	vector_backed	query	176995022	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-query-r1.perf
base	downset-bm-d128	vector_backed	transfer	18170390	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-transfer-r2.perf
base	downset-bm-d128	vector_backed	intersection	179411934	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-intersection-r1.perf
base	downset-bm-d128	vector_backed	union	32479838	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-union-r2.perf
base	downset-bm-d128	vector_backed	cpre	8531198873	/tmp/posets-slice5-guard/base-downset-bm-d128-vector_backed-cpre-r2.perf
base	simd-bm	vector_backed	simd	2392287	/tmp/posets-slice5-guard/base-simd-bm-vector_backed-simd-r2.perf
candidate	downset-bm	vector_backed	build	260927217	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	123379836	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	transfer	19393989	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-transfer-r2.perf
candidate	downset-bm	vector_backed	intersection	614623115	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-intersection-r1.perf
candidate	downset-bm	vector_backed	union	246702381	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	cpre	1926312905	/tmp/posets-slice5-guard/candidate-downset-bm-vector_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	408315494	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-build-r1.perf
candidate	downset-bm-d128	vector_backed	query	176796329	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	17954185	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	179506110	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-intersection-r1.perf
candidate	downset-bm-d128	vector_backed	union	32506379	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-union-r2.perf
candidate	downset-bm-d128	vector_backed	cpre	8528572868	/tmp/posets-slice5-guard/candidate-downset-bm-d128-vector_backed-cpre-r2.perf
candidate	simd-bm	vector_backed	simd	2338286	/tmp/posets-slice5-guard/candidate-simd-bm-vector_backed-simd-r2.perf
