instance,result,seconds,exit
amba_case_study2.ltl,REALIZABLE,1.91,0
amba_decomposed_encode12.ltl,REALIZABLE,0.054,0
amba_decomposed_encode13.ltl,REALIZABLE,0.074,0
amba_decomposed_encode14.ltl,REALIZABLE,0.15,0
amba_decomposed_lock9.ltl,REALIZABLE,0.161,0
collector_v19.ltl,REALIZABLE,1.129,0
collector_v213.ltl,REALIZABLE,2.587,0
collector_v215.ltl,TIMEOUT,17.081,124
collector_v39.ltl,REALIZABLE,6.309,0
Core_4b5a2bad.ltl,UNREALIZABLE,0.028,1
detector14.ltl,REALIZABLE,0.023,0
detector_unreal12.ltl,UNREALIZABLE,0.522,1
detector_unreal13.ltl,UNREALIZABLE,1.275,1
detector_unreal14.ltl,UNREALIZABLE,3.622,1
full_arbiter_unreal12_14.ltl,UNREALIZABLE,0.986,1
full_arbiter_unreal12_15.ltl,UNREALIZABLE,2.067,1
full_arbiter_unreal12_16.ltl,UNREALIZABLE,5.005,1
full_arbiter_unreal13_6.ltl,UNREALIZABLE,1.782,1
full_arbiter_unreal14_4.ltl,UNREALIZABLE,3.079,1
full_arbiter_unreal24.ltl,UNREALIZABLE,5.411,1
GamemodeChooser.ltl,REALIZABLE,0.021,0
KitchenTimerV10.ltl,REALIZABLE,0.083,0
KitchenTimerV8.ltl,REALIZABLE,0.078,0
Lights2_06e9cad4.ltl,REALIZABLE,0.289,0
Lights2_0f5381e9.ltl,REALIZABLE,0.297,0
Lights2_9cac58d3.ltl,REALIZABLE,0.332,0
Lights2_b02056d6.ltl,REALIZABLE,0.346,0
Lights2_f3987563.ltl,REALIZABLE,0.301,0
LightsTotal_9cbf2546.ltl,REALIZABLE,0.662,0
load_balancer6.ltl,REALIZABLE,0.7,0
load_balancer_unreal12_15.ltl,UNREALIZABLE,0.799,1
load_balancer_unreal12_16.ltl,UNREALIZABLE,1.655,1
load_balancer_unreal13_12.ltl,UNREALIZABLE,0.628,1
load_balancer_unreal14_6.ltl,UNREALIZABLE,1.103,1
