instance,result,seconds,exit
AllHeating_d6376bf9.ltl,REALIZABLE,0.033,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.017,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.011,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.011,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.01,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.011,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.01,0
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.012,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.012,0
EscalatorCountingInit.ltl,REALIZABLE,0.014,0
EscalatorNonReactive.ltl,REALIZABLE,0.011,0
KitchenTimerV8.ltl,REALIZABLE,0.071,0
Light_aeb1d897.ltl,UNREALIZABLE,0.032,1
Lights2_f1477cc5.ltl,UNREALIZABLE,0.041,1
Lights3Min_6479ef9a.ltl,REALIZABLE,0.027,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.55,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.33,0
Morning2_4d4ca5c4.ltl,REALIZABLE,0.021,0
OneCounterInRangeA0.ltl,UNREALIZABLE,0.025,1
SPI.ltl,REALIZABLE,0.343,0
SPIReadManag.ltl,REALIZABLE,0.313,0
SPIWriteManag.ltl,REALIZABLE,0.083,0
SPIWriteSdi.ltl,REALIZABLE,0.019,0
SensorRegister.ltl,REALIZABLE,0.017,0
TwoCountersDisButA0.ltl,UNREALIZABLE,0.023,1
TwoCountersDisButAC.ltl,UNREALIZABLE,0.644,1
TwoCountersInRangeA4.ltl,UNREALIZABLE,0.05,1
TwoCountersRefined.ltl,UNREALIZABLE,0.028,1
abcg_arbiter2.ltl,REALIZABLE,0.108,0
button.ltl,REALIZABLE,0.016,0
jarvis_gideon_a02758ea.ltl,UNREALIZABLE,0.01,1
jarvis_philippe_484face8.ltl,UNREALIZABLE,0.014,1
lift_gr12.ltl,REALIZABLE,0.018,0
lilydemo01.ltl,UNREALIZABLE,0.015,1
ltl2dba_Q50.ltl,REALIZABLE,0.011,0
ltl2dba_R3.ltl,UNREALIZABLE,0.015,1
ltl2dba_U15.ltl,REALIZABLE,0.011,0
prioritized_arbiter2.ltl,REALIZABLE,0.012,0
prioritized_arbiter_unreal13_14.ltl,UNREALIZABLE,0.013,1
round_robin_arbiter2.ltl,REALIZABLE,0.018,0
03.ltl,REALIZABLE,3.415,0
05.ltl,REALIZABLE,16.238,0
09.ltl,REALIZABLE,10.471,0
10.ltl,REALIZABLE,3.816,0
11.ltl,REALIZABLE,3.844,0
12.ltl,REALIZABLE,6.526,0
13.ltl,REALIZABLE,6.124,0
Alarm_06e9cad4.ltl,REALIZABLE,2.408,0
Alarm_68c86764.ltl,REALIZABLE,2.243,0
Alarm_70523fbe.ltl,REALIZABLE,1.222,0
Alarm_f2774e0b.ltl,REALIZABLE,1.25,0
Morning2_1cf58fc1.ltl,UNREALIZABLE,6.721,1
Morning_14a3b3a2.ltl,UNREALIZABLE,14.207,1
Morning_4b5e6eaa.ltl,UNREALIZABLE,13.273,1
Morning_c92eb242.ltl,UNREALIZABLE,13.337,1
Morning_f1477cc5.ltl,UNREALIZABLE,12.756,1
Morning_f2774e0b.ltl,UNREALIZABLE,12.722,1
OneCounter.ltl,REALIZABLE,3.459,0
OneCounterGuiA8.ltl,UNREALIZABLE,3.478,1
OneCounterGuiA9.ltl,REALIZABLE,3.208,0
TwoCounters3.ltl,REALIZABLE,2.095,0
amba_case_study2.ltl,REALIZABLE,1.82,0
amba_decomposed_arbiter6.ltl,REALIZABLE,2.118,0
amba_decomposed_lock11.ltl,REALIZABLE,2.647,0
amba_decomposed_lock12.ltl,REALIZABLE,8.827,0
arbiter5.ltl,REALIZABLE,1.025,0
arbiter_on_inpchange4.ltl,REALIZABLE,2.627,0
arbiter_with_cancel5.ltl,REALIZABLE,2.5,0
collector_v19.ltl,REALIZABLE,1.186,0
collector_v213.ltl,REALIZABLE,2.785,0
collector_v215.ltl,TIMEOUT,17.082,124
collector_v39.ltl,REALIZABLE,6.307,0
detector_unreal13.ltl,UNREALIZABLE,1.289,1
detector_unreal14.ltl,UNREALIZABLE,3.476,1
detector_unreal15.ltl,UNREALIZABLE,7.967,1
full_arbiter_unreal12_15.ltl,UNREALIZABLE,2.061,1
full_arbiter_unreal12_16.ltl,UNREALIZABLE,4.762,1
full_arbiter_unreal13_6.ltl,UNREALIZABLE,1.499,1
full_arbiter_unreal13_7.ltl,UNREALIZABLE,10.435,1
full_arbiter_unreal14_4.ltl,UNREALIZABLE,3.432,1
full_arbiter_unreal24.ltl,UNREALIZABLE,5.165,1
generalized_buffer4.ltl,REALIZABLE,6.742,0
lift_wrong_physics_unreal10.ltl,UNREALIZABLE,1.201,1
load_balancer7.ltl,REALIZABLE,13.358,0
load_balancer_unreal12_16.ltl,UNREALIZABLE,1.596,1
load_balancer_unreal14_6.ltl,UNREALIZABLE,1.11,1
load_balancer_unreal14_7.ltl,UNREALIZABLE,8.142,1
load_balancer_unreal15_5.ltl,UNREALIZABLE,14.867,1
load_balancer_unreal25.ltl,UNREALIZABLE,12.471,1
ltl2dba_R7.ltl,UNREALIZABLE,7.056,1
ltl2dba_theta12.ltl,UNREALIZABLE,3.617,1
ltl2dpa19.ltl,REALIZABLE,1.605,0
prioritized_arbiter6.ltl,REALIZABLE,7.659,0
round_robin_arbiter_unreal12_15.ltl,UNREALIZABLE,1.201,1
round_robin_arbiter_unreal12_16.ltl,UNREALIZABLE,2.75,1
round_robin_arbiter_unreal13_6.ltl,UNREALIZABLE,1.027,1
round_robin_arbiter_unreal13_7.ltl,UNREALIZABLE,7.411,1
round_robin_arbiter_unreal14_4.ltl,UNREALIZABLE,1.818,1
rw_arbiter3.ltl,REALIZABLE,2.104,0
Automata16S.ltl,TIMEOUT,17.071,124
Automata32S.ltl,TIMEOUT,17.083,124
FelixSpecFixed2_fa4d4ce3.ltl,TIMEOUT,17.082,124
FelixSpecFixed3_b0840146.ltl,TIMEOUT,17.082,124
FelixSpecFixed4_3916ec59.ltl,TIMEOUT,17.073,124
FelixSpecFixed4_dd3a27e1.ltl,TIMEOUT,17.082,124
LedMatrix.ltl,TIMEOUT,17.082,124
abcg_arbiter3.ltl,TIMEOUT,17.049,124
abcg_arbiter4.ltl,TIMEOUT,17.082,124
amba_decomposed_lock13.ltl,TIMEOUT,17.232,124
amba_decomposed_lock14.ltl,TIMEOUT,17.433,124
amba_decomposed_lock15.ltl,TIMEOUT,17.131,124
amba_decomposed_lock16.ltl,TIMEOUT,17.133,124
arbiter6.ltl,TIMEOUT,17.033,124
arbiter7.ltl,TIMEOUT,17.049,124
arbiter8.ltl,TIMEOUT,17.082,124
arbiter_with_buffer5.ltl,TIMEOUT,17.048,124
arbiter_with_buffer6.ltl,TIMEOUT,17.082,124
arbiter_with_buffer7.ltl,UNKNOWN,14.639,2
arbiter_with_cancel6.ltl,TIMEOUT,17.082,124
detector_unreal16.ltl,TIMEOUT,17.132,124
finding_nemo_1.ltl,TIMEOUT,17.033,124
finding_nemo_4.ltl,TIMEOUT,17.048,124
finding_nemo_5.ltl,TIMEOUT,17.05,124
full_arbiter_enc10.ltl,TIMEOUT,17.049,124
