revision	binary	backend	phase	median_cycles
candidate	downset-bm	vector_backed	query	128924660
candidate	downset-bm-d128	vector_backed	intersection	159340820
base	downset-bm	vector_backed	intersection	526901220
candidate	downset-bm-d128	vector_backed	cpre	8578922549
candidate	downset-bm	vector_backed	union	247603408
base	downset-bm	vector_backed	cpre	1548949981
candidate	downset-bm	vector_backed	build	259794071
base	downset-bm	vector_backed	query	127129027
base	downset-bm-d128	vector_backed	transfer	17587578
base	downset-bm	vector_backed	transfer	20297514
base	downset-bm-d128	vector_backed	query	177468664
candidate	downset-bm	vector_backed	cpre	1655686162
base	simd-bm	vector_backed	simd	2433730
base	downset-bm	vector_backed	union	247187681
candidate	downset-bm-d128	vector_backed	query	176987764
base	downset-bm-d128	vector_backed	cpre	8469517208
base	downset-bm	vector_backed	build	259036001
base	downset-bm-d128	vector_backed	union	32766628
candidate	simd-bm	vector_backed	simd	2464099
base	downset-bm-d128	vector_backed	build	404892250
candidate	downset-bm-d128	vector_backed	union	32675231
base	downset-bm-d128	vector_backed	intersection	180216326
candidate	downset-bm-d128	vector_backed	transfer	17647303
candidate	downset-bm-d128	vector_backed	build	404763943
candidate	downset-bm	vector_backed	intersection	492635903
candidate	downset-bm	vector_backed	transfer	19434822
