revision	binary	backend	phase	repetition	cycles	perf_file
base	downset-bm	vector_backed	build	1	259934059	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-build-r1.perf
base	downset-bm	vector_backed	build	2	258991735	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-build-r2.perf
base	downset-bm	vector_backed	build	3	258895543	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-build-r3.perf
base	downset-bm	vector_backed	build	4	261062970	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-build-r4.perf
base	downset-bm	vector_backed	build	5	259036001	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-build-r5.perf
base	downset-bm	vector_backed	query	1	127692911	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-query-r1.perf
base	downset-bm	vector_backed	query	2	127129027	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-query-r2.perf
base	downset-bm	vector_backed	query	3	125411025	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-query-r3.perf
base	downset-bm	vector_backed	query	4	128658363	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-query-r4.perf
base	downset-bm	vector_backed	query	5	125741718	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-query-r5.perf
base	downset-bm	vector_backed	transfer	1	25642749	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-transfer-r1.perf
base	downset-bm	vector_backed	transfer	2	20297514	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-transfer-r2.perf
base	downset-bm	vector_backed	transfer	3	20811629	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-transfer-r3.perf
base	downset-bm	vector_backed	transfer	4	19702219	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-transfer-r4.perf
base	downset-bm	vector_backed	transfer	5	19695204	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-transfer-r5.perf
base	downset-bm	vector_backed	intersection	1	526901220	/tmp/posets-step1-stack-g2-20260811/base-downset-bm-vector_backed-intersection-r1.perf
