label	suite	instance	fixpoint_bucket	repetition	cycles	instructions	llc_load_misses	branch_misses	exit	timed_out	perf_file
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	1	464485948310	1546063567573	52854887	810213143	124	1	baseline-syntcomp24-arbiter_with_buffer6-r1.perf
candidate	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	1	482511299680	1689172953823	28050351	1707027547	124	1	candidate-syntcomp24-arbiter_with_buffer6-r1.perf
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	2	451289012434	1528333256035	38821429	823243176	124	1	baseline-syntcomp24-arbiter_with_buffer6-r2.perf
candidate	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	2	476187134962	1656027270550	38236036	1581962176	124	1	candidate-syntcomp24-arbiter_with_buffer6-r2.perf
baseline	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	3	465240940678	1578987747002	37940802	846907756	124	1	baseline-syntcomp24-arbiter_with_buffer6-r3.perf
candidate	syntcomp24	arbiter_with_buffer6.ltl	downset-bound	3	482247753598	1680988546345	35632830	1683709958	124	1	candidate-syntcomp24-arbiter_with_buffer6-r3.perf
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	1	248665165560	553139806462	31823965	811216421	124	1	baseline-syntcomp24-finding_nemo_2-r1.perf
candidate	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	1	248796440478	561887289273	21904761	844175278	124	1	candidate-syntcomp24-finding_nemo_2-r1.perf
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	2	244137815463	557317825671	14463296	809992734	124	1	baseline-syntcomp24-finding_nemo_2-r2.perf
candidate	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	2	249040248686	553112308610	26535748	903574672	124	1	candidate-syntcomp24-finding_nemo_2-r2.perf
baseline	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	3	254246843671	565116678762	30260145	861803213	124	1	baseline-syntcomp24-finding_nemo_2-r3.perf
candidate	syntcomp24	finding_nemo_2.ltl	letter-loop-bound	3	245732263674	555216081782	39413383	827289592	124	1	candidate-syntcomp24-finding_nemo_2-r3.perf
baseline	syntcomp24	lift4.ltl	downset-bound	1	676892811985	1402174518700	512125405	673608883	124	1	baseline-syntcomp24-lift4-r1.perf
candidate	syntcomp24	lift4.ltl	downset-bound	1	648418622496	1324549188488	666432897	647645050	124	1	candidate-syntcomp24-lift4-r1.perf
baseline	syntcomp24	lift4.ltl	downset-bound	2	658122311964	1394171322361	477283944	784285318	124	1	baseline-syntcomp24-lift4-r2.perf
candidate	syntcomp24	lift4.ltl	downset-bound	2	659443846332	1306794213799	693127517	658889540	124	1	candidate-syntcomp24-lift4-r2.perf
baseline	syntcomp24	lift4.ltl	downset-bound	3	628657891189	1364132240967	541767664	679483564	124	1	baseline-syntcomp24-lift4-r3.perf
candidate	syntcomp24	lift4.ltl	downset-bound	3	654857271122	1314175801388	673065407	598712780	124	1	candidate-syntcomp24-lift4-r3.perf
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	1	246244811110	505212179731	119020741	670952227	124	1	baseline-syntcomp24-round_robin_arbiter4-r1.perf
candidate	syntcomp24	round_robin_arbiter4.ltl	mixed	1	243333932774	466604508800	128197052	555605061	124	1	candidate-syntcomp24-round_robin_arbiter4-r1.perf
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	2	243018805329	505331515245	117090020	650625893	124	1	baseline-syntcomp24-round_robin_arbiter4-r2.perf
candidate	syntcomp24	round_robin_arbiter4.ltl	mixed	2	254332457611	504201095332	145091569	596953035	124	1	candidate-syntcomp24-round_robin_arbiter4-r2.perf
baseline	syntcomp24	round_robin_arbiter4.ltl	mixed	3	249301678046	523439025495	114900852	698311141	124	1	baseline-syntcomp24-round_robin_arbiter4-r3.perf
candidate	syntcomp24	round_robin_arbiter4.ltl	mixed	3	257644635777	513985525309	134332853	672737037	124	1	candidate-syntcomp24-round_robin_arbiter4-r3.perf
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	1	495282730806	1551489162252	388656	1886346953	124	1	baseline-syntcomp24-workstation_resupply_3-r1.perf
candidate	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	1	490920990982	1501532794217	424654	1815439503	124	1	candidate-syntcomp24-workstation_resupply_3-r1.perf
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	2	483006748900	1465084443358	326554	1725112340	124	1	baseline-syntcomp24-workstation_resupply_3-r2.perf
candidate	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	2	494088199995	1534678274654	329700	1822648855	124	1	candidate-syntcomp24-workstation_resupply_3-r2.perf
baseline	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	3	484678692452	1447945221441	339833	1959678164	124	1	baseline-syntcomp24-workstation_resupply_3-r3.perf
candidate	syntcomp24	workstation_resupply_3.ltl	letter-loop-bound	3	492136427393	1509503167289	356733	1879335158	124	1	candidate-syntcomp24-workstation_resupply_3-r3.perf
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	1	567846355817	1184228997603	503067608	1872110260	124	1	baseline-syntcomp25-amba_case_study_unreal_pb_2_pe_-r1.perf
candidate	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	1	556838064739	1158386302715	501828750	1817092915	124	1	candidate-syntcomp25-amba_case_study_unreal_pb_2_pe_-r1.perf
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	2	587394281785	1202486629937	514117492	1887872732	124	1	baseline-syntcomp25-amba_case_study_unreal_pb_2_pe_-r2.perf
candidate	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	2	549719145196	1128739675081	481541032	1771743874	124	1	candidate-syntcomp25-amba_case_study_unreal_pb_2_pe_-r2.perf
baseline	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	3	582162591022	1180134150532	513368440	1884621133	124	1	baseline-syntcomp25-amba_case_study_unreal_pb_2_pe_-r3.perf
candidate	syntcomp25	amba_case_study_unreal_pb_2_pe_.ltl	letter-loop-bound	3	554021240811	1130743448713	490681733	1767773584	124	1	candidate-syntcomp25-amba_case_study_unreal_pb_2_pe_-r3.perf
baseline	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	1	698582047092	1292883309924	422356309	1451214194	124	1	baseline-syntcomp25-arbiter_with_buffer_pb_5_pe_-r1.perf
candidate	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	1	683754524579	1267770101651	398480809	1425264138	124	1	candidate-syntcomp25-arbiter_with_buffer_pb_5_pe_-r1.perf
baseline	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	2	663230454216	1220146968162	373468878	1349178428	124	1	baseline-syntcomp25-arbiter_with_buffer_pb_5_pe_-r2.perf
candidate	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	2	676585207515	1263368575519	370297023	1415662517	124	1	candidate-syntcomp25-arbiter_with_buffer_pb_5_pe_-r2.perf
baseline	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	3	705700989460	1298243548115	431070544	1465710485	124	1	baseline-syntcomp25-arbiter_with_buffer_pb_5_pe_-r3.perf
candidate	syntcomp25	arbiter_with_buffer_pb_5_pe_.ltl	downset-bound	3	679648482470	1273306850493	392943424	1437809943	124	1	candidate-syntcomp25-arbiter_with_buffer_pb_5_pe_-r3.perf
baseline	syntcomp25	g-unreal-116.ltl	mixed	1	278741069442	869690567072	1583204	1411158964	1	0	baseline-syntcomp25-g-unreal-116-r1.perf
candidate	syntcomp25	g-unreal-116.ltl	mixed	1	210170770675	724390110402	1274070	903226256	1	0	candidate-syntcomp25-g-unreal-116-r1.perf
baseline	syntcomp25	g-unreal-116.ltl	mixed	2	278676697659	869602193079	1474377	1421077608	1	0	baseline-syntcomp25-g-unreal-116-r2.perf
