revision	binary	backend	phase	cycles	perf_file
candidate	downset-bm	vector_backed	build	261048945	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-build-r2.perf
candidate	downset-bm	vector_backed	query	123815076	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-query-r1.perf
candidate	downset-bm	vector_backed	transfer	19842007	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-transfer-r1.perf
candidate	downset-bm	vector_backed	intersection	623501457	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-intersection-r2.perf
candidate	downset-bm	vector_backed	union	247908022	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-union-r1.perf
candidate	downset-bm	vector_backed	cpre	1919133671	/tmp/posets-step2-arena/candidate-downset-bm-vector_backed-cpre-r1.perf
candidate	downset-bm	arena_backed	build	109603862	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-build-r2.perf
candidate	downset-bm	arena_backed	query	74638623	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-query-r1.perf
candidate	downset-bm	arena_backed	transfer	11160290	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-transfer-r1.perf
candidate	downset-bm	arena_backed	intersection	264575392	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-intersection-r2.perf
candidate	downset-bm	arena_backed	union	109926494	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-union-r2.perf
candidate	downset-bm	arena_backed	cpre	861805476	/tmp/posets-step2-arena/candidate-downset-bm-arena_backed-cpre-r2.perf
candidate	downset-bm-d128	vector_backed	build	407316235	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-build-r2.perf
candidate	downset-bm-d128	vector_backed	query	176135688	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-query-r1.perf
candidate	downset-bm-d128	vector_backed	transfer	17507180	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-transfer-r1.perf
candidate	downset-bm-d128	vector_backed	intersection	179956467	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-intersection-r2.perf
candidate	downset-bm-d128	vector_backed	union	33223824	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-union-r1.perf
candidate	downset-bm-d128	vector_backed	cpre	8631575332	/tmp/posets-step2-arena/candidate-downset-bm-d128-vector_backed-cpre-r1.perf
candidate	downset-bm-d128	arena_backed	build	346681188	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-build-r1.perf
candidate	downset-bm-d128	arena_backed	query	149067844	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-query-r2.perf
candidate	downset-bm-d128	arena_backed	transfer	11212471	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-transfer-r1.perf
candidate	downset-bm-d128	arena_backed	intersection	66999910	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-intersection-r1.perf
candidate	downset-bm-d128	arena_backed	union	22258396	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-union-r2.perf
candidate	downset-bm-d128	arena_backed	cpre	3547389787	/tmp/posets-step2-arena/candidate-downset-bm-d128-arena_backed-cpre-r2.perf
candidate	simd-bm	vector_backed	simd	2407990	/tmp/posets-step2-arena/candidate-simd-bm-vector_backed-simd-r2.perf
