variant	phase	cycles	perf_file
baseline	build	392645283	/tmp/posets-step2-cached-sum-g2/baseline-build-r2.perf
baseline	query	223229199	/tmp/posets-step2-cached-sum-g2/baseline-query-r2.perf
baseline	transfer	30364751	/tmp/posets-step2-cached-sum-g2/baseline-transfer-r2.perf
baseline	intersection	37885991	/tmp/posets-step2-cached-sum-g2/baseline-intersection-r1.perf
baseline	union	35917625	/tmp/posets-step2-cached-sum-g2/baseline-union-r2.perf
baseline	cpre	1537094574	/tmp/posets-step2-cached-sum-g2/baseline-cpre-r1.perf
candidate	build	430584079	/tmp/posets-step2-cached-sum-g2/candidate-build-r2.perf
candidate	query	241105176	/tmp/posets-step2-cached-sum-g2/candidate-query-r1.perf
candidate	transfer	32191586	/tmp/posets-step2-cached-sum-g2/candidate-transfer-r2.perf
candidate	intersection	41789569	/tmp/posets-step2-cached-sum-g2/candidate-intersection-r1.perf
candidate	union	37005245	/tmp/posets-step2-cached-sum-g2/candidate-union-r2.perf
candidate	cpre	1633938403	/tmp/posets-step2-cached-sum-g2/candidate-cpre-r1.perf
