instance,result,seconds,exit
amba_case_study2.ltl,REALIZABLE,1.72,0
amba_decomposed_encode12.ltl,REALIZABLE,0.056,0
amba_decomposed_encode13.ltl,REALIZABLE,0.067,0
amba_decomposed_encode14.ltl,REALIZABLE,0.134,0
amba_decomposed_lock9.ltl,REALIZABLE,0.148,0
collector_v19.ltl,REALIZABLE,1.098,0
collector_v213.ltl,REALIZABLE,2.579,0
collector_v215.ltl,TIMEOUT,17.081,124
collector_v39.ltl,REALIZABLE,6.078,0
Core_4b5a2bad.ltl,UNREALIZABLE,0.044,1
detector14.ltl,REALIZABLE,0.018,0
detector_unreal12.ltl,UNREALIZABLE,0.632,1
detector_unreal13.ltl,UNREALIZABLE,1.364,1
detector_unreal14.ltl,UNREALIZABLE,3.582,1
full_arbiter_unreal12_14.ltl,UNREALIZABLE,1.008,1
full_arbiter_unreal12_15.ltl,UNREALIZABLE,2.199,1
full_arbiter_unreal12_16.ltl,UNREALIZABLE,4.626,1
full_arbiter_unreal13_6.ltl,UNREALIZABLE,1.523,1
full_arbiter_unreal14_4.ltl,UNREALIZABLE,3.131,1
full_arbiter_unreal24.ltl,UNREALIZABLE,5.42,1
GamemodeChooser.ltl,REALIZABLE,0.02,0
KitchenTimerV10.ltl,REALIZABLE,0.08,0
KitchenTimerV8.ltl,REALIZABLE,0.081,0
Lights2_06e9cad4.ltl,REALIZABLE,0.291,0
Lights2_0f5381e9.ltl,REALIZABLE,0.284,0
Lights2_9cac58d3.ltl,REALIZABLE,0.346,0
Lights2_b02056d6.ltl,REALIZABLE,0.324,0
Lights2_f3987563.ltl,REALIZABLE,0.285,0
LightsTotal_9cbf2546.ltl,REALIZABLE,0.675,0
load_balancer6.ltl,REALIZABLE,0.651,0
load_balancer_unreal12_15.ltl,UNREALIZABLE,0.746,1
load_balancer_unreal12_16.ltl,UNREALIZABLE,1.784,1
load_balancer_unreal13_12.ltl,UNREALIZABLE,0.616,1
load_balancer_unreal14_6.ltl,UNREALIZABLE,1.082,1
load_balancer_unreal14_7.ltl,UNREALIZABLE,8.66,1
ltl2dba_beta3.ltl,REALIZABLE,0.017,0
ltl2dba_beta4.ltl,REALIZABLE,0.01,0
ltl2dba_C214.ltl,REALIZABLE,0.009,0
ltl2dba_E5.ltl,REALIZABLE,0.009,0
ltl2dba_E6.ltl,REALIZABLE,0.01,0
ltl2dba_Q5.ltl,REALIZABLE,0.01,0
ltl2dba_R7.ltl,UNREALIZABLE,6.994,1
ltl2dba_theta10.ltl,UNREALIZABLE,0.603,1
ltl2dba_U17.ltl,REALIZABLE,0.021,0
ltl2dba_U18.ltl,REALIZABLE,0.016,0
mux16.ltl,REALIZABLE,0.02,0
OneCounterGuiA1.ltl,UNREALIZABLE,0.015,1
OneCounterGuiA2.ltl,UNREALIZABLE,0.019,1
OneCounterGuiA3.ltl,UNREALIZABLE,0.046,1
OneCounterGuiA4.ltl,UNREALIZABLE,0.051,1
OneCounterGuiA5.ltl,UNREALIZABLE,0.102,1
OneCounterGuiA6.ltl,UNREALIZABLE,0.323,1
OneCounterGuiA7.ltl,UNREALIZABLE,0.966,1
OneCounterGuiA8.ltl,UNREALIZABLE,3.45,1
prioritized_arbiter6.ltl,REALIZABLE,7.181,0
prioritized_arbiter_enc10.ltl,TIMEOUT,17.033,124
prioritized_arbiter_unreal12_13.ltl,UNREALIZABLE,0.018,1
prioritized_arbiter_unreal12_14.ltl,UNREALIZABLE,0.012,1
prioritized_arbiter_unreal12_15.ltl,UNREALIZABLE,0.012,1
prioritized_arbiter_unreal13_5.ltl,UNREALIZABLE,0.011,1
prioritized_arbiter_unreal13_6.ltl,UNREALIZABLE,0.012,1
prioritized_arbiter_unreal14_3.ltl,UNREALIZABLE,0.011,1
prioritized_arbiter_unreal14_4.ltl,UNREALIZABLE,0.011,1
prioritized_arbiter_unreal24.ltl,UNREALIZABLE,0.011,1
robot_grid16_16.ltl,TIMEOUT,17.048,124
round_robin_arbiter4.ltl,TIMEOUT,17.032,124
round_robin_arbiter_unreal12_15.ltl,UNREALIZABLE,1.295,1
round_robin_arbiter_unreal12_16.ltl,UNREALIZABLE,2.747,1
round_robin_arbiter_unreal13_6.ltl,UNREALIZABLE,1.03,1
round_robin_arbiter_unreal13_7.ltl,UNREALIZABLE,7.471,1
round_robin_arbiter_unreal14_4.ltl,UNREALIZABLE,1.708,1
SensorInit.ltl,REALIZABLE,0.147,0
SensorSubmodulChooser.ltl,REALIZABLE,0.045,0
simple_arbiter_enc10.ltl,TIMEOUT,17.033,124
simple_arbiter_unreal13_6.ltl,UNREALIZABLE,0.017,1
simple_arbiter_unreal13_7.ltl,UNREALIZABLE,0.011,1
simple_arbiter_unreal14_4.ltl,UNREALIZABLE,0.012,1
simple_arbiter_unreal15_3.ltl,UNREALIZABLE,0.012,1
SingleContoller_d65ed84e.ltl,UNREALIZABLE,0.024,1
SPIWriteManag.ltl,REALIZABLE,0.078,0
test2_f2774e0b.ltl,REALIZABLE,0.019,0
test3_efe2feaf.ltl,REALIZABLE,0.018,0
TwoCounters2.ltl,UNREALIZABLE,0.058,1
TwoCounters3.ltl,REALIZABLE,1.604,0
TwoCountersInRangeA0.ltl,UNREALIZABLE,0.029,1
TwoCountersInRangeA1.ltl,UNREALIZABLE,0.051,1
TwoCountersInRangeA2.ltl,UNREALIZABLE,0.053,1
TwoCountersInRangeA3.ltl,UNREALIZABLE,0.055,1
TwoCountersInRangeA4.ltl,UNREALIZABLE,0.054,1
TwoCountersInRangeM0.ltl,UNREALIZABLE,0.077,1
TwoCountersInRangeM1.ltl,UNREALIZABLE,0.083,1
TwoCountersInRangeM2.ltl,UNREALIZABLE,0.072,1
TwoCountersInRangeM4.ltl,UNREALIZABLE,0.065,1
TwoCountersInRange.ltl,UNREALIZABLE,0.033,1
