instance,result,seconds,exit
AllHeating_d6376bf9.ltl,REALIZABLE,0.009,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.006,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.006,0
Coffee_06e9cad4.ltl,REALIZABLE,0.014,0
GamemodeChooser.ltl,REALIZABLE,0.006,0
LightsMin_6bea956e.ltl,REALIZABLE,0.006,0
Lights_06e9cad4.ltl,REALIZABLE,0.02,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.516,1
Shades2Min_63831f8c.ltl,REALIZABLE,0.007,0
SingleContoller_d65ed84e.ltl,UNREALIZABLE,0.017,1
TorcsAccelerating.ltl,REALIZABLE,0.005,0
TorcsSimple.ltl,REALIZABLE,0.006,0
amba_decomposed_decode.ltl,REALIZABLE,0.005,0
amba_decomposed_encode_pb_15_pe_.ltl,REALIZABLE,0.264,0
arbiter_with_buffer_pb_2_pe_.ltl,REALIZABLE,0.006,0
batch-arbiter-real.ltl,REALIZABLE,0.022,0
box-limited-real.ltl,REALIZABLE,0.03,0
chain-simple-30-real.ltl,REALIZABLE,0.373,0
lift_wrong_physics_unreal_pb_3_pe_.ltl,UNREALIZABLE,0.009,1
lift_wrong_physics_unreal_pb_4_pe_.ltl,UNREALIZABLE,0.011,1
load_balancer_pb_2_pe_.ltl,REALIZABLE,0.007,0
load_balancer_unreal1_pb_2_10_pe_.ltl,UNREALIZABLE,0.021,1
load_balancer_unreal1_pb_2_2_pe_.ltl,UNREALIZABLE,0.007,1
load_balancer_unreal1_pb_3_11_pe_.ltl,UNREALIZABLE,0.254,1
load_balancer_unreal1_pb_4_1_pe_.ltl,UNREALIZABLE,0.015,1
load_balancer_unreal1_pb_5_2_pe_.ltl,UNREALIZABLE,0.048,1
load_balancer_unreal1_pb_6_2_pe_.ltl,UNREALIZABLE,0.216,1
load_balancer_unreal1_pb_6_3_pe_.ltl,UNREALIZABLE,0.603,1
load_balancer_unreal2_pb_2_pe_.ltl,REALIZABLE,0.009,0
ltl2dba_C2_unreal_pb_2_pe_.ltl,UNREALIZABLE,0.006,1
ltl2dba_Q_pb_50_pe_.ltl,REALIZABLE,0.004,0
ltl2dpa22.ltl,REALIZABLE,0.079,0
narylatch_pb_32_pe_.ltl,REALIZABLE,0.015,0
patrolling-alarm5.ltl,UNREALIZABLE,0.136,1
shift_pb_16_pe_.ltl,REALIZABLE,0.006,0
simple_arbiter_unreal1_pb_4_4_pe_.ltl,UNREALIZABLE,0.007,1
simple_arbiter_unreal1_pb_4_5_pe_.ltl,UNREALIZABLE,0.006,1
simple_arbiter_unreal1_pb_5_7_pe_.ltl,UNREALIZABLE,0.006,1
simple_arbiter_unreal1_pb_6_1_pe_.ltl,UNREALIZABLE,0.006,1
simple_arbiter_unreal2_pb_10_pe_.ltl,UNREALIZABLE,0.007,1
F-G-contradiction-13.ltl,UNREALIZABLE,1.016,1
F-G-contradiction-14.ltl,UNREALIZABLE,2.078,1
GF-G-contradiction2.ltl,UNREALIZABLE,1.61,1
Morning2_1cf58fc1.ltl,UNREALIZABLE,8.559,1
Morning_f2774e0b.ltl,UNREALIZABLE,11.071,1
OneCounterGuiA8.ltl,UNREALIZABLE,3.116,1
TwoCounters3.ltl,REALIZABLE,1.167,0
amba_case_study_pb_2_pe_.ltl,REALIZABLE,1.828,0
amba_decomposed_arbiter_pb_6_pe_.ltl,REALIZABLE,1.765,0
amba_decomposed_lock_pb_12_pe_.ltl,REALIZABLE,6.579,0
amba_decomposed_lock_pb_13_pe_.ltl,TIMEOUT,17.168,124
arbiter_on_inpchange_pb_4_pe_.ltl,REALIZABLE,2.162,0
arbiter_pb_5_pe_.ltl,REALIZABLE,0.491,0
arbiter_with_cancel_pb_5_pe_.ltl,REALIZABLE,1.347,0
chain-simple-70-real.ltl,REALIZABLE,0.973,0
chain-simple-param-70-real.ltl,REALIZABLE,1.106,0
chomp_pb_2_3_pe_.ltl,REALIZABLE,3.153,0
collector_v2_pb_13_pe_.ltl,REALIZABLE,2.268,0
full_arbiter_unreal1_pb_2_16_pe_.ltl,UNREALIZABLE,4.404,1
