instance	syfco_pair_match	formula_ast_match	formula_bytes_match	inputs_match	outputs_match	native_formula_key_sha256	syfco_formula_key_sha256	native_formula_bytes_sha256	syfco_formula_bytes_sha256	error
AlarmMin_efe2feaf.tlsf	1	1	0	1	1	b9a9bfbd059f5c2b4a5264c59acb9a9e627733bb07a9b1adb457f738b7964ecb	b9a9bfbd059f5c2b4a5264c59acb9a9e627733bb07a9b1adb457f738b7964ecb	a5303be9ecc7d6fbe094d815889e6680020ab2fe484db7feecb00c52c0e817fc	47d8c011fd72e00433972e9b78859ac30ace9daca0c2ed5508f6e49129aa7238	
AllHeating_d6376bf9.tlsf	1	1	0	1	1	7f22c36d47807f4cb67c54fbbc7d47b15debefef0fc421f17a648c3f583e930b	7f22c36d47807f4cb67c54fbbc7d47b15debefef0fc421f17a648c3f583e930b	7cb7358180696ffcb945c3bb9394d4468851e6843bc59607e3afa8bd77bcecba	f3e84529172b9f1418faff62cd580de88b70e4e596fdffccf5f330f88ea2c89e	
CheckLight_007df645.tlsf	1	1	0	1	1	ac1535e70eba4d560581d0774a64f9594e7c3a5a524689b8c77d2b08b696c3fd	ac1535e70eba4d560581d0774a64f9594e7c3a5a524689b8c77d2b08b696c3fd	153e8bd8865d5409713d3e60ebc05e0320d314015043a4b86b855dba13548a40	93427dfad3737f568bcc4d6abb6449f3e1b21c0c66c6773e3591761b4c7b4bbd	
Coffee_2c5b09da.tlsf	1	1	0	1	1	4d5057e05f4b008d412713718669b0d67174264c72937115593a401769645744	4d5057e05f4b008d412713718669b0d67174264c72937115593a401769645744	4165fca9bfca2c3ddef4fa4097602308e4e55d494bba64cbceabe08e4873e61f	a088453ca0f340d0f607eb5842b1729f7595870d627bee2f10e1f7b68d6c7004	
F-G-contradiction-14.tlsf	1	1	0	1	1	f599a53a358d26696b5a5a6cddb6bd753cc3094a4e114af3673df24729f9d827	f599a53a358d26696b5a5a6cddb6bd753cc3094a4e114af3673df24729f9d827	2f792cf598c2cfbab873ac656dbb1d7bb5bca2a36e1f1e2d2a18b7116d83937e	2edbe9226d84a03252202b7ad667248524865266b9780642b02c1b2b19c70f16	
GF-G-contradiction3.tlsf	1	1	0	1	1	f9c48b082c25c2ed34c05e00097cfe88998b91ba1b1c3179b60c18a4b8252041	f9c48b082c25c2ed34c05e00097cfe88998b91ba1b1c3179b60c18a4b8252041	6d512d06871b1a6927a6c7990d565198b8a7455093b05d0dd7793bd2c5c95444	b666c0882b80e1b9d2ae9758c33b8d7e05dd7e365f9a18c836f62d08c8a96e7e	
KitchenTimerV4.tlsf	1	1	0	1	1	8e890119ec670a4a75de484862547f316376180aa2c5280781a4be4b68261f20	8e890119ec670a4a75de484862547f316376180aa2c5280781a4be4b68261f20	dd44bb3d7e7b50c3c7ff0ec4c8ac9c752bd50d3202effcd457de6ceacf0b9efd	9892dbb37563b48204f9b0482c847fcf642919e63edaa96360a77a2292581d6a	
KitchenTimerV5.tlsf	1	1	0	1	1	2bc93b202d46797ae76ce35bab4bf1bc6353185c72f8fc027063aa104fe4836b	2bc93b202d46797ae76ce35bab4bf1bc6353185c72f8fc027063aa104fe4836b	9423ac5b11e706067fd076514271bddbe46ef77f7e396f556a79956414dc5c58	876e89f8e30e573c05b0a3ef60446282560c18ad06da84ebb648091043fe06b1	
Morning2s_06cf2373.tlsf	1	1	0	1	1	ec3c65f16bd3f379e383846cf6a445089f1d7e0721cb67a368e538937bac0068	ec3c65f16bd3f379e383846cf6a445089f1d7e0721cb67a368e538937bac0068	d4804ef0238447c11a8b345cfbad3c5ae73eeb7d162d4df3ac92a3cb7d4d5790	b6a5d17bb61af6c915996af70249419e1f802de5b2a8595cc494845672e8e79d	
Morning_f2774e0b.tlsf	1	1	0	1	1	158e585e340060e3f3250f55eef18781209a237e781ab4205a5a642dfb1d845d	158e585e340060e3f3250f55eef18781209a237e781ab4205a5a642dfb1d845d	8ec5a26f2ae8162b950094060e35ae2f29d893ef9d6db94db581cc07f511d64f	51d6a45f08307162bb847bd589bc109bb3c03c686aa791bff177329e252d7659	
MusicAppMotivating.tlsf	1	1	0	1	1	46b3432b2468a4050dd6d6ce65a8e00b1254cdd2c0ec9452ecd083060cef1b46	46b3432b2468a4050dd6d6ce65a8e00b1254cdd2c0ec9452ecd083060cef1b46	561d4ff72c6e10461d4d3794e892aa47f95ccd774f402be516b359e59aa8130e	ff58ad8b2457f03e59f5fcd41cbec21cca8b5c7265cd4d8173ab4d4d66b9dd23	
OneCounterInRangeA2.tlsf	1	1	0	1	1	6dbbd709ba5ae1674819afa2b40142e068e7b3f5b8e4c6a3be8aef6bd4db874f	6dbbd709ba5ae1674819afa2b40142e068e7b3f5b8e4c6a3be8aef6bd4db874f	f370f93ce51ceb7bfb9dd8030148119dfefc0f05d41ddf4b15c16bfc04d3b62a	708cd6de06a4fbed9d24268465e0b9358b9fa22803434a194d4f9f7e346aebbc	
TwoCountersInRangeM4.tlsf	1	1	0	1	1	b25c0c90773d9abdbb13fb1c09d425ef8a303c0a8f8a295fc2e0742546edcadc	b25c0c90773d9abdbb13fb1c09d425ef8a303c0a8f8a295fc2e0742546edcadc	ae7968c5066c08c66029c0836b31fab4ef6fc3737c039209b0b5e80bcb13a176	ffa2b24a9370b1d10dd7ea7f91463998553c7318c025b378413394f0ba54fd65	
Warnlight_2d1010f8.tlsf	1	1	0	1	1	ceeb60fe2e575a4aeb295414ff8a909bbc36ce4b2ba9bbe662f04d401b25e04c	ceeb60fe2e575a4aeb295414ff8a909bbc36ce4b2ba9bbe662f04d401b25e04c	4c20ddb24dc88a49fa13b458f5b4ed8166ea920b2afe261ae7bc153f4d9ee467	92614639bbaae5aac05431301ed470a5d2ea3d2d6b5ed52369c7b589184b8d38	
amba_case_study_pb_2_pe_.tlsf	1	1	0	1	1	5439a5bc9d732b379b7997d33dbf5b4f6f160fade34ae28ac8bc4c0a24cbcd20	5439a5bc9d732b379b7997d33dbf5b4f6f160fade34ae28ac8bc4c0a24cbcd20	6dda3c23ea4cb72e8ae96d8d90d7729c7f76ffa9f4419347155d5b2357cf2b56	6eba37f693c6a4c8e8aab7ffef58039bc272dbdeb1fa0c0a7fc0cb49439a2a2a	
amba_decomposed_arbiter_pb_16_pe_.tlsf	1	1	0	1	1	a72c44f36747e3f75c27361310da42ef10b66c7e3aa57b74a3efe7000be05e12	a72c44f36747e3f75c27361310da42ef10b66c7e3aa57b74a3efe7000be05e12	9a564539cb4a9ada64fbe8d5699552ab1ba750a1e8f1904058bd82d8f3253663	11a3a88d43a8d49f0977350624c05858b4405420cbff0da235468e626b7aa934	
amba_decomposed_encode_pb_20_pe_.tlsf	1	1	0	1	1	845a64052ec76f8b03dc17f2b0e71d033930c40f65acf62aa8053cee0c1ad58a	845a64052ec76f8b03dc17f2b0e71d033930c40f65acf62aa8053cee0c1ad58a	295f1fbca5493acd0551f533165a1a278ed9a84708a8572ef1c17fb318d98627	128081870faf7292514f2739c2ae00e0ffe7b946f9a93eabf7363c1f0791c4fe	
amba_decomposed_lock_pb_10_pe_.tlsf	1	1	0	1	1	c7e0ecf7130b2cb00d9b6b678c4bc0f626af55e7e19d9eb073838b5df307c58e	c7e0ecf7130b2cb00d9b6b678c4bc0f626af55e7e19d9eb073838b5df307c58e	2ca959e2c74a02173687c8bd3ec28b11768b6b5aeedaea88a080041caf6cd918	a72eb5672e3146cf4353242b3d401ee76e552de808b4617c42a4060224ca0e02	
amba_decomposed_lock_pb_14_pe_.tlsf	1	1	0	1	1	6416c00e2e3f596910cbd91f9d734ca79c28efc72dde24f580002e2d4b41efac	6416c00e2e3f596910cbd91f9d734ca79c28efc72dde24f580002e2d4b41efac	264fa3b953e83426962cf310f8b9de8393d080ae24daf7b98dc06af48f9b051f	2412ab31f03270629fc8d8dbd4c5305b4aff024d5c6a2393f541f42d550eaec1	
