instance,native_result,native_seconds,native_exit,converted_result,converted_seconds,converted_exit,comparison
01.tlsf,REALIZABLE,0.027,0,REALIZABLE,0.026,0,MATCH
02.tlsf,REALIZABLE,0.031,0,REALIZABLE,0.029,0,MATCH
03.tlsf,REALIZABLE,2.675,0,REALIZABLE,2.863,0,MATCH
05.tlsf,REALIZABLE,11.188,0,REALIZABLE,11.316,0,MATCH
06.tlsf,REALIZABLE,15.440,0,REALIZABLE,15.710,0,MATCH
07.tlsf,REALIZABLE,15.617,0,REALIZABLE,15.669,0,MATCH
08.tlsf,TIMEOUT,17.022,124,TIMEOUT,17.022,124,MATCH
09.tlsf,REALIZABLE,7.367,0,REALIZABLE,7.309,0,MATCH
10.tlsf,REALIZABLE,3.129,0,REALIZABLE,3.159,0,MATCH
11.tlsf,REALIZABLE,3.080,0,REALIZABLE,3.103,0,MATCH
12.tlsf,REALIZABLE,5.022,0,REALIZABLE,5.015,0,MATCH
13.tlsf,REALIZABLE,5.194,0,REALIZABLE,5.861,0,MATCH
ActionConverter.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.006,0,MATCH
AlarmMin_efe2feaf.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
Alarm_06e9cad4.tlsf,REALIZABLE,1.998,0,REALIZABLE,2.038,0,MATCH
Alarm_2d1010f8.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.007,0,MATCH
Alarm_68c86764.tlsf,REALIZABLE,1.965,0,REALIZABLE,1.985,0,MATCH
Alarm_70523fbe.tlsf,REALIZABLE,0.986,0,REALIZABLE,1.071,0,MATCH
Alarm_88c5c1c3.tlsf,REALIZABLE,0.007,0,REALIZABLE,0.006,0,MATCH
Alarm_9cac58d3.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
Alarm_a5f99bc6.tlsf,TIMEOUT,17.029,124,TIMEOUT,17.028,124,MATCH
Alarm_f2774e0b.tlsf,REALIZABLE,1.033,0,REALIZABLE,0.984,0,MATCH
AllHeating_d6376bf9.tlsf,REALIZABLE,0.009,0,REALIZABLE,0.008,0,MATCH
AllLights_06e9cad4.tlsf,TIMEOUT,17.038,124,TIMEOUT,17.038,124,MATCH
AllLights_2c5b09da.tlsf,TIMEOUT,17.044,124,UNREALIZABLE,16.562,1,CONVERTED_ONLY
AllLights_63831f8c.tlsf,TIMEOUT,17.027,124,TIMEOUT,17.040,124,MATCH
AllLights_aeb1d897.tlsf,TIMEOUT,17.055,124,TIMEOUT,17.055,124,MATCH
AllLights_b209ff21.tlsf,TIMEOUT,17.050,124,TIMEOUT,17.047,124,MATCH
AllLights_d6c5ac79.tlsf,TIMEOUT,17.048,124,TIMEOUT,17.041,124,MATCH
AllShades_66f450a4.tlsf,TIMEOUT,17.031,124,TIMEOUT,17.031,124,MATCH
Assumptions_a50cadd7.tlsf,UNREALIZABLE,0.008,1,UNREALIZABLE,0.006,1,MATCH
Automata.tlsf,REALIZABLE,0.035,0,REALIZABLE,0.037,0,MATCH
Automata16S.tlsf,TIMEOUT,17.050,124,TIMEOUT,17.050,124,MATCH
Automata32S.tlsf,TIMEOUT,17.034,124,TIMEOUT,17.049,124,MATCH
Button.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
CheckAlarmBroken1_1a2942e3.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
CheckAlarm_6bea956e.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckCoffeMachineBroken1_a5f99bc6.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.006,0,MATCH
CheckCoffeMachine_3461125b.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CheckCoffeMachine_f3987563.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
CheckDoor_c2b9e44d.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckHeating_2418b67e.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CheckHeating_3461125b.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CheckLight_007df645.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.007,1,MATCH
CheckLight_aeb1d897.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CheckRoom_06e9cad4.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckRoom_2c5b09da.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckRoom_3916ec59.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckRoom_70523fbe.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckShades_1a2942e3.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckShades_3461125b.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
CheckShades_4d4ca5c4.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
CheckShades_aeb1d897.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CheckTime_3916ec59.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckTime_4b5e6eaa.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckTime_54e1f7d2.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckTimer_54e1f7d2.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.005,1,MATCH
CheckTimer_fa8592c8.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.006,1,MATCH
CheckWarnlightBroken1_70523fbe.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
CheckWarnlight_1cf58fc1.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckWarnlight_4b5a2bad.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckWarnlight_54e1f7d2.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckWarnlight_6bea956e.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
CheckWindows_54e1f7d2.tlsf,UNREALIZABLE,0.005,1,UNREALIZABLE,0.005,1,MATCH
Cockpitboard.tlsf,REALIZABLE,0.005,0,REALIZABLE,0.005,0,MATCH
Cockpitboard_efe2feaf.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
CoffeMachine_974f4a68.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
CoffeMachine_a50cadd7.tlsf,UNREALIZABLE,0.006,1,UNREALIZABLE,0.006,1,MATCH
CoffeeMin_88f351a6.tlsf,REALIZABLE,0.006,0,REALIZABLE,0.005,0,MATCH
Coffee_06e9cad4.tlsf,REALIZABLE,0.014,0,REALIZABLE,0.014,0,MATCH
Coffee_235467da.tlsf,REALIZABLE,0.012,0,REALIZABLE,0.012,0,MATCH
Coffee_2c5b09da.tlsf,REALIZABLE,0.008,0,REALIZABLE,0.008,0,MATCH
Coffee_6479ef9a.tlsf,REALIZABLE,0.015,0,REALIZABLE,0.015,0,MATCH
Coffee_d6376bf9.tlsf,REALIZABLE,0.013,0,REALIZABLE,0.013,0,MATCH
Coffee_efe2feaf.tlsf,REALIZABLE,0.012,0,REALIZABLE,0.012,0,MATCH
Coffee_f1477cc5.tlsf,UNREALIZABLE,0.010,1,UNREALIZABLE,0.010,1,MATCH
Core_4b5a2bad.tlsf,UNREALIZABLE,0.019,1,UNREALIZABLE,0.019,1,MATCH
Core_66f450a4.tlsf,UNREALIZABLE,0.007,1,UNREALIZABLE,0.006,1,MATCH
Core_fa4d4ce3.tlsf,UNREALIZABLE,0.014,1,UNREALIZABLE,0.014,1,MATCH
Core_solved_974f4a68.tlsf,REALIZABLE,0.041,0,REALIZABLE,0.040,0,MATCH
Demo1_06e9cad4.tlsf,TIMEOUT,17.045,124,TIMEOUT,17.046,124,MATCH
Demo1_2c5b09da.tlsf,TIMEOUT,17.048,124,TIMEOUT,17.047,124,MATCH
Demo1_63831f8c.tlsf,TIMEOUT,17.047,124,TIMEOUT,17.048,124,MATCH
Demo1_c2b9e44d.tlsf,TIMEOUT,17.046,124,TIMEOUT,17.045,124,MATCH
