instance,acacia_result,acacia_seconds,acacia_exit,ltlsynt_result,ltlsynt_seconds,ltlsynt_exit,ltlsynt_comparison
01.tlsf,REALIZABLE,0.043,0,REALIZABLE,0.021,0,LTLSYNT_FASTER
02.tlsf,REALIZABLE,0.047,0,REALIZABLE,0.041,0,LTLSYNT_FASTER
03.tlsf,REALIZABLE,3.55,0,REALIZABLE,4.112,0,
05.tlsf,REALIZABLE,15.315,0,TIMEOUT,17.049,124,
06.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.049,124,
07.tlsf,TIMEOUT,17.082,124,TIMEOUT,17.037,124,
08.tlsf,TIMEOUT,17.033,124,TIMEOUT,17.075,124,
09.tlsf,REALIZABLE,8.064,0,TIMEOUT,17.081,124,
10.tlsf,REALIZABLE,3.343,0,TIMEOUT,17.082,124,
11.tlsf,REALIZABLE,3.481,0,TIMEOUT,17.081,124,
12.tlsf,REALIZABLE,6.569,0,TIMEOUT,17.081,124,
13.tlsf,REALIZABLE,6.45,0,TIMEOUT,17.049,124,
ActionConverter.tlsf,REALIZABLE,0.019,0,REALIZABLE,0.011,0,LTLSYNT_FASTER
AlarmMin_efe2feaf.tlsf,REALIZABLE,0.01,0,REALIZABLE,0.01,0,
Alarm_06e9cad4.tlsf,REALIZABLE,2.814,0,TIMEOUT,17.049,124,
Alarm_2d1010f8.tlsf,REALIZABLE,0.02,0,REALIZABLE,0.017,0,LTLSYNT_FASTER
Alarm_68c86764.tlsf,REALIZABLE,2.803,0,TIMEOUT,17.049,124,
Alarm_70523fbe.tlsf,REALIZABLE,1.384,0,TIMEOUT,17.049,124,
Alarm_88c5c1c3.tlsf,REALIZABLE,0.017,0,REALIZABLE,0.015,0,LTLSYNT_FASTER
Alarm_9cac58d3.tlsf,REALIZABLE,0.011,0,REALIZABLE,0.015,0,
Alarm_a5f99bc6.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.049,124,
Alarm_f2774e0b.tlsf,REALIZABLE,1.499,0,TIMEOUT,17.049,124,
AllHeating_d6376bf9.tlsf,REALIZABLE,0.023,0,REALIZABLE,0.019,0,LTLSYNT_FASTER
AllLights_06e9cad4.tlsf,UNREALIZABLE,13.982,1,TIMEOUT,17.033,124,
AllLights_2c5b09da.tlsf,UNREALIZABLE,11.953,1,TIMEOUT,17.049,124,
AllLights_63831f8c.tlsf,UNREALIZABLE,14.751,1,TIMEOUT,17.031,124,
AllLights_aeb1d897.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.033,124,
AllLights_b209ff21.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.033,124,
AllLights_d6c5ac79.tlsf,TIMEOUT,17.049,124,TIMEOUT,17.028,124,
AllShades_66f450a4.tlsf,TIMEOUT,17.05,124,TIMEOUT,17.043,124,
Assumptions_a50cadd7.tlsf,UNREALIZABLE,0.017,1,UNREALIZABLE,0.011,1,LTLSYNT_FASTER
Automata.tlsf,REALIZABLE,0.038,0,REALIZABLE,0.02,0,LTLSYNT_FASTER
Automata16S.tlsf,TIMEOUT,17.082,124,REALIZABLE,0.024,0,SOLVED_ONLY_BY_LTLSYNT
Automata32S.tlsf,TIMEOUT,17.082,124,REALIZABLE,0.027,0,SOLVED_ONLY_BY_LTLSYNT
Button.tlsf,REALIZABLE,0.016,0,REALIZABLE,0.009,0,LTLSYNT_FASTER
CheckAlarmBroken1_1a2942e3.tlsf,REALIZABLE,0.009,0,REALIZABLE,0.009,0,
CheckAlarm_6bea956e.tlsf,UNREALIZABLE,0.009,1,UNREALIZABLE,0.009,1,
CheckCoffeMachineBroken1_a5f99bc6.tlsf,REALIZABLE,0.011,0,REALIZABLE,0.01,0,LTLSYNT_FASTER
CheckCoffeMachine_3461125b.tlsf,UNREALIZABLE,0.011,1,UNREALIZABLE,0.01,1,LTLSYNT_FASTER
