solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_60	failure_kind_at_60
mix4_bboxtree	01.ltl	1	REALIZABLE	0.029781633988022804	false	
mix4_bboxtree	02.ltl	1	REALIZABLE	0.059658924816176295	false	
mix4_bboxtree	03.ltl	5	REALIZABLE	3.618654203834012	false	
mix4_bboxtree	05.ltl				true	TIMEOUT
mix4_bboxtree	06.ltl				true	TIMEOUT
mix4_bboxtree	07.ltl				true	TIMEOUT
mix4_bboxtree	08.ltl				true	TIMEOUT
mix4_bboxtree	09.ltl	17	REALIZABLE	10.450499513885006	false	REALIZABLE
mix4_bboxtree	10.ltl	5	REALIZABLE	4.10624957899563	false	
mix4_bboxtree	11.ltl	5	REALIZABLE	4.339566576993093	false	
mix4_bboxtree	12.ltl	17	REALIZABLE	5.941446478012949	false	REALIZABLE
mix4_bboxtree	13.ltl	17	REALIZABLE	6.9161137759219855	false	REALIZABLE
mix4_bboxtree	ActionConverter.ltl	1	REALIZABLE	0.014883684925734997	false	
mix4_bboxtree	AlarmMin_efe2feaf.ltl	1	REALIZABLE	0.015161586925387383	false	
mix4_bboxtree	Alarm_06e9cad4.ltl	17	REALIZABLE	16.774849836016074	false	REALIZABLE
mix4_bboxtree	Alarm_2d1010f8.ltl	1	REALIZABLE	0.02453179215081036	false	
mix4_bboxtree	Alarm_68c86764.ltl	17	REALIZABLE	15.702736960956827	false	REALIZABLE
mix4_bboxtree	Alarm_70523fbe.ltl	17	REALIZABLE	8.626142085064203	false	REALIZABLE
mix4_bboxtree	Alarm_88c5c1c3.ltl	1	REALIZABLE	0.01655609509907663	false	
mix4_bboxtree	Alarm_9cac58d3.ltl	1	REALIZABLE	0.009897019946947694	false	
mix4_bboxtree	Alarm_a5f99bc6.ltl				true	TIMEOUT
mix4_bboxtree	Alarm_f2774e0b.ltl	17	REALIZABLE	8.572121480014175	false	REALIZABLE
mix4_bboxtree	AllHeating_d6376bf9.ltl	1	REALIZABLE	0.027533025946468115	false	
mix4_bboxtree	AllLights_06e9cad4.ltl	5	UNREALIZABLE	4.689594984054565	false	
mix4_bboxtree	AllLights_2c5b09da.ltl	5	UNREALIZABLE	1.9086283680517226	false	
mix4_bboxtree	AllLights_63831f8c.ltl	5	UNREALIZABLE	4.736367824953049	false	
