instance	tier	arm	stage_reached	status	k	campaign_result	campaign_seconds	search_ms	verification_ms	row_generation_ms	prep_ms	game_states	guarded_choices	subsumption_scans	subsumption_nodes_checked	subsumption_nodes_invalidated	subsumption_prefilter_skips	losing_insertions	losing_removals	reopen_enqueues	search_bdd_operations	search_queries	search_preimage_hits	search_peak_live_nodes	search_cache_rank_bytes	rank_interner_bytes	wrapper_rows_generated	wrapper_states_discovered	wrapper_edges_generated	search_generated_rows	search_peak_result_nodes	search_steps	search_threshold_hits	verify_bdd_operations	verify_cache_rank_bytes	verify_peak_live_nodes	verify_peak_result_nodes	verify_preimage_hits	verify_queries	verify_steps	verify_threshold_hits	polarity	transform	requested_backend	requested_provider	campaign_cap_s	campaign_timed_out	record_path
06.ltl	B	real/real/backward/frozen-graph	preprocessing			TIMEOUT	17.037553188001766																																			real	real	backward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/06.ltl/70395-1.json
06.ltl	B	real/real/forward/frozen-graph	preprocessing			TIMEOUT	17.037553188001766																																			real	real	forward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/06.ltl/70396-1.json
06.ltl	B	unreal/automaton/forward/frozen-graph	preprocessing			TIMEOUT	17.037553188001766																																			unreal	automaton	forward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/06.ltl/70398-1.json
06.ltl	B	unreal/formula/spot-guarded-sparse/frozen-graph	before-translation			TIMEOUT	17.037553188001766																																			unreal	formula	spot-guarded-sparse	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/06.ltl/70397-1.json
07.ltl	B	real/real/backward/frozen-graph	preprocessing			TIMEOUT	17.036151606000203																																			real	real	backward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/07.ltl/70405-1.json
07.ltl	B	real/real/forward/frozen-graph	preprocessing			TIMEOUT	17.036151606000203																																			real	real	forward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/07.ltl/70406-1.json
07.ltl	B	unreal/automaton/forward/frozen-graph	preprocessing			TIMEOUT	17.036151606000203																																			unreal	automaton	forward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/07.ltl/70408-1.json
07.ltl	B	unreal/formula/spot-guarded-sparse/frozen-graph	before-translation			TIMEOUT	17.036151606000203																																			unreal	formula	spot-guarded-sparse	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/07.ltl/70407-1.json
Alarm_a5f99bc6.ltl	C	real/real/backward/frozen-graph	preprocessing			TIMEOUT	17.085508588002995																																			real	real	backward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/Alarm_a5f99bc6.ltl/70561-1.json
Alarm_a5f99bc6.ltl	C	real/real/forward/frozen-graph	preprocessing			TIMEOUT	17.085508588002995																																			real	real	forward	frozen-graph	17	true	_bm-logs.20260912-s0-phases/wrec/s0-phases/17/Alarm_a5f99bc6.ltl/70562-1.json
