solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s	pair_id	arm_tokens	repetition_id	order_index
rb-ugf	Alarm_2d1010f8.ltl	17	REALIZABLE	0.017823891001171432	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	0
rb-ugf	CheckAlarm_6bea956e.ltl	17	UNREALIZABLE	0.03381944198918063	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	11
rb-ugf	CheckCoffeMachineBroken1_a5f99bc6.ltl	17	REALIZABLE	0.03775141701044049	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	16
rb-ugf	CheckCoffeMachine_3461125b.ltl	17	UNREALIZABLE	0.03535315398767125	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	21
rb-ugf	CheckShades_1a2942e3.ltl	17	UNREALIZABLE	0.03481023901258595	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	26
rb-ugf	CheckTimer_54e1f7d2.ltl	17	UNREALIZABLE	0.03542410899535753	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	31
rb-ugf	Core_fa4d4ce3.ltl	17	UNREALIZABLE	0.04693407200102229	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	36
rb-ugf	EscalatorSmart.ltl	17	REALIZABLE	0.02879974000097718	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	47
rb-ugf	FelixSpecFixed2.2.core_fa8592c8.ltl	17	UNREALIZABLE	0.03383900701010134	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	52
rb-ugf	OneCounterInRangeA2.ltl	17	UNREALIZABLE	0.027612499994575046	false	UNREALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	57
rb-ugf	SPIReadSdi.ltl	17	REALIZABLE	0.01637316300184466	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	62
rb-ugf	Sensor.ltl	17	REALIZABLE	0.11666744499234483	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	67
rb-ugf	Window2Min_88c5c1c3.ltl	17	REALIZABLE	0.02332835301058367	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	72
rb-ugf	WindowMin_a5f99bc6.ltl	17	REALIZABLE	0.03296415701333899	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	83
rb-ugf	abcg_arbiter_pb_2_pe_.ltl	17	REALIZABLE	0.08253170098760165	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	88
rb-ugf	amba_decomposed_encode_pb_4_pe_.ltl	17	REALIZABLE	0.034826072995201685	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	93
rb-ugf	amba_decomposed_lock_pb_3_pe_.ltl	17	REALIZABLE	0.03854871599469334	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	98
rb-ugf	amba_decomposed_shift.ltl	17	REALIZABLE	0.02855196499149315	false	REALIZABLE	17	rb-ugf	real:small:backward,unreal:formula:spot-guarded-sparse	1	103
