instance	pref	result	wall_s	translation_ms	aut_states
06	small	REALIZABLE	13.38	4976	13609
06	any	REALIZABLE	13.47	5051	13609
07	any	REALIZABLE	13.36	4974	13609
07	small	REALIZABLE	13.96	5135	13609
Alarm_a5f99bc6	small	REALIZABLE	14.45	4636	1245
Alarm_a5f99bc6	any	REALIZABLE	14.47	4637	1245
Demo1_06e9cad4	any	UNKNOWN	17.05	0	0
Demo1_06e9cad4	small	UNKNOWN	17.05	0	0
F-G-contradiction-110	small	UNKNOWN	17.05	4182	9338
F-G-contradiction-110	any	UNKNOWN	17.05	4130	9338
FelixSpecFixed2_fa4d4ce3	any	UNKNOWN	17.05	0	0
FelixSpecFixed2_fa4d4ce3	small	UNKNOWN	17.05	0	0
GF-G-contradiction7	small	UNKNOWN	17.02	0	0
GF-G-contradiction7	any	UNKNOWN	17.02	0	0
Morning2_06e9cad4	any	UNKNOWN	17.04	0	0
Morning2_06e9cad4	small	UNKNOWN	17.04	0	0
Morning2s_06cf2373	small	UNKNOWN	17.04	0	0
Morning2s_06cf2373	any	UNKNOWN	17.04	0	0
SPIPureNext	any	UNKNOWN	17.03	3	295
SPIPureNext	small	UNKNOWN	17.02	3	295
TwoCountersDisButA9	small	UNKNOWN	0.25	165	35
TwoCountersDisButA9	any	UNKNOWN	0.45	43	35
amba_decomposed_arbiter_pb_5_pe_	any	REALIZABLE	0.12	12	29
amba_decomposed_arbiter_pb_5_pe_	small	REALIZABLE	0.12	12	29
chain-60	small	UNKNOWN	17.03	0	0
chain-60	any	UNKNOWN	17.03	0	0
collector_v1_pb_11_pe_	any	UNKNOWN	17.02	239	2061
collector_v1_pb_11_pe_	small	UNKNOWN	17.02	263	2061
collector_v2_pb_12_pe_	small	REALIZABLE	0.58	289	53
collector_v2_pb_12_pe_	any	REALIZABLE	0.56	279	53
follow0	any	UNKNOWN	17.02	0	0
follow0	small	UNKNOWN	17.02	0	0
g-unreal-113	small	UNKNOWN	0.42	25	617
g-unreal-113	any	UNKNOWN	0.42	24	617
g-unreal-116	any	UNKNOWN	0.70	36	749
g-unreal-116	small	UNKNOWN	0.70	36	749
heim-double-x-real	small	UNKNOWN	0.39	300	669
heim-double-x-real	any	UNKNOWN	0.38	293	669
helipad-contradict0	any	UNKNOWN	17.02	0	0
helipad-contradict0	small	UNKNOWN	17.02	0	0
infinite-race-u12	small	UNKNOWN	17.04	1104	5626
infinite-race-u12	any	UNKNOWN	17.04	1119	5626
lift_wrong_physics_unreal_pb_10_pe_	any	UNKNOWN	17.03	0	0
lift_wrong_physics_unreal_pb_10_pe_	small	UNKNOWN	17.02	0	0
lift_wrong_physics_unreal_pb_9_pe_	small	UNKNOWN	17.02	0	0
lift_wrong_physics_unreal_pb_9_pe_	any	UNKNOWN	17.02	0	0
load_balancer_unreal1_pb_4_6_pe_	any	UNKNOWN	0.16	20	134
load_balancer_unreal1_pb_4_6_pe_	small	UNKNOWN	0.17	25	134
load_balancer_unreal1_pb_5_4_pe_	small	UNKNOWN	0.48	103	150
