instance,result,seconds,exit
01.ltl,REALIZABLE,0.020940763999533374,0
02.ltl,REALIZABLE,0.04130522500054212,0
03.ltl,REALIZABLE,2.916293221001979,0
05.ltl,REALIZABLE,12.0613757109968,0
06.ltl,TIMEOUT,17.0,124
07.ltl,TIMEOUT,17.0,124
08.ltl,TIMEOUT,17.0,124
09.ltl,REALIZABLE,7.463197568999021,0
10.ltl,REALIZABLE,3.5387150660026236,0
11.ltl,REALIZABLE,3.5720282870024676,0
12.ltl,REALIZABLE,5.280161832000886,0
13.ltl,REALIZABLE,5.4746274139979505,0
ActionConverter.ltl,REALIZABLE,0.018549501997767948,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.028180971996334847,0
Alarm_06e9cad4.ltl,REALIZABLE,1.7714412999994238,0
Alarm_2d1010f8.ltl,REALIZABLE,0.030915187002392486,0
Alarm_68c86764.ltl,REALIZABLE,1.7040537029970437,0
Alarm_70523fbe.ltl,REALIZABLE,0.9327205570007209,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.02262582099501742,0
Alarm_9cac58d3.ltl,REALIZABLE,0.028871397997136228,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.0,124
Alarm_f2774e0b.ltl,REALIZABLE,0.9254255940031726,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.02299556400248548,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.6118079259977094,1
AllLights_2c5b09da.ltl,UNREALIZABLE,0.8420838180027204,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.631347396003548,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.461360737004725,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.508168444997864,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.6031959210013156,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.7104238110041479,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.022113546001492068,1
Automata.ltl,REALIZABLE,0.05740842100203736,0
Automata16S.ltl,TIMEOUT,17.0,124
Automata32S.ltl,TIMEOUT,17.0,124
Button.ltl,REALIZABLE,0.03473649099760223,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.03407282799889799,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.031576938003127,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.035703061999811325,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.03726662800181657,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.03831475599872647,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.03186527700017905,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.03381053599878214,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.03410592699947301,1
CheckLight_007df645.ltl,UNREALIZABLE,0.04048855399742024,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.03610763599863276,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.02880800799903227,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.03455887500604149,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.03754129699518671,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.03595201199641451,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.037664206996851135,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.03783296199981123,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.0406602639995981,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.03585488400130998,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.039546203006466385,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.03353925400006119,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.03376242899685167,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.031127563001064118,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.03220865400362527,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.029913956997916102,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.031843660995946266,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.03667293499893276,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.03964155499852495,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.033655611994618084,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.03641805100050988,1
Cockpitboard.ltl,REALIZABLE,0.040939619997516274,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.03126157500082627,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.04283952900004806,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.03895580900280038,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.03177905000484316,0
Coffee_06e9cad4.ltl,REALIZABLE,0.051316182005393784,0
Coffee_235467da.ltl,REALIZABLE,0.04200773499906063,0
Coffee_2c5b09da.ltl,REALIZABLE,0.033125478999863844,0
Coffee_6479ef9a.ltl,REALIZABLE,0.04404910599987488,0
Coffee_d6376bf9.ltl,REALIZABLE,0.041116202002740465,0
Coffee_efe2feaf.ltl,REALIZABLE,0.0407217079991824,0
Coffee_f1477cc5.ltl,UNREALIZABLE,0.04769747200043639,1
Core_4b5a2bad.ltl,UNREALIZABLE,0.051978431998577435,1
Core_66f450a4.ltl,UNREALIZABLE,0.03501114500249969,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.049073463000240736,1
Core_solved_974f4a68.ltl,REALIZABLE,0.047944105994247366,0
Demo1_06e9cad4.ltl,TIMEOUT,17.0,124
Demo1_2c5b09da.ltl,TIMEOUT,17.0,124
Demo1_63831f8c.ltl,TIMEOUT,17.0,124
Demo1_c2b9e44d.ltl,TIMEOUT,17.0,124
Demo1_d65ed84e.ltl,TIMEOUT,17.0,124
DeviceBehaviorChec_fa8592c8.ltl,UNREALIZABLE,0.018183414002123754,1
Door_2d1010f8.ltl,REALIZABLE,0.03340545999526512,0
