evidence	purpose	cap_s	rounds_per_side	control_binary	control_sha256	control_preset	treatment_binary	treatment_sha256	treatment_preset	instance	control_solved	treatment_solved	control_median_s	treatment_median_s	flags	screen_decision	source
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	amba_decomposed_arbiter_pb_5_pe_.ltl	5/5	5/5	0.112	0.113	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	collector_v2_pb_12_pe_.ltl	5/5	5/5	0.785	0.773	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	F-G-contradiction-110.ltl	0/5	3/5	17.000	16.879	"[""changed round statuses""]"	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	GF-G-contradiction7.ltl	3/5	5/5	16.677	13.208	"[""changed round statuses""]"	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	g-unreal-113.ltl	5/5	5/5	7.523	7.775	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	g-unreal-116.ltl	0/5	0/5	17.000	17.000	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	heim-double-x-real.ltl	0/5	0/5	17.000	17.000	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	infinite-race-u12.ltl	0/5	0/5	17.000	17.000	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	load_balancer_unreal2_pb_5_pe_.ltl	5/5	5/5	12.487	12.195	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	robot-to-target-charging7.ltl	0/5	0/5	17.000	17.000	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
closing-interaction	focused interaction check (targets/combined.list)	17	5	candidate-f7919b83	0f4f48b6b751be91d9e0575105d4678d47dbccb8c998c01d71f9597abe22fb99	otf_sparse_formula	cand-hints-4cbf975c	936b11b8b2c711bbc9296719b2018bdf25ec5bb8778b5fb60bdc4865916d29ae	otf_sparse_formula_loss_hints	sort50.ltl	5/5	5/5	14.527	14.330	[]	UNRESOLVED	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/screens/closing-interaction/admission.md
