instance,result,seconds,exit
01.ltl,REALIZABLE,0.02323606999561889,0
02.ltl,REALIZABLE,0.041739212996617425,0
03.ltl,REALIZABLE,2.952958388996194,0
05.ltl,REALIZABLE,12.102237820996379,0
06.ltl,TIMEOUT,17.0,124
07.ltl,TIMEOUT,17.0,124
08.ltl,TIMEOUT,17.0,124
09.ltl,REALIZABLE,7.740625133999856,0
10.ltl,REALIZABLE,3.4539927980003995,0
11.ltl,REALIZABLE,3.39804045100027,0
12.ltl,REALIZABLE,5.30724920600187,0
13.ltl,REALIZABLE,5.753847764004604,0
ActionConverter.ltl,REALIZABLE,0.01989114299794892,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.0274028459971305,0
Alarm_06e9cad4.ltl,REALIZABLE,1.5690723989973776,0
Alarm_2d1010f8.ltl,REALIZABLE,0.01973937299771933,0
Alarm_68c86764.ltl,REALIZABLE,1.7700988039941876,0
Alarm_70523fbe.ltl,REALIZABLE,0.9359961330046644,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.026410188002046198,0
Alarm_9cac58d3.ltl,REALIZABLE,0.032115943999087904,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.0,124
Alarm_f2774e0b.ltl,REALIZABLE,0.9294116499950178,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.02840229999856092,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.6186879870001576,1
AllLights_2c5b09da.ltl,UNREALIZABLE,0.9159520670000347,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.6876754679979058,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.6761855040022056,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.5208339460004936,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.6050169820009614,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.8561389400056214,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.019566082002711482,1
Automata.ltl,REALIZABLE,0.04626688199641649,0
Automata16S.ltl,TIMEOUT,17.0,124
Automata32S.ltl,TIMEOUT,17.0,124
Button.ltl,REALIZABLE,0.029131148003216367,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.03551126700040186,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.016072780003014486,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.021580961998552084,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.01774671299790498,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.018398893997073174,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.019669999004690908,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.028516245998616796,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.033036400003766175,1
CheckLight_007df645.ltl,UNREALIZABLE,0.0419273079969571,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.04478350099816453,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.03439290000096662,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.03861721499561099,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.03384787400136702,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.032175872001971584,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.03355081399786286,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.034832482000638265,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.028389314997184556,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.03898367699730443,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.0326913019962376,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.031642189002013765,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.034678039999562316,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.036240046996681485,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.03870591799932299,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.032752503000665456,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.03914431000157492,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.03846900400094455,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.03501127799972892,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.03324076300486922,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.03175334799743723,1
Cockpitboard.ltl,REALIZABLE,0.03320121100114193,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.03170117000263417,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.04185177099861903,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.027503084995259997,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.03334778800490312,0
Coffee_06e9cad4.ltl,REALIZABLE,0.04107434799516341,0
Coffee_235467da.ltl,REALIZABLE,0.040474148001521826,0
Coffee_2c5b09da.ltl,REALIZABLE,0.02862652300245827,0
Coffee_6479ef9a.ltl,REALIZABLE,0.03880665500037139,0
Coffee_d6376bf9.ltl,REALIZABLE,0.0386888579960214,0
Coffee_efe2feaf.ltl,REALIZABLE,0.0474431610055035,0
Coffee_f1477cc5.ltl,UNREALIZABLE,0.035782605002168566,1
Core_4b5a2bad.ltl,UNREALIZABLE,0.04367152799386531,1
Core_66f450a4.ltl,UNREALIZABLE,0.020538278004096355,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.039923474003444426,1
Core_solved_974f4a68.ltl,REALIZABLE,0.043863233004231006,0
Demo1_06e9cad4.ltl,TIMEOUT,17.0,124
Demo1_2c5b09da.ltl,TIMEOUT,17.0,124
Demo1_63831f8c.ltl,TIMEOUT,17.0,124
Demo1_c2b9e44d.ltl,TIMEOUT,17.0,124
Demo1_d65ed84e.ltl,TIMEOUT,17.0,124
DeviceBehaviorChec_fa8592c8.ltl,UNREALIZABLE,0.03301359099714318,1
Door_2d1010f8.ltl,REALIZABLE,0.027723993996914942,0
EnemeyModule.ltl,REALIZABLE,0.03327085800265195,0
EscalatorBidirectional.ltl,REALIZABLE,0.0369827600006829,0
EscalatorBidirectionalInit.ltl,REALIZABLE,0.03807323300134158,0
EscalatorCounting.ltl,REALIZABLE,0.03525332700519357,0
EscalatorCountingInit.ltl,REALIZABLE,0.031324343995947856,0
EscalatorNonCounting.ltl,REALIZABLE,0.028676570000243373,0
EscalatorNonReactive.ltl,REALIZABLE,0.03385840400005691,0
EscalatorSmart.ltl,REALIZABLE,0.05186121299630031,0
Example1_d6376bf9.ltl,REALIZABLE,0.02958176299580373,0
F-G-contradiction-10.ltl,UNREALIZABLE,0.048658928004442714,1
F-G-contradiction-11.ltl,UNREALIZABLE,0.05939298999874154,1
F-G-contradiction-110.ltl,TIMEOUT,17.0,124
F-G-contradiction-111.ltl,TIMEOUT,17.0,124
F-G-contradiction-112.ltl,TIMEOUT,17.0,124
F-G-contradiction-113.ltl,TIMEOUT,17.0,124
F-G-contradiction-114.ltl,TIMEOUT,17.0,124
F-G-contradiction-12.ltl,UNREALIZABLE,0.0738810859984369,1
F-G-contradiction-13.ltl,UNREALIZABLE,0.14065381399996113,1
F-G-contradiction-14.ltl,UNREALIZABLE,0.33418180599983316,1
F-G-contradiction-15.ltl,UNREALIZABLE,0.3463281549993553,1
F-G-contradiction-16.ltl,UNREALIZABLE,9.51309617300285,1
F-G-contradiction-17.ltl,UNREALIZABLE,10.441739376001351,1
F-G-contradiction-18.ltl,UNREALIZABLE,11.452863323997008,1
F-G-contradiction-19.ltl,UNREALIZABLE,12.749675068000215,1
F-G-contradiction-2-unreal.ltl,UNREALIZABLE,0.02308091199665796,1
FelixSpecFixed2.2.core_fa8592c8.ltl,UNREALIZABLE,0.03596346300037112,1
FelixSpecFixed2_fa4d4ce3.ltl,TIMEOUT,17.0,124
FelixSpecFixed3.core_b209ff21.ltl,UNREALIZABLE,0.06262571999832289,1
FelixSpecFixed3_b0840146.ltl,TIMEOUT,17.0,124
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl,UNREALIZABLE,0.03375541800050996,1
FelixSpecFixed4_3916ec59.ltl,TIMEOUT,17.0,124
FelixSpecFixed5_f82794da.ltl,TIMEOUT,17.0,124
FelixSpecFixed_2418b67e.ltl,TIMEOUT,17.0,124
Full_f1477cc5.ltl,TIMEOUT,17.0,124
GF-G-contradiction0.ltl,UNREALIZABLE,0.042189295003481675,1
GF-G-contradiction1.ltl,UNREALIZABLE,0.07622489100322127,1
GF-G-contradiction2.ltl,UNREALIZABLE,0.23348965699551627,1
GF-G-contradiction3.ltl,UNREALIZABLE,1.7503884280013153,1
GF-G-contradiction4.ltl,UNREALIZABLE,1.8361753429999226,1
GF-G-contradiction5.ltl,UNREALIZABLE,2.4222793730004923,1
GF-G-contradiction6.ltl,UNREALIZABLE,15.84454151600221,1
GF-G-contradiction7.ltl,TIMEOUT,17.0,124
Gamelogic.ltl,REALIZABLE,0.028888000000733882,0
GamemodeChooser.ltl,REALIZABLE,0.03768624499934958,0
Gamemodule.ltl,REALIZABLE,0.03816345499944873,0
HeatingMin_d6c5ac79.ltl,REALIZABLE,0.03083726500335615,0
Heating_235467da.ltl,REALIZABLE,0.03318837100232486,0
Heating_974f4a68.ltl,REALIZABLE,0.04058826999971643,0
Heating_b02056d6.ltl,REALIZABLE,0.03135842000483535,0
Heating_b209ff21.ltl,REALIZABLE,0.031740796999656595,0
Increment.ltl,REALIZABLE,0.03172925900435075,0
IntendDemo_42dc4fff.ltl,UNREALIZABLE,0.059236175002297387,1
KitchenTimerV0.ltl,REALIZABLE,0.03211331700003939,0
KitchenTimerV1.ltl,REALIZABLE,0.041146841998852324,0
KitchenTimerV10.ltl,REALIZABLE,0.097861408998142,0
KitchenTimerV2.ltl,REALIZABLE,0.02964324800268514,0
KitchenTimerV3.ltl,REALIZABLE,0.047903202001180034,0
KitchenTimerV4.ltl,REALIZABLE,0.0453667179972399,0
KitchenTimerV5.ltl,REALIZABLE,0.0621549379939097,0
KitchenTimerV6.ltl,REALIZABLE,0.06620254200242925,0
KitchenTimerV7.ltl,REALIZABLE,0.06471582700032741,0
KitchenTimerV8.ltl,REALIZABLE,0.065553466003621,0
KitchenTimerV9.ltl,REALIZABLE,0.14008361299784156,0
LampController_974f4a68.ltl,REALIZABLE,0.04025810899474891,0
LedMatrix.ltl,TIMEOUT,17.0,124
Light_a50cadd7.ltl,UNREALIZABLE,0.017741853000188712,1
Light_aeb1d897.ltl,UNREALIZABLE,0.0342963349976344,1
Light_d65ed84e.ltl,REALIZABLE,0.039275866001844406,0
Lights2Min_9cbf2546.ltl,REALIZABLE,0.04112937700119801,0
Lights2_06e9cad4.ltl,REALIZABLE,0.198994071004563,0
Lights2_0f5381e9.ltl,REALIZABLE,0.1758866649979609,0
Lights2_2c5b09da.ltl,REALIZABLE,0.05023182399600046,0
Lights2_9cac58d3.ltl,REALIZABLE,0.19397981300426181,0
Lights2_b02056d6.ltl,REALIZABLE,0.1887335079954937,0
Lights2_f1477cc5.ltl,UNREALIZABLE,0.03709626799536636,1
Lights2_f3987563.ltl,REALIZABLE,0.1807080379949184,0
Lights3Min_6479ef9a.ltl,REALIZABLE,0.023901604996353853,0
Lights3_06e9cad4.ltl,REALIZABLE,0.03114921200176468,0
Lights3_235467da.ltl,REALIZABLE,0.028472843005147297,0
Lights3_2c5b09da.ltl,REALIZABLE,0.024373482003284153,0
Lights3_3916ec59.ltl,REALIZABLE,0.028333538997685537,0
Lights3_6bea956e.ltl,REALIZABLE,0.03901586799474899,0
Lights3_f1477cc5.ltl,REALIZABLE,0.0477593399991747,0
LightsMin_6bea956e.ltl,REALIZABLE,0.028284357002121396,0
LightsTotal_06e9cad4.ltl,REALIZABLE,0.3984638569963863,0
LightsTotal_2c5b09da.ltl,UNREALIZABLE,0.05540692700014915,1
LightsTotal_9cbf2546.ltl,REALIZABLE,0.397492964999401,0
LightsTotal_d65ed84e.ltl,REALIZABLE,0.38906838000548305,0
Lights_06e9cad4.ltl,REALIZABLE,0.03307744499761611,0
Lights_2c5b09da.ltl,REALIZABLE,0.01611369499732973,0
Lights_3461125b.ltl,REALIZABLE,0.03613432000565808,0
Lights_9cac58d3.ltl,REALIZABLE,0.03197573299985379,0
Lights_b0840146.ltl,REALIZABLE,0.02975447499920847,0
Lights_f3987563.ltl,REALIZABLE,0.03680876600265037,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.5164106040028855,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.127182994998293,0
