instance	result	exit_code	seconds	cap_s
01.ltl	REALIZABLE	0	0.02323606999561889	17
02.ltl	REALIZABLE	0	0.041739212996617425	17
03.ltl	REALIZABLE	0	2.952958388996194	17
05.ltl	REALIZABLE	0	12.102237820996379	17
06.ltl	TIMEOUT	124	17.036845691000053	17
07.ltl	TIMEOUT	124	17.024773725999694	17
08.ltl	TIMEOUT	124	17.03689099699841	17
09.ltl	REALIZABLE	0	7.740625133999856	17
10.ltl	REALIZABLE	0	3.4539927980003995	17
11.ltl	REALIZABLE	0	3.39804045100027	17
12.ltl	REALIZABLE	0	5.30724920600187	17
13.ltl	REALIZABLE	0	5.753847764004604	17
ActionConverter.ltl	REALIZABLE	0	0.01989114299794892	17
AlarmMin_efe2feaf.ltl	REALIZABLE	0	0.0274028459971305	17
Alarm_06e9cad4.ltl	REALIZABLE	0	1.5690723989973776	17
Alarm_2d1010f8.ltl	REALIZABLE	0	0.01973937299771933	17
Alarm_68c86764.ltl	REALIZABLE	0	1.7700988039941876	17
Alarm_70523fbe.ltl	REALIZABLE	0	0.9359961330046644	17
Alarm_88c5c1c3.ltl	REALIZABLE	0	0.026410188002046198	17
Alarm_9cac58d3.ltl	REALIZABLE	0	0.032115943999087904	17
Alarm_a5f99bc6.ltl	TIMEOUT	124	17.14325485399604	17
Alarm_f2774e0b.ltl	REALIZABLE	0	0.9294116499950178	17
AllHeating_d6376bf9.ltl	REALIZABLE	0	0.02840229999856092	17
AllLights_06e9cad4.ltl	UNREALIZABLE	1	1.6186879870001576	17
AllLights_2c5b09da.ltl	UNREALIZABLE	1	0.9159520670000347	17
AllLights_63831f8c.ltl	UNREALIZABLE	1	1.6876754679979058	17
AllLights_aeb1d897.ltl	UNREALIZABLE	1	2.6761855040022056	17
AllLights_b209ff21.ltl	UNREALIZABLE	1	2.5208339460004936	17
AllLights_d6c5ac79.ltl	UNREALIZABLE	1	2.6050169820009614	17
AllShades_66f450a4.ltl	UNREALIZABLE	1	1.8561389400056214	17
Assumptions_a50cadd7.ltl	UNREALIZABLE	1	0.019566082002711482	17
Automata.ltl	REALIZABLE	0	0.04626688199641649	17
Automata16S.ltl	TIMEOUT	124	17.092000236996682	17
Automata32S.ltl	TIMEOUT	124	17.092927049001446	17
Button.ltl	REALIZABLE	0	0.029131148003216367	17
CheckAlarmBroken1_1a2942e3.ltl	REALIZABLE	0	0.03551126700040186	17
CheckAlarm_6bea956e.ltl	UNREALIZABLE	1	0.016072780003014486	17
CheckCoffeMachineBroken1_a5f99bc6.ltl	REALIZABLE	0	0.021580961998552084	17
CheckCoffeMachine_3461125b.ltl	UNREALIZABLE	1	0.01774671299790498	17
CheckCoffeMachine_f3987563.ltl	UNREALIZABLE	1	0.018398893997073174	17
CheckDoor_c2b9e44d.ltl	UNREALIZABLE	1	0.019669999004690908	17
CheckHeating_2418b67e.ltl	UNREALIZABLE	1	0.028516245998616796	17
CheckHeating_3461125b.ltl	UNREALIZABLE	1	0.033036400003766175	17
CheckLight_007df645.ltl	UNREALIZABLE	1	0.0419273079969571	17
CheckLight_aeb1d897.ltl	UNREALIZABLE	1	0.04478350099816453	17
CheckRoom_06e9cad4.ltl	UNREALIZABLE	1	0.03439290000096662	17
CheckRoom_2c5b09da.ltl	UNREALIZABLE	1	0.03861721499561099	17
CheckRoom_3916ec59.ltl	UNREALIZABLE	1	0.03384787400136702	17
CheckRoom_70523fbe.ltl	UNREALIZABLE	1	0.032175872001971584	17
CheckShades_1a2942e3.ltl	UNREALIZABLE	1	0.03355081399786286	17
CheckShades_3461125b.ltl	UNREALIZABLE	1	0.034832482000638265	17
CheckShades_4d4ca5c4.ltl	UNREALIZABLE	1	0.028389314997184556	17
CheckShades_aeb1d897.ltl	UNREALIZABLE	1	0.03898367699730443	17
CheckTime_3916ec59.ltl	UNREALIZABLE	1	0.0326913019962376	17
CheckTime_4b5e6eaa.ltl	UNREALIZABLE	1	0.031642189002013765	17
