instance,result,seconds,exit
01.ltl,REALIZABLE,0.022742799003026448,0
02.ltl,REALIZABLE,0.04507287800151971,0
03.ltl,REALIZABLE,2.8045622400022694,0
05.ltl,REALIZABLE,12.06651891099682,0
06.ltl,TIMEOUT,17.0,124
07.ltl,TIMEOUT,17.0,124
08.ltl,TIMEOUT,17.0,124
09.ltl,REALIZABLE,7.429164310000488,0
10.ltl,REALIZABLE,3.4715163000000757,0
11.ltl,REALIZABLE,3.52762770100162,0
12.ltl,REALIZABLE,5.389784458002396,0
13.ltl,REALIZABLE,5.2623846150017926,0
ActionConverter.ltl,REALIZABLE,0.014275117999204667,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.017563650999363745,0
Alarm_06e9cad4.ltl,REALIZABLE,1.6359776360004616,0
Alarm_2d1010f8.ltl,REALIZABLE,0.01905548499780707,0
Alarm_68c86764.ltl,REALIZABLE,1.6712443030010036,0
Alarm_70523fbe.ltl,REALIZABLE,0.952387400000589,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.019801909998932388,0
Alarm_9cac58d3.ltl,REALIZABLE,0.016047805002017412,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.0,124
Alarm_f2774e0b.ltl,REALIZABLE,0.8922756250030943,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.020568337000440806,0
AllLights_06e9cad4.ltl,UNREALIZABLE,1.4975847239984432,1
AllLights_2c5b09da.ltl,UNREALIZABLE,0.876384297000186,1
AllLights_63831f8c.ltl,UNREALIZABLE,1.5977014580021205,1
AllLights_aeb1d897.ltl,UNREALIZABLE,2.861886227001378,1
AllLights_b209ff21.ltl,UNREALIZABLE,2.4373490279976977,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,2.722101889001351,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.7459317819993885,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.021078788999147946,1
Automata.ltl,REALIZABLE,0.04525508699953207,0
Automata16S.ltl,TIMEOUT,17.0,124
Automata32S.ltl,TIMEOUT,17.0,124
Button.ltl,REALIZABLE,0.03926096299983328,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.03154648900090251,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.03299082599914982,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.036466440000367584,0
