instance	result	exit_code	seconds	cap_s
01.ltl	REALIZABLE	0	0.022742799003026448	17
02.ltl	REALIZABLE	0	0.04507287800151971	17
03.ltl	REALIZABLE	0	2.8045622400022694	17
05.ltl	REALIZABLE	0	12.06651891099682	17
06.ltl	TIMEOUT	124	17.03683516700039	17
07.ltl	TIMEOUT	124	17.036753093998414	17
08.ltl	TIMEOUT	124	17.03669472600086	17
09.ltl	REALIZABLE	0	7.429164310000488	17
10.ltl	REALIZABLE	0	3.4715163000000757	17
11.ltl	REALIZABLE	0	3.52762770100162	17
12.ltl	REALIZABLE	0	5.389784458002396	17
13.ltl	REALIZABLE	0	5.2623846150017926	17
ActionConverter.ltl	REALIZABLE	0	0.014275117999204667	17
AlarmMin_efe2feaf.ltl	REALIZABLE	0	0.017563650999363745	17
Alarm_06e9cad4.ltl	REALIZABLE	0	1.6359776360004616	17
Alarm_2d1010f8.ltl	REALIZABLE	0	0.01905548499780707	17
Alarm_68c86764.ltl	REALIZABLE	0	1.6712443030010036	17
Alarm_70523fbe.ltl	REALIZABLE	0	0.952387400000589	17
Alarm_88c5c1c3.ltl	REALIZABLE	0	0.019801909998932388	17
Alarm_9cac58d3.ltl	REALIZABLE	0	0.016047805002017412	17
Alarm_a5f99bc6.ltl	TIMEOUT	124	17.129780023999047	17
Alarm_f2774e0b.ltl	REALIZABLE	0	0.8922756250030943	17
AllHeating_d6376bf9.ltl	REALIZABLE	0	0.020568337000440806	17
AllLights_06e9cad4.ltl	UNREALIZABLE	1	1.4975847239984432	17
AllLights_2c5b09da.ltl	UNREALIZABLE	1	0.876384297000186	17
AllLights_63831f8c.ltl	UNREALIZABLE	1	1.5977014580021205	17
AllLights_aeb1d897.ltl	UNREALIZABLE	1	2.861886227001378	17
AllLights_b209ff21.ltl	UNREALIZABLE	1	2.4373490279976977	17
AllLights_d6c5ac79.ltl	UNREALIZABLE	1	2.722101889001351	17
AllShades_66f450a4.ltl	UNREALIZABLE	1	1.7459317819993885	17
Assumptions_a50cadd7.ltl	UNREALIZABLE	1	0.021078788999147946	17
Automata.ltl	REALIZABLE	0	0.04525508699953207	17
Automata16S.ltl	TIMEOUT	124	17.09142915799748	17
Automata32S.ltl	TIMEOUT	124	17.079169922999426	17
Button.ltl	REALIZABLE	0	0.03926096299983328	17
CheckAlarmBroken1_1a2942e3.ltl	REALIZABLE	0	0.03154648900090251	17
CheckAlarm_6bea956e.ltl	UNREALIZABLE	1	0.03299082599914982	17
CheckCoffeMachineBroken1_a5f99bc6.ltl	REALIZABLE	0	0.036466440000367584	17
CheckCoffeMachine_3461125b.ltl	UNREALIZABLE	1	0.04219662199830054	17
CheckCoffeMachine_f3987563.ltl	UNREALIZABLE	1	0.03703854500054149	17
CheckDoor_c2b9e44d.ltl	UNREALIZABLE	1	0.03331240800252999	17
CheckHeating_2418b67e.ltl	UNREALIZABLE	1	0.035052136998274364	17
CheckHeating_3461125b.ltl	UNREALIZABLE	1	0.03794653699878836	17
CheckLight_007df645.ltl	UNREALIZABLE	1	0.0403844790016592	17
CheckLight_aeb1d897.ltl	UNREALIZABLE	1	0.029051389999949606	17
CheckRoom_06e9cad4.ltl	UNREALIZABLE	1	0.02739574199949857	17
CheckRoom_2c5b09da.ltl	UNREALIZABLE	1	0.0359105620009359	17
CheckRoom_3916ec59.ltl	UNREALIZABLE	1	0.031785880997631466	17
CheckRoom_70523fbe.ltl	UNREALIZABLE	1	0.034640655998373404	17
CheckShades_1a2942e3.ltl	UNREALIZABLE	1	0.03540768599850708	17
CheckShades_3461125b.ltl	UNREALIZABLE	1	0.03776204099995084	17
CheckShades_4d4ca5c4.ltl	UNREALIZABLE	1	0.03268957300315378	17
CheckShades_aeb1d897.ltl	UNREALIZABLE	1	0.0435507719994348	17
CheckTime_3916ec59.ltl	UNREALIZABLE	1	0.024884537000616547	17
CheckTime_4b5e6eaa.ltl	UNREALIZABLE	1	0.025745367998752045	17
CheckTime_54e1f7d2.ltl	UNREALIZABLE	1	0.030466593001619913	17
CheckTimer_54e1f7d2.ltl	UNREALIZABLE	1	0.04157903699888266	17
