series	instance	record_index	result	wall_s	factory_return_ms	closure_normalization_ms	first_row_ms	closure_branches_considered	closure_guards_generated	closure_complete_rows	closure_states_discovered	closure_edges	k	cumulative_attempts_started	cumulative_attempts_completed	cumulative_search_ms	cumulative_verification_ms	worker_reason	reason	stage	scope_memory_peak_bytes	max_process_rss_bytes	run_path	run_sha256	worker_path	worker_sha256
A	06.ltl	1	TIMEOUT	17.03717063499971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	before-translation	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/06.ltl/105320-1.json	c586d84e7ebdb63901f2be64f3d997078615de001ef40b7289b0b69dd33ed6a6
A	07.ltl	1	TIMEOUT	17.03495891899911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	before-translation	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/07.ltl/105386-1.json	efe7630792d8b02b0cc4c9ca4e17b9a16932cadb6ebc23bfb01f3fad2c10dee0
A	arbiter-paper-unreal-unreal.ltl	1	UNREALIZABLE	0.03435609400003159	NA	NA	NA	NA	NA	NA	NA	NA	5	3	3.000000	2.558182	1.009592	solve-game	NA	attempt-end	NA	21200896	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/arbiter-paper-unreal-unreal.ltl/105446-1.json	a7b8680120ce142aaf86751eb115a12d840a4cdd3408ddbbefe98f066a19d351
A	chain-60.ltl	1	TIMEOUT	17.075407913000163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	before-translation	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/chain-60.ltl/105452-1.json	5428a640019c606953a03651784daf7970447d75adcdb68a85fbd15b2d1fd2bf
A	CheckAlarm_6bea956e.ltl	1	UNREALIZABLE	0.020245886000338942	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.000000	0.011055	NA	spot-fast-path	NA	attempt-end	NA	18558976	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/CheckAlarm_6bea956e.ltl/105511-1.json	9a17881a73800e6afb7773ea4cbfe0284a671104e457e28d45104e5758669acf
A	collector_v1_pb_11_pe_.ltl	1	TIMEOUT	17.037033468999653	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.000000	NA	NA	NA	NA	boolean-discovery	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/collector_v1_pb_11_pe_.ltl/105517-1.json	54d4e0de71e9c69d59da0314a6877524dea78500d9d1388e25564ab232d2cb13
A	Demo1_06e9cad4.ltl	1	TIMEOUT	17.05326416400021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	before-translation	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/Demo1_06e9cad4.ltl/105571-1.json	3fef9f5bc5c0a98b05ddf751e0c161dd3b1bfa79150478c821fa67748449aff3
A	follow0.ltl	1	TIMEOUT	17.054078941000625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	before-translation	NA	NA	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/follow0.ltl/105582-1.json	2b4867d0a43edf2a957819fe9eb3f1eb8dfcf70b7291f05bb7eef57e73b6021f
A	full_arbiter_unreal1_pb_3_2_pe_.ltl	1	UNREALIZABLE	0.03344631199979631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15450112	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	NA	NA
A	GF-G-contradiction7.ltl	1	UNREALIZABLE	13.120371323000654	NA	NA	NA	NA	NA	NA	NA	NA	11	5	5.000000	5041.095233	3693.108092	solve-game	NA	attempt-end	NA	758865920	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/solo-unreal-spot.tsv	75e91bc1cf8c2b7187ec87c070911645d557ab94a68816d71dfc6d931fcba082	/home/gperez/GIT-repos/acacia-bonsai/_bm-logs.20260916-demand-sparse/diag-p2mech/wrec/p2mech-solo-unreal-spot/17/GF-G-contradiction7.ltl/105611-1.json	e1f3bcd8ff747f6e5e83356099d5325b3941d25dbf164c1c2e5dc0d34befaaf4
