suite	instance	set	mechanism	actions_seen	max_f	loops	aut_states	translation_ms	equivariant_decline	acacia_seconds	ltlsynt_seconds
syntcomp24	Automata16S.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	36	3	not run	17.057966	0.023956
syntcomp24	Automata32S.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	68	5	not run	17.061623	0.026680
syntcomp24	FelixSpecFixed2_fa4d4ce3.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	2	66	not run	17.048403	0.028394
syntcomp24	FelixSpecFixed3_b0840146.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	2	62	not run	17.065379	0.028430
syntcomp24	FelixSpecFixed4_3916ec59.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	2	62	not run	17.057857	0.032574
syntcomp24	FelixSpecFixed4_dd3a27e1.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	2	65	not run	17.067925	0.029553
syntcomp24	FelixSpecFixed_2418b67e.ltl	ltlsynt_only	M4 one-sided-race	0	0	0	2	62	not run	17.064967	0.028883
syntcomp24	KitchenTimerV9.ltl	acacia_slow	mixed	16832	3504	1052	146	282	no indexed AP families	0.613594	0.028215
syntcomp24	LedMatrix.ltl	ltlsynt_only	M3 translation-stall	1006	1	302	775	6770	no indexed AP families	17.059467	0.365001
syntcomp24	OneCounter.ltl	acacia_slow	M1 letter-loop	2571128	6	6560	67	2963	no indexed AP families	2.618658	0.023377
syntcomp24	OneCounterGuiA6.ltl	acacia_slow	M1 letter-loop	250824	94	4480	55	315	no indexed AP families	0.334154	0.019073
syntcomp24	OneCounterGuiA7.ltl	acacia_slow	M1 letter-loop	672966	121	6867	55	901	no indexed AP families	0.847893	0.018517
syntcomp24	OneCounterGuiA8.ltl	acacia_slow	M1 letter-loop	1345932	242	6867	67	3484	no indexed AP families	3.260171	0.021691
syntcomp24	OneCounterGuiA9.ltl	acacia_slow	M1 letter-loop	2508408	6	6400	67	3045	no indexed AP families	3.026728	0.025182
syntcomp24	SPI.ltl	acacia_slow	M2 downset	27820	15	2140	33	251	no indexed AP families	0.322244	0.017163
syntcomp24	SPIReadManag.ltl	acacia_slow	mixed	7600	132	36	50	131	no indexed AP families	0.310156	0.019571
syntcomp24	TwoCounters3.ltl	acacia_slow	mixed	31714	1	101	26	1681	no indexed AP families	1.292385	0.022189
syntcomp24	TwoCountersDisButA8.ltl	acacia_slow	M2 downset	992	1	3	38	144	no indexed AP families	0.308658	0.019916
syntcomp24	TwoCountersDisButA9.ltl	acacia_slow	mixed	2040	1	3	55	207	no indexed AP families	0.588563	0.018326
syntcomp24	TwoCountersDisButAC.ltl	acacia_slow	M1 letter-loop	2040	1	3	55	187	no indexed AP families	0.584370	0.017910
syntcomp24	abcg_arbiter3.ltl	ltlsynt_only	M2 downset	43776	1884	32	2235	614	too many automaton states	17.048238	0.255378
syntcomp24	abcg_arbiter4.ltl	ltlsynt_only	M3 translation-stall	0	0	0	0	0	not run	17.050744	16.798562
syntcomp24	amba_decomposed_lock10.ltl	acacia_slow	M2 downset	131072	1	2	10	2	no indexed input AP families	0.470261	0.022216
syntcomp24	amba_decomposed_lock11.ltl	acacia_slow	M2 downset	2195456	1	8	10	2	no indexed input AP families	1.966193	0.020337
syntcomp24	amba_decomposed_lock12.ltl	acacia_slow	M2 downset	16777216	1	26	10	3	no indexed input AP families	8.137156	0.023343
syntcomp24	amba_decomposed_lock13.ltl	ltlsynt_only	mixed	33554432	1	23	10	7	no indexed input AP families	17.167234	0.023663
syntcomp24	amba_decomposed_lock14.ltl	ltlsynt_only	mixed	10420224	1	4	10	22	no indexed input AP families	17.320070	0.029270
syntcomp24	amba_decomposed_lock15.ltl	ltlsynt_only	M1 letter-loop	0	0	0	10	72	no indexed input AP families	17.124518	0.059343
syntcomp24	amba_decomposed_lock16.ltl	ltlsynt_only	M1 letter-loop	0	0	0	10	295	no indexed input AP families	17.112303	0.107094
syntcomp24	arbiter5.ltl	acacia_slow	M1 letter-loop	64480	743	2015	353	30	0/0 star gens	0.881678	0.040295
