id	source_sha256	decision	capability	parameters	route_kind	real_check	decline_reason	tool_calls	elapsed_s
01.ltl	1a1cb932aafaf7c6bdd3af79ecdf9774955e824a853c26aaf1e546d07b32db06	decline					unsupported_parameter_signature	1	0.000791
02.ltl	7506a3a03d800f341fc044cddddc90d10996592eab8a329fa222b243cb03b1bd	decline					unsupported_parameter_signature	1	0.000532
03.ltl	9c602682592e97367de356341470f64cbea937198e49b6a05084160ad400f9fb	decline					unsupported_parameter_signature	1	0.001061
05.ltl	3a6ad0fde1c488d7e8e9cfd4da3772cf68fcf99a15ac531528b8fd952562f448	decline					unsupported_parameter_signature	1	0.001033
06.ltl	c11ea2e2d94ee3c109b833df27de068ed8306e68a113e671ca3dad1f79b534dd	decline					unsupported_parameter_signature	1	0.001311
07.ltl	ec5f572b0e44856d0c9a707c279bcb53afe3db90c8347dc343f626869a4d801a	decline					unsupported_parameter_signature	1	0.001209
08.ltl	0c6ae710ddd1230dfb828264280f82cd39fb69f812827dcc13d11a1efd831307	decline					unsupported_parameter_signature	1	0.001141
09.ltl	73df54decd8c9bb57bc285a4377d67cd4ca176035fc386c87308b71866dfaf2a	decline					unsupported_parameter_signature	1	0.001122
10.ltl	eba958d4401be9f10e160cb8efd3c882d0cb1c03073cb7a0bb71d26aeceff4b0	decline					unsupported_parameter_signature	1	0.001105
11.ltl	ea11a33a7c90773e7d2bf0b5ae5a1d011db943846750f707dfcafc7d0cc8233f	decline					unsupported_parameter_signature	1	0.001185
12.ltl	911e332a7dadfaf03cc08c37b598eaec4bb431e9deadc93d1e3f07d6d5e12f31	decline					unsupported_parameter_signature	1	0.001011
13.ltl	f32b56f402b43bef9904be06f7c72bbfa699866727e454d204f5949c51e24a73	decline					unsupported_parameter_signature	1	0.001152
ActionConverter.ltl	d61b4e81634d6851adf5e459e40dce080859e7de059272436e9bc140a9495749	decline					unsupported_parameter_signature	1	0.000433
AlarmMin_efe2feaf.ltl	48211414bb626105049470313c48250383f709ca2ab4d3f8a1a1bbd41e143d44	decline					unsupported_parameter_signature	1	0.000462
Alarm_06e9cad4.ltl	3b2180841e331204021d646b907f3e7bfccbb86791dd5abd52ed641123625c41	decline					unsupported_parameter_signature	1	0.000447
Alarm_2d1010f8.ltl	1cce1c30bbc81bd565a065bdf51ae02fad487572595f7a6a7483f72216dd21ee	decline					unsupported_parameter_signature	1	0.000444
Alarm_68c86764.ltl	ac95678469627f1b287fe8ee296ba669de3a389d64231def7d789b9fd1e72d18	decline					unsupported_parameter_signature	1	0.000480
Alarm_70523fbe.ltl	4ae234d6e0a6997fa97a6e84708553454b206ec8f1ef9dd901b831c6b96ab7f2	decline					unsupported_parameter_signature	1	0.000613
Alarm_88c5c1c3.ltl	250054e99d1e3a797a7411014de087227dc3459d1ed91d1615c6d235fe721c0e	decline					unsupported_parameter_signature	1	0.000413
Alarm_9cac58d3.ltl	28d43e2dcd1b3643132186c1d4d293a9f21c5b4c9f878588f51597809f28622f	decline					unsupported_parameter_signature	1	0.000472
Alarm_a5f99bc6.ltl	36a773fc9d07d410d35f03fcd9a0eaa5fc3edb1e572340b1abfed4d9ce92b53a	decline					unsupported_parameter_signature	1	0.000545
