id	admitted_17	elapsed_17_s	reason_17	admitted_60	elapsed_60_s	reason_60
01.ltl	yes	0.071595		yes	0.071711	
02.ltl	yes	0.092704		yes	0.091061	
03.ltl	yes	0.166898		yes	0.158083	
05.ltl	yes	0.229345		yes	0.240110	
06.ltl	yes	0.254388		yes	0.255085	
07.ltl	yes	0.249272		yes	0.254595	
08.ltl	yes	0.385539		yes	0.386495	
09.ltl	yes	0.281831		yes	0.272128	
10.ltl	yes	0.271614		yes	0.276007	
11.ltl	yes	0.268274		yes	0.267795	
12.ltl	yes	0.394394		yes	0.393978	
13.ltl	yes	0.402944		yes	0.405040	
ActionConverter.ltl	yes	0.063568		yes	0.065232	
AlarmMin_efe2feaf.ltl	no	0.083798	unsupported_or_failed	no	0.084450	unsupported_or_failed
Alarm_06e9cad4.ltl	no	0.853542	budget_exhausted	no	1.003711	budget_exhausted
Alarm_2d1010f8.ltl	no	0.071359	unsupported_or_failed	no	0.070298	unsupported_or_failed
Alarm_68c86764.ltl	no	0.853669	budget_exhausted	no	1.004242	budget_exhausted
Alarm_70523fbe.ltl	no	0.853495	budget_exhausted	no	1.004331	budget_exhausted
Alarm_88c5c1c3.ltl	yes	0.063876		yes	0.065067	
Alarm_9cac58d3.ltl	yes	0.066716		yes	0.065667	
Alarm_a5f99bc6.ltl	no	0.853443	budget_exhausted	no	1.004378	budget_exhausted
Alarm_f2774e0b.ltl	no	0.854242	budget_exhausted	no	1.003619	budget_exhausted
AllHeating_d6376bf9.ltl	no	0.291407	unsupported_or_failed	no	0.293804	unsupported_or_failed
AllLights_06e9cad4.ltl	no	0.854071	budget_exhausted	no	1.003570	budget_exhausted
AllLights_2c5b09da.ltl	no	0.853416	budget_exhausted	no	1.003749	budget_exhausted
AllLights_63831f8c.ltl	no	0.853847	budget_exhausted	no	1.003785	budget_exhausted
AllLights_aeb1d897.ltl	no	0.853641	budget_exhausted	no	1.004100	budget_exhausted
AllLights_b209ff21.ltl	no	0.853455	budget_exhausted	no	1.003600	budget_exhausted
AllLights_d6c5ac79.ltl	no	0.853976	budget_exhausted	no	1.003787	budget_exhausted
AllShades_66f450a4.ltl	no	0.853489	budget_exhausted	no	1.004233	budget_exhausted
Assumptions_a50cadd7.ltl	no	0.069382	unsupported_or_failed	no	0.065599	unsupported_or_failed
Automata.ltl	yes	0.071495		yes	0.072974	
Automata16S.ltl	yes	0.078901		yes	0.078884	
Automata32S.ltl	yes	0.098860		yes	0.103800	
Button.ltl	yes	0.063890		yes	0.063777	
CheckAlarmBroken1_1a2942e3.ltl	yes	0.062779		yes	0.062578	
CheckAlarm_6bea956e.ltl	yes	0.065616		yes	0.063477	
