id	source_sha256	admitted_17	elapsed_17_s	semantics_17	reason_17	admitted_60	elapsed_60_s	semantics_60	reason_60
01.ltl	1a1cb932aafaf7c6bdd3af79ecdf9774955e824a853c26aaf1e546d07b32db06	yes	0.092629	exact		yes	0.094773	exact	
02.ltl	7506a3a03d800f341fc044cddddc90d10996592eab8a329fa222b243cb03b1bd	yes	0.154464	exact		yes	0.156315	exact	
03.ltl	9c602682592e97367de356341470f64cbea937198e49b6a05084160ad400f9fb	yes	0.510327	exact		yes	0.490179	exact	
05.ltl	3a6ad0fde1c488d7e8e9cfd4da3772cf68fcf99a15ac531528b8fd952562f448	no	0.854250		exact:budget_exhausted;strict:budget_exhausted	no	1.004206		exact:budget_exhausted;strict:budget_exhausted
06.ltl	c11ea2e2d94ee3c109b833df27de068ed8306e68a113e671ca3dad1f79b534dd	no	0.854566		exact:budget_exhausted;strict:budget_exhausted	no	1.004644		exact:budget_exhausted;strict:budget_exhausted
07.ltl	ec5f572b0e44856d0c9a707c279bcb53afe3db90c8347dc343f626869a4d801a	no	0.853972		exact:budget_exhausted;strict:budget_exhausted	no	1.003658		exact:budget_exhausted;strict:budget_exhausted
08.ltl	0c6ae710ddd1230dfb828264280f82cd39fb69f812827dcc13d11a1efd831307	no	0.853940		exact:budget_exhausted;strict:budget_exhausted	no	1.004288		exact:budget_exhausted;strict:budget_exhausted
09.ltl	73df54decd8c9bb57bc285a4377d67cd4ca176035fc386c87308b71866dfaf2a	no	0.853904		exact:budget_exhausted;strict:budget_exhausted	no	1.004185		exact:budget_exhausted;strict:budget_exhausted
10.ltl	eba958d4401be9f10e160cb8efd3c882d0cb1c03073cb7a0bb71d26aeceff4b0	no	0.854038		exact:budget_exhausted;strict:budget_exhausted	no	1.004261		exact:budget_exhausted;strict:budget_exhausted
11.ltl	ea11a33a7c90773e7d2bf0b5ae5a1d011db943846750f707dfcafc7d0cc8233f	no	0.854707		exact:budget_exhausted;strict:budget_exhausted	no	1.004084		exact:budget_exhausted;strict:budget_exhausted
12.ltl	911e332a7dadfaf03cc08c37b598eaec4bb431e9deadc93d1e3f07d6d5e12f31	no	0.854199		exact:budget_exhausted;strict:budget_exhausted	no	1.004370		exact:budget_exhausted;strict:budget_exhausted
13.ltl	f32b56f402b43bef9904be06f7c72bbfa699866727e454d204f5949c51e24a73	no	0.853618		exact:budget_exhausted;strict:budget_exhausted	no	1.004067		exact:budget_exhausted;strict:budget_exhausted
ActionConverter.ltl	d61b4e81634d6851adf5e459e40dce080859e7de059272436e9bc140a9495749	yes	0.071297	exact		yes	0.070003	exact	
AlarmMin_efe2feaf.ltl	48211414bb626105049470313c48250383f709ca2ab4d3f8a1a1bbd41e143d44	no	0.176334		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.177572		exact:unsupported_or_failed;strict:unsupported_or_failed
Alarm_06e9cad4.ltl	3b2180841e331204021d646b907f3e7bfccbb86791dd5abd52ed641123625c41	no	0.854225		exact:budget_exhausted;strict:budget_exhausted	no	1.003951		exact:budget_exhausted;strict:budget_exhausted
Alarm_2d1010f8.ltl	1cce1c30bbc81bd565a065bdf51ae02fad487572595f7a6a7483f72216dd21ee	no	0.150954		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.150649		exact:unsupported_or_failed;strict:unsupported_or_failed
Alarm_68c86764.ltl	ac95678469627f1b287fe8ee296ba669de3a389d64231def7d789b9fd1e72d18	no	0.853167		exact:budget_exhausted;strict:budget_exhausted	no	1.004159		exact:budget_exhausted;strict:budget_exhausted
Alarm_70523fbe.ltl	4ae234d6e0a6997fa97a6e84708553454b206ec8f1ef9dd901b831c6b96ab7f2	no	0.853816		exact:budget_exhausted;strict:budget_exhausted	no	1.004641		exact:budget_exhausted;strict:budget_exhausted
Alarm_88c5c1c3.ltl	250054e99d1e3a797a7411014de087227dc3459d1ed91d1615c6d235fe721c0e	yes	0.070777	exact		yes	0.070883	exact	
Alarm_9cac58d3.ltl	28d43e2dcd1b3643132186c1d4d293a9f21c5b4c9f878588f51597809f28622f	yes	0.071357	exact		yes	0.071904	exact	
Alarm_a5f99bc6.ltl	36a773fc9d07d410d35f03fcd9a0eaa5fc3edb1e572340b1abfed4d9ce92b53a	no	0.853975		exact:budget_exhausted;strict:budget_exhausted	no	1.003999		exact:budget_exhausted;strict:budget_exhausted
Alarm_f2774e0b.ltl	a439ecea3a630290eba01ff9b3569d0ce7f4ec1de794e7863188b0992766c665	no	0.854444		exact:budget_exhausted;strict:budget_exhausted	no	1.004139		exact:budget_exhausted;strict:budget_exhausted
AllHeating_d6376bf9.ltl	2e031f628ffe3f5da7481d710f6c338b65436119c171de6e9b6137ce99e6806f	no	0.596550		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.614195		exact:unsupported_or_failed;strict:unsupported_or_failed
AllLights_06e9cad4.ltl	e48582cce51b281b6d6f5df4205179b46531b158beee98314b44cd111875e487	no	0.853948		exact:budget_exhausted;strict:budget_exhausted	no	1.004039		exact:budget_exhausted;strict:budget_exhausted
AllLights_2c5b09da.ltl	cfd0555e97b3a2f3c7df52d9d195c9019597051b37cb8748f4812482433a6608	no	0.854131		exact:budget_exhausted;strict:budget_exhausted	no	1.003924		exact:budget_exhausted;strict:budget_exhausted
AllLights_63831f8c.ltl	26e62c0f9694c43b4cdf98d1efe1047081c5e29f0b63c3a422265b3638e26b8f	no	0.853861		exact:budget_exhausted;strict:budget_exhausted	no	1.003404		exact:budget_exhausted;strict:budget_exhausted
AllLights_aeb1d897.ltl	2e511e21c899c983a14063f6edfa7c0aa2af549ac22ea5062871affa02214b90	no	0.853989		exact:budget_exhausted;strict:budget_exhausted	no	1.004370		exact:budget_exhausted;strict:budget_exhausted
AllLights_b209ff21.ltl	c0bb371f4a319c690ebe0593cdef398246f4c07b4f0c7cbd8ccc39573ca7e2f9	no	0.853828		exact:budget_exhausted;strict:budget_exhausted	no	1.004153		exact:budget_exhausted;strict:budget_exhausted
AllLights_d6c5ac79.ltl	eec7b1f2aac999987200dac40f6d7a830ad9ad8a9581e141942598ece9c246ab	no	0.853727		exact:budget_exhausted;strict:budget_exhausted	no	1.003254		exact:budget_exhausted;strict:budget_exhausted
AllShades_66f450a4.ltl	80b820d8b2f10ce25be8369ddd95748db4061defab153560e79e9a9821fe056a	no	0.854385		exact:budget_exhausted;strict:budget_exhausted	no	1.004526		exact:budget_exhausted;strict:budget_exhausted
Assumptions_a50cadd7.ltl	2970d203e002b727c5bfe6ca4d81d131a95bbbfa66aedb61a5ea5cf3e79fc561	no	0.139701		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.139991		exact:unsupported_or_failed;strict:unsupported_or_failed
Automata.ltl	f8075bbd44374c31377eea525020529f5d79c5a334f0ea58f53827594aa060a7	yes	0.088468	exact		yes	0.089749	exact	
Automata16S.ltl	a23aee283958984eeabefcfb5d0d2e2c0eccaa54a0ee0963afc6d6f1cf6a17c0	yes	0.119444	exact		yes	0.119536	exact	
Automata32S.ltl	f1c2128849fca8d106547a094a0d14306a3aa1ec4fef7a911277db00ca301f19	yes	0.217402	exact		yes	0.208522	exact	
Button.ltl	dd7df453016c47a9cf87f10c7185a770490f08010a25d104ed75b54ccf61fd98	yes	0.069941	exact		yes	0.068530	exact	
CheckAlarmBroken1_1a2942e3.ltl	760c971db4579496d03e0bc265f04259a039966631bf3935869b83ba364efb5a	yes	0.069126	exact		yes	0.069469	exact	
CheckAlarm_6bea956e.ltl	6dff1628867386bff2c59512bdcd5e9aa87c1f461c62dc2d596966d00092ae4d	yes	0.072068	exact		yes	0.071626	exact	
CheckCoffeMachineBroken1_a5f99bc6.ltl	752611776e65f5ac47c5707ec012afa17973986ede9db8f2df1d4b14c427a60b	no	0.176151		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.168419		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckCoffeMachine_3461125b.ltl	cbba6ff422a80282fdae7c7f8ca63947d70b53bc8c826dabfb685e60c6ef1da3	no	0.147636		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.148229		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckCoffeMachine_f3987563.ltl	0f14ed943a9b7ade196ed7c7091576440628fccc550da37a1fc47500c79232c9	no	0.150499		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.151365		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckDoor_c2b9e44d.ltl	0117af2275a063c90843765d4fb27296c82bb151206c37e5a09ea4eaf94c747b	yes	0.068681	exact		yes	0.069032	exact	
CheckHeating_2418b67e.ltl	781b073ff52fcaf3d72d658125d06e32fc294f22ee73080528b2f3e4bed621d7	no	0.132284		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.132200		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckHeating_3461125b.ltl	cc018e088b0de46e976ccab69c263424592dc628852ccdeef675cfe867b36d98	no	0.131281		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.130774		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckLight_007df645.ltl	0cca57787523ef43bb5564314e5e0dc21ec608734e13372b7a289adb4fdbea5e	no	0.131926		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.135181		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckLight_aeb1d897.ltl	93d3f6a833c7bd2bfeba5d5e5b352b9529ec93ed585f0e747a2cbd3a13925f2d	no	0.132604		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.132919		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckRoom_06e9cad4.ltl	0044887e0a2c7140a3d4371ef571c2e04ce1137bde43c699c3bb94cc9d38ce78	yes	0.067716	exact		yes	0.068286	exact	
CheckRoom_2c5b09da.ltl	6d2a380d934081c7cd025aefdc85e41c99cd8a16b66495d3c12917f8e240eea7	yes	0.068250	exact		yes	0.068364	exact	
CheckRoom_3916ec59.ltl	a90249623f0954e4c50acca08e5f8c047ead0674e73e5105afca6f560f759116	yes	0.067657	exact		yes	0.066853	exact	
CheckRoom_70523fbe.ltl	28ae0c32bf2a047e00dc88eae605f3f3aad34f5cd26b89ab1bf2b4572efdf348	yes	0.066641	exact		yes	0.066225	exact	
CheckShades_1a2942e3.ltl	86cd160eabe6ff6b9d0587959f7fe0c702c0d99e07ef7533967974c4f5739423	no	0.133871		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.134229		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckShades_3461125b.ltl	fc554465a33c84a6c655e73cf6fbd0470be4bf7251f2571fda5ef5f01efc9acf	no	0.136010		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.136688		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckShades_4d4ca5c4.ltl	ede8d23b9a947032204c962fa430968a9a46048893dc206eb4c4f7dd32cee5e4	yes	0.064578	exact		yes	0.064965	exact	
CheckShades_aeb1d897.ltl	156b0817f533923809eb41b6574e83a244df08f3b799bca8ba78cc9cc832ac78	no	0.140788		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.141674		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckTime_3916ec59.ltl	60b1108ff7ba4e5f46140a3bf4510b8775f03894c1661456654db1bdb2d66d0b	no	0.551877		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.539173		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckTime_4b5e6eaa.ltl	ae8bc74855962038737511a5997f796c5c024985704366aaa8edf2ce50f379e5	no	0.134379		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.137454		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckTime_54e1f7d2.ltl	88a453430a9807ab4337131a101f02dd9336f9b917bb8c2785224e4f0704757a	no	0.130739		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.129546		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckTimer_54e1f7d2.ltl	8804afd0d060418c9f86c949beda277d0b979f29a514ac5a55b26a3761c3f3cf	no	0.127013		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.131068		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckTimer_fa8592c8.ltl	717229468f0cd6ce628418c598ac4f9bda0a89058fa165f9c96b472c9fc9de6b	no	0.128562		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.133108		exact:unsupported_or_failed;strict:unsupported_or_failed
CheckWarnlightBroken1_70523fbe.ltl	85258f2323bf91a344818c2af434fe6e2e21c51033b35178294822970395281c	yes	0.066592	exact		yes	0.069326	exact	
CheckWarnlight_1cf58fc1.ltl	decf20b732ed5d6aec6c4a975d7da028d827086ccad72977c6681da2ac06b407	yes	0.070957	exact		yes	0.070738	exact	
CheckWarnlight_4b5a2bad.ltl	fcb805f35de3795758af48918fb1e748a047e0ea25eea848a487ab39c2bbf3b0	yes	0.070007	exact		yes	0.070743	exact	
CheckWarnlight_54e1f7d2.ltl	0f4378d0f273d069593a63eab1a72dff519f96289d6a88a0b0d2d52e08b86d21	yes	0.071399	exact		yes	0.067041	exact	
CheckWarnlight_6bea956e.ltl	778981f31a46d2c18d0d1de8696590dd411200596cf1620ff3b69c911a3851ca	yes	0.068261	exact		yes	0.069637	exact	
CheckWindows_54e1f7d2.ltl	d2a309b0056fb52b8e270957ab8a6b75f258ddcddeb93c324528aa9d21e255f4	yes	0.066271	exact		yes	0.065573	exact	
Cockpitboard.ltl	2f4cccca8f5f3318f7e2ceaf94eee2a45b0a1941b35d2759fc535d9564c960f7	yes	0.086620	exact		yes	0.088108	exact	
Cockpitboard_efe2feaf.ltl	a996e0e85ccd05d5a24c674996b5e0a1ea437a451ca688d2bd74fd7f9539d513	yes	0.089735	exact		yes	0.088945	exact	
CoffeMachine_974f4a68.ltl	9f6eb7ae1d673c09e822e0112a229046dad75ffa6be302ed4e5e4b47ba3cb097	no	0.861047		exact:budget_exhausted;strict:budget_exhausted	no	1.001626		exact:unsupported_or_failed;strict:budget_exhausted
CoffeMachine_a50cadd7.ltl	90287c993822762c498c00c0e4cd3ddda1361f7bcac223c9a272771f88a99711	no	0.136537		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.138767		exact:unsupported_or_failed;strict:unsupported_or_failed
CoffeeMin_88f351a6.ltl	6bbcc6abcec950a002cb4c9b4a4112c7359251b7c67087e445fc7ebb3f53e98f	no	0.145640		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.142056		exact:unsupported_or_failed;strict:unsupported_or_failed
Coffee_06e9cad4.ltl	4ba0b67c3dd8848332b3de623ae862fe102051265e783c3671a8898226a902dc	no	0.866358		exact:budget_exhausted;strict:budget_exhausted	no	1.017025		exact:budget_exhausted;strict:budget_exhausted
Coffee_235467da.ltl	ef5b6f1c8198c5218d561f2dc159ae473f987ccd01591b58c565e39f7d46d035	no	0.862203		exact:budget_exhausted;strict:budget_exhausted	no	1.012239		exact:budget_exhausted;strict:budget_exhausted
Coffee_2c5b09da.ltl	bcd6dfb10b33122acd7b3c15fe2d0c1f20a1ee2e810aac8ffadc382041092687	no	0.860626		exact:budget_exhausted;strict:budget_exhausted	no	1.012189		exact:budget_exhausted;strict:budget_exhausted
Coffee_6479ef9a.ltl	7d25f3ea1ff621e1657abda8cab03c6814f85bee6ba78d7666af06277454cd35	no	0.859124		exact:budget_exhausted;strict:budget_exhausted	no	1.014915		exact:budget_exhausted;strict:budget_exhausted
Coffee_d6376bf9.ltl	f6b0e9e65d9828f38cf067513cfbbfe9d176d6e67e9ab366b4609e7f375489d1	no	0.864748		exact:budget_exhausted;strict:budget_exhausted	no	1.015548		exact:budget_exhausted;strict:budget_exhausted
Coffee_efe2feaf.ltl	7f8c10c27e11db0c9a384d88ef6186f3366de8a08bf646d75481226fb64d242d	no	0.362712		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.378296		exact:unsupported_or_failed;strict:unsupported_or_failed
Coffee_f1477cc5.ltl	a1d56c242785cb44d651d792a2b508637f10d4e6ad4d6881a780f0dbf9117805	no	0.859458		exact:budget_exhausted;strict:budget_exhausted	no	1.013679		exact:budget_exhausted;strict:budget_exhausted
Core_4b5a2bad.ltl	f086df60ca3fb5de3ab287323f66c5a99afde931e2630a04f8117fc547c3146e	no	0.295495		exact:unsupported_or_failed;strict:unsupported_or_failed	no	0.292425		exact:unsupported_or_failed;strict:unsupported_or_failed
