id	status	detail
01.ltl	equal	
02.ltl	equal	
03.ltl	equal	
05.ltl	equal	
06.ltl	equal	
07.ltl	equal	
08.ltl	equal	
09.ltl	equal	
10.ltl	equal	
11.ltl	equal	
12.ltl	equal	
13.ltl	equal	
ActionConverter.ltl	equal	
AlarmMin_efe2feaf.ltl	equal	
Alarm_06e9cad4.ltl	equal	
Alarm_2d1010f8.ltl	equal	
Alarm_68c86764.ltl	equal	
Alarm_70523fbe.ltl	equal	
Alarm_88c5c1c3.ltl	equal	
Alarm_9cac58d3.ltl	equal	
Alarm_a5f99bc6.ltl	equal	
Alarm_f2774e0b.ltl	equal	
AllHeating_d6376bf9.ltl	equal	
AllLights_06e9cad4.ltl	equal	
AllLights_2c5b09da.ltl	equal	
AllLights_63831f8c.ltl	equal	
AllLights_aeb1d897.ltl	equal	
AllLights_b209ff21.ltl	equal	
AllLights_d6c5ac79.ltl	equal	
AllShades_66f450a4.ltl	equal	
Assumptions_a50cadd7.ltl	equal	
Automata.ltl	equal	
Automata16S.ltl	equal	
Automata32S.ltl	equal	
Button.ltl	equal	
CheckAlarmBroken1_1a2942e3.ltl	equal	
CheckAlarm_6bea956e.ltl	equal	
CheckCoffeMachineBroken1_a5f99bc6.ltl	equal	
CheckCoffeMachine_3461125b.ltl	equal	
CheckCoffeMachine_f3987563.ltl	equal	
CheckDoor_c2b9e44d.ltl	equal	
CheckHeating_2418b67e.ltl	equal	
CheckHeating_3461125b.ltl	equal	
CheckLight_007df645.ltl	equal	
CheckLight_aeb1d897.ltl	equal	
CheckRoom_06e9cad4.ltl	equal	
CheckRoom_2c5b09da.ltl	equal	
CheckRoom_3916ec59.ltl	equal	
CheckRoom_70523fbe.ltl	equal	
CheckShades_1a2942e3.ltl	equal	
CheckShades_3461125b.ltl	equal	
CheckShades_4d4ca5c4.ltl	equal	
CheckShades_aeb1d897.ltl	equal	
CheckTime_3916ec59.ltl	equal	
CheckTime_4b5e6eaa.ltl	equal	
CheckTime_54e1f7d2.ltl	equal	
CheckTimer_54e1f7d2.ltl	equal	
CheckTimer_fa8592c8.ltl	equal	
CheckWarnlightBroken1_70523fbe.ltl	equal	
CheckWarnlight_1cf58fc1.ltl	equal	
CheckWarnlight_4b5a2bad.ltl	equal	
CheckWarnlight_54e1f7d2.ltl	equal	
CheckWarnlight_6bea956e.ltl	equal	
CheckWindows_54e1f7d2.ltl	equal	
Cockpitboard.ltl	equal	
Cockpitboard_efe2feaf.ltl	equal	
CoffeMachine_974f4a68.ltl	equal	
CoffeMachine_a50cadd7.ltl	equal	
CoffeeMin_88f351a6.ltl	equal	
Coffee_06e9cad4.ltl	equal	
Coffee_235467da.ltl	equal	
Coffee_2c5b09da.ltl	equal	
Coffee_6479ef9a.ltl	equal	
Coffee_d6376bf9.ltl	equal	
Coffee_efe2feaf.ltl	equal	
Coffee_f1477cc5.ltl	equal	
Core_4b5a2bad.ltl	equal	
Core_66f450a4.ltl	equal	
Core_fa4d4ce3.ltl	equal	
Core_solved_974f4a68.ltl	equal	
Demo1_06e9cad4.ltl	equal	
Demo1_2c5b09da.ltl	equal	
Demo1_63831f8c.ltl	equal	
