instance	n_result	n_seconds	b_epoch1_result	b_epoch1_seconds	b_epoch2_result	b_epoch2_seconds	change_vs_b_epoch1	b_epoch2_vs_epoch1	seconds_delta_vs_b_epoch1	memory_peak_delta_bytes	winner
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	17.053465081960894	TIMEOUT	17.094377895002253	TIMEOUT	17.05366924201371	same	same			fallback-nonanswer
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	17.092068622005172	TIMEOUT	17.093327100999886	TIMEOUT	17.085735848988406	same	same			fallback-nonanswer
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	17.094459760934114	TIMEOUT	17.096367215999635	TIMEOUT	17.092890872008866	same	same			fallback-nonanswer
amba_case_study_unreal_pb_2_pe_.ltl	TIMEOUT	17.038108669104986	TIMEOUT	17.037176344019827	TIMEOUT	17.036552492005285	same	same			fallback-nonanswer
amba_case_study_unreal_pb_3_pe_.ltl	TIMEOUT	17.087582050007768	TIMEOUT	17.085795866005355	TIMEOUT	17.0847951459873	same	same			fallback-nonanswer
amba_case_study_unreal_pb_4_pe_.ltl	TIMEOUT	17.05319779808633	TIMEOUT	17.053534734994173	TIMEOUT	17.05221188699943	same	same			fallback-nonanswer
amba_case_study_unreal_pb_5_pe_.ltl	TIMEOUT	17.054425755981356	TIMEOUT	17.09506637501181	TIMEOUT	17.053321515006246	same	same			fallback-nonanswer
amba_decomposed_lock_pb_10_pe_.ltl	REALIZABLE	1.1101751050446182	REALIZABLE	0.4844498340098653	REALIZABLE	0.48148559700348414	same	same	0.625725		lifting
amba_decomposed_lock_pb_11_pe_.ltl	REALIZABLE	1.3584164530038834	REALIZABLE	1.8712998050032184	REALIZABLE	1.8360851200122852	same	same	-0.512883		lifting
amba_decomposed_lock_pb_12_pe_.ltl	REALIZABLE	1.7281527790473774	REALIZABLE	7.195878528000321	REALIZABLE	7.204333131987369	same	same	-5.467726		lifting
amba_decomposed_lock_pb_13_pe_.ltl	REALIZABLE	2.6217378529254347	TIMEOUT	17.094761754007777	TIMEOUT	17.093490814004326	gain	same			lifting
amba_decomposed_lock_pb_14_pe_.ltl	REALIZABLE	5.0319969890406355	TIMEOUT	17.092300554999383	TIMEOUT	17.092423798982054	gain	same			lifting
amba_decomposed_lock_pb_15_pe_.ltl	TIMEOUT	17.053426517057233	TIMEOUT	17.08606041999883	TIMEOUT	17.090733260003617	same	same			fallback-nonanswer
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	17.085869616945274	TIMEOUT	17.08622394700069	TIMEOUT	17.09365153798717	same	same			fallback-nonanswer
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	17.041934450971894	TIMEOUT	17.09103667701129	TIMEOUT	17.08976453199284	same	same			fallback-nonanswer
amba_decomposed_lock_pb_5_pe_.ltl	REALIZABLE	0.8727692619431764	REALIZABLE	0.03584329297882505	REALIZABLE	0.02781700500054285	same	same	0.836926		lifting
amba_decomposed_lock_pb_6_pe_.ltl	REALIZABLE	0.9307538549182937	REALIZABLE	0.023185908008599654	REALIZABLE	0.027235243993345648	same	same	0.907568		lifting
amba_decomposed_lock_pb_7_pe_.ltl	REALIZABLE	0.9498286329908296	REALIZABLE	0.04402404298889451	REALIZABLE	0.03652537800371647	same	same	0.905805		lifting
amba_decomposed_lock_pb_8_pe_.ltl	REALIZABLE	0.9815323990769684	REALIZABLE	0.057536131993401796	REALIZABLE	0.06263261998537928	same	same	0.923996		lifting
amba_decomposed_lock_pb_9_pe_.ltl	REALIZABLE	1.0049193990416825	REALIZABLE	0.13881484800367616	REALIZABLE	0.13739519199589267	same	same	0.866105		lifting
arbiter_on_inpchange_pb_5_pe_.ltl	REALIZABLE	6.404503936995752	TIMEOUT	17.042915639001876	TIMEOUT	17.052884741016896	gain	same			lifting
arbiter_on_inpchange_pb_6_pe_.ltl	TIMEOUT	17.053487258963287	TIMEOUT	17.0537912339787	TIMEOUT	17.053397670009872	same	same			fallback-nonanswer
arbiter_on_inpchange_pb_7_pe_.ltl	TIMEOUT	17.03720207104925	TIMEOUT	17.042378010984976	TIMEOUT	17.053226380987326	same	same			fallback-nonanswer
arbiter_pb_10_pe_.ltl	REALIZABLE	2.6008988020475954	TIMEOUT	17.053486809018068	TIMEOUT	17.053792937018443	gain	same			lifting
arbiter_pb_5_pe_.ltl	REALIZABLE	1.094279938028194	REALIZABLE	0.3938140140089672	REALIZABLE	0.3636091780208517	same	same	0.700466		lifting
arbiter_pb_6_pe_.ltl	REALIZABLE	1.2450627980288118	TIMEOUT	17.03718638198916	TIMEOUT	17.02011732297251	gain	same			lifting
arbiter_pb_7_pe_.ltl	REALIZABLE	1.4410243739839643	TIMEOUT	17.052541188983014	TIMEOUT	17.05186682398198	gain	same			lifting
arbiter_pb_8_pe_.ltl	REALIZABLE	1.6974212480708957	TIMEOUT	17.09287400598987	TIMEOUT	17.093155848007882	gain	same			lifting
arbiter_pb_9_pe_.ltl	REALIZABLE	2.1051729230675846	TIMEOUT	17.052964895003242	TIMEOUT	17.0857143010071	gain	same			lifting
arbiter_with_buffer_pb_10_pe_.ltl	TIMEOUT	17.054311753017828	TIMEOUT	17.085639590019127	TIMEOUT	17.08714732900262	same	same			fallback-nonanswer
arbiter_with_buffer_pb_5_pe_.ltl	REALIZABLE	0.8959245190490037	REALIZABLE	0.8378331860003527	REALIZABLE	0.8735212530009449	same	same	0.058091		lifting
arbiter_with_buffer_pb_6_pe_.ltl	REALIZABLE	1.0480504900915548	TIMEOUT	17.04236430898891	TIMEOUT	17.05337370801135	gain	same			lifting
arbiter_with_buffer_pb_7_pe_.ltl	REALIZABLE	1.4541733529185876	TIMEOUT	17.19264773200848	TIMEOUT	17.19371928999317	gain	same			lifting
arbiter_with_buffer_pb_8_pe_.ltl	REALIZABLE	2.9970596950734034	TIMEOUT	17.086211029003607	TIMEOUT	17.08577562001301	gain	same			lifting
