group	side	family	n	result	wall_s
m6	REAL	amba_decomposed_lock	15	OK	40.290538608
m6	REAL	arbiter	6	OK	2.234839467
m6	REAL	arbiter	7	OK	2.503491774
m6	REAL	arbiter	8	OK	3.085537869
m6	REAL	arbiter	9	OK	4.098662321
m6	REAL	arbiter	10	OK	5.763136751
m6	REAL	arbiter_on_inpchange	5	OK	10.266938399
m6	REAL	arbiter_on_inpchange	6	OK	51.547166585
m6	REAL	arbiter_with_buffer	6	OK	1.844359387
m6	REAL	arbiter_with_buffer	7	OK	3.930399394
m6	REAL	arbiter_with_buffer	8	OK	16.095285671
m6	REAL	arbiter_with_cancel	6	OK	4.718134884
m6	REAL	arbiter_with_cancel	7	OK	7.611939238
m6	REAL	arbiter_with_cancel	8	OK	16.881950739
m6	REAL	arbiter_with_cancel	9	OK	55.170733917
m6	REAL	load_balancer	8	OK	18.350830557
m6	REAL	load_balancer	9	OK	55.874432378
m6	UNREAL	load_balancer_unreal2	6	OK	5.722151159
m6	REAL	prioritized_arbiter	7	OK	1.057794101
m6	REAL	prioritized_arbiter	8	OK	1.082677150
m6	REAL	prioritized_arbiter	9	OK	1.168738696
m6	REAL	prioritized_arbiter	10	OK	1.270722409
m6	REAL	prioritized_arbiter	12	OK	2.406839762
m6	UNREAL	round_robin_arbiter_unreal2	5	OK	2.379242887
m6	UNREAL	round_robin_arbiter_unreal2	6	OK	7.973925305
m6	UNREAL	round_robin_arbiter_unreal2	7	OK	33.713489304
controls	REAL	arbiter	5	OK	1.129974695
controls	REAL	prioritized_arbiter	5	OK	.637137068
controls	UNREAL	round_robin_arbiter_unreal2	3	OK	.782609139
controls	UNREAL	prioritized_arbiter_unreal2	3	OK	.729580549
