family	n	exit_code	diagnostics	evidence
arbiter_with_cancel	8	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_with_cancel-n8.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_with_cancel-n8.json
arbiter_with_cancel	9	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_with_cancel-n9.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_with_cancel-n9.json
arbiter_with_cancel	10	2	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_with_cancel-n10.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_with_cancel-n10.json
load_balancer_unreal2	6	1	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/load_balancer_unreal2-n6.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/load_balancer_unreal2-n6.json
load_balancer_unreal2	7	2	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/load_balancer_unreal2-n7.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/load_balancer_unreal2-n7.json
load_balancer	8	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/load_balancer-n8.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/load_balancer-n8.json
load_balancer	9	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/load_balancer-n9.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/load_balancer-n9.json
amba_decomposed_lock	15	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/amba_decomposed_lock-n15.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/amba_decomposed_lock-n15.json
arbiter_with_buffer	8	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_with_buffer-n8.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_with_buffer-n8.json
arbiter_with_buffer	9	2	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_with_buffer-n9.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_with_buffer-n9.json
arbiter_on_inpchange	6	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_on_inpchange-n6.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_on_inpchange-n6.json
arbiter_on_inpchange	7	2	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter_on_inpchange-n7.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter_on_inpchange-n7.json
round_robin_arbiter_unreal2	5	1	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/round_robin_arbiter_unreal2-n5.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/round_robin_arbiter_unreal2-n5.json
round_robin_arbiter_unreal2	6	1	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/round_robin_arbiter_unreal2-n6.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/round_robin_arbiter_unreal2-n6.json
round_robin_arbiter_unreal2	7	1	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/round_robin_arbiter_unreal2-n7.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/round_robin_arbiter_unreal2-n7.json
collector_v1	11	2	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/collector_v1-n11.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/collector_v1-n11.json
arbiter	6	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/arbiter-n6.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/arbiter-n6.json
prioritized_arbiter	7	0	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/prioritized_arbiter-n7.json	/home/gperez/GIT-repos/acacia-gr1-par2-timing/benchmarking/gr1-par2-20260923/s0/raw/evidence/prioritized_arbiter-n7.json
