family	instances	unsolved_120s	route_mix	smallest_instance	smallest_parameters	assume_classes	guarantee_classes	max_assume	max_guarantee	dba_reducible	non_recurrence_templates
abcg_arbiter	6	3	ltlsynt:6	abcg_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	{}	"{""R"": 2, ""S"": 5}"	-	R	true	
amba_case_study	3	2	ltlsynt:3	amba_case_study_pb_2_pe_.ltl	"{""n"": 2}"	"{""B"": 5, ""R"": 2, ""S"": 3}"	"{""B"": 6, ""R"": 2, ""S"": 17}"	R	R	true	
amba_case_study_unreal	4	4	ltlsynt:4	amba_case_study_unreal_pb_2_pe_.ltl	"{""n"": 2}"	"{""B"": 5, ""R"": 1, ""S"": 3}"	"{""B"": 6, ""R"": 2, ""S"": 17}"	R	R	true	
amba_decomposed_arbiter	12	7	ltlsynt:12	amba_decomposed_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	"{""B"": 1, ""R"": 1}"	"{""B"": 2, ""R"": 2, ""S"": 9}"	R	R	true	
amba_decomposed_encode	17	2	direct-safety:17	amba_decomposed_encode_pb_2_pe_.ltl	"{""n"": 2}"	"{""S"": 2}"	"{""S"": 3}"	S	S	true	
amba_decomposed_lock	16	3	direct-safety:16	amba_decomposed_lock_pb_2_pe_.ltl	"{""n"": 2}"	"{""S"": 2}"	"{""S"": 3}"	S	S	true	
arbiter	10	5	ltlsynt:10	arbiter_pb_1_pe_.ltl	"{""n"": 1}"	{}	"{""R"": 2, ""S"": 2}"	-	R	true	
arbiter_on_inpchange	7	3	ltlsynt:7	arbiter_on_inpchange_pb_1_pe_.ltl	"{""n"": 1}"	{}	"{""R"": 2, ""S"": 2}"	-	R	true	
arbiter_with_buffer	10	5	ltlsynt:10	arbiter_with_buffer_pb_1_pe_.ltl	"{""n"": 1}"	{}	"{""R"": 1}"	-	R	true	
arbiter_with_cancel	10	5	ltlsynt:10	arbiter_with_cancel_pb_1_pe_.ltl	"{""n"": 1}"	{}	"{""R"": 2, ""S"": 4}"	-	R	true	
chomp	15	12	ltlsynt:15	chomp_pb_2_2_pe_.ltl	"{""N"": 2, ""M"": 2}"	{}	"{""B"": 8, ""O"": 1, ""S"": 3}"	-	O	true	
collector_v1	9	5	ltlsynt:9	collector_v1_pb_3_pe_.ltl	"{""n"": 3}"	{}	"{""R"": 1, ""S"": 3}"	-	R	true	
collector_v2	10	1	ltlsynt:10	collector_v2_pb_3_pe_.ltl	"{""n"": 3}"	{}	"{""S"": 3, ""T"": 1}"	-	T	false	G: GFallfinished <-> (GFfinished_i & GFfinished_i & GFfinished_i)
collector_v3	9	5	ltlsynt:9	collector_v3_pb_3_pe_.ltl	"{""n"": 3}"	"{""S"": 3}"	"{""R"": 1, ""S"": 3}"	S	R	true	
full_arbiter_enc	3	3	ltlsynt:3	full_arbiter_enc_pb_8_pe_.ltl	"{""n"": 8}"	{}	"{""R"": 17, ""S"": 16}"	-	R	true	
generalized_buffer	5	1	ltlsynt:5	generalized_buffer_pb_2_pe_.ltl	"{""n"": 2}"	{}	"{""R"": 2, ""T"": 3}"	-	T	false	G: (!r2b_ack_i & G(!b2r_req_i -> X!r2b_ack_i) & G(b2r_req_i -> XFr2b_ack_i)) -> (!b2r_req_i & G(r2b_ack_i -> X!b2r_req_i) & G((b2r_req_i & !r2b_ack_i) -> Xb2r_req_i) & G((b2r_req_i & X!b2r_req_i) -> X(!b2r_req_i U (!b2r_req_i & b2r_req_i)))) | G: (!r2b_ack_i & G(!b2r_req_i -> X!r2b_ack_i) & G(b2r_req_i -> XFr2b_ack_i)) -> (!b2r_req_i & G(r2b_ack_i -> X!b2r_req_i) & G((b2r_req_i & !r2b_ack_i) -> Xb
lift	9	6	ltlsynt:9	lift_pb_2_pe_.ltl	"{""n"": 2}"	"{""B"": 2, ""S"": 4}"	"{""B"": 3, ""R"": 3, ""S"": 7}"	S	R	true	
