file	spec	cluster_id	n_inputs	n_outputs	formula_nodes	formula_bytes	gr_level	has_liveness	has_weak_until	has_release	liveness_class	n_response	n_recurrence	n_eventual	n_until	has_nested_temporal	route	backend	exact	uses_oxidd	reason
tlsf-corpus/abcg_arbiter_pb_1_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_1_pe_.tlsf	0	1	4	55	174	-1	1	1	0	nested_unsupported	1	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/abcg_arbiter_pb_2_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_2_pe_.tlsf	0	2	8	118	371	-1	1	1	0	nested_unsupported	2	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/abcg_arbiter_pb_3_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_3_pe_.tlsf	0	3	12	183	574	-1	1	1	0	nested_unsupported	3	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/abcg_arbiter_pb_4_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_4_pe_.tlsf	0	4	16	248	779	-1	1	1	0	nested_unsupported	4	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/abcg_arbiter_pb_5_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_5_pe_.tlsf	0	5	20	316	990	-1	1	1	0	nested_unsupported	5	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/abcg_arbiter_pb_6_pe_.tlsf	tlsf-corpus/abcg_arbiter_pb_6_pe_.tlsf	0	6	24	384	1201	-1	1	1	0	nested_unsupported	6	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_pb_2_pe_.tlsf	tlsf-corpus/amba_case_study_pb_2_pe_.tlsf	0	7	8	330	1575	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_pb_3_pe_.tlsf	tlsf-corpus/amba_case_study_pb_3_pe_.tlsf	0	9	10	453	2212	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_pb_4_pe_.tlsf	tlsf-corpus/amba_case_study_pb_4_pe_.tlsf	0	11	11	538	2682	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_unreal_pb_2_pe_.tlsf	tlsf-corpus/amba_case_study_unreal_pb_2_pe_.tlsf	0	7	8	316	1515	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_unreal_pb_3_pe_.tlsf	tlsf-corpus/amba_case_study_unreal_pb_3_pe_.tlsf	0	9	10	439	2152	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_unreal_pb_4_pe_.tlsf	tlsf-corpus/amba_case_study_unreal_pb_4_pe_.tlsf	0	11	11	524	2622	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_case_study_unreal_pb_5_pe_.tlsf	tlsf-corpus/amba_case_study_unreal_pb_5_pe_.tlsf	0	13	13	692	3461	-1	1	1	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_10_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_10_pe_.tlsf	0	11	12	456	2397	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_11_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_11_pe_.tlsf	0	12	13	504	2659	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_12_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_12_pe_.tlsf	0	13	14	552	2922	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_13_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_13_pe_.tlsf	0	14	15	600	3187	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_2_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_2_pe_.tlsf	0	3	4	96	511	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_3_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_3_pe_.tlsf	0	4	5	138	733	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_4_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_4_pe_.tlsf	0	5	6	180	957	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
tlsf-corpus/amba_decomposed_arbiter_pb_5_pe_.tlsf	tlsf-corpus/amba_decomposed_arbiter_pb_5_pe_.tlsf	0	6	7	225	1192	-1	1	0	0	nested_unsupported	0	0	0	0	1	ltlsynt	ltlsynt fallback	1	0	liveness temporal operators are not OxiDD-eligible
