family	instance	parameters	mode	claim_scope	build_status	monitor_count	latch_count	solver_status	verdict	seconds	known_verdict	agreement	verification	verification_reason
abcg_arbiter	abcg_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	exact	exact lowered objective	ok	7	23	exit-0	REALIZABLE	0.014956	REALIZABLE	agree	VERIFIED	
abcg_arbiter	abcg_arbiter_pb_1_pe_.ltl	"{""n"": 1}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	7	23	exit-0	REALIZABLE	0.013677	REALIZABLE	agree	VERIFIED	
abcg_arbiter	abcg_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	15	48	exit-0	REALIZABLE	0.079230	REALIZABLE	agree	VERIFIED	
abcg_arbiter	abcg_arbiter_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	15	48	exit-0	REALIZABLE	0.721877	REALIZABLE	agree	VERIFIED	
abcg_arbiter	abcg_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	22	71	exit-0	REALIZABLE	1.921190	REALIZABLE	agree	UNKNOWN(timeout)	explicit checker exceeded 60 s
abcg_arbiter	abcg_arbiter_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	22	71	timeout	timeout	60.070549	REALIZABLE	unknown	not-run	
abcg_arbiter	abcg_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	29	94	exit-2	ERROR	32.912659		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
abcg_arbiter	abcg_arbiter_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	29	94	exit-2	ERROR	28.909844		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
amba_case_study	amba_case_study_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	35	117	exit-2	ERROR	16.673862	REALIZABLE	unknown	not-run	tlsfsolve: OxiDD solver failed
amba_case_study	amba_case_study_pb_2_pe_.ltl	"{""n"": 2}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	35	118	timeout	timeout	60.069438	REALIZABLE	unknown	not-run	
amba_case_study	amba_case_study_pb_3_pe_.ltl	"{""n"": 3}"	exact	exact lowered objective	ok	46	156	timeout	timeout	60.030250		no-known-verdict	not-run	
amba_case_study	amba_case_study_pb_3_pe_.ltl	"{""n"": 3}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	46	157	exit-2	ERROR	1.494287		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
amba_case_study	amba_case_study_pb_4_pe_.ltl	"{""n"": 4}"	exact	exact lowered objective	ok	56	196	timeout	timeout	60.071091		no-known-verdict	not-run	
amba_case_study	amba_case_study_pb_4_pe_.ltl	"{""n"": 4}"	strict	REAL-sound only; UNREALIZABLE is not a sound plain-objective UNREAL claim	ok	56	197	exit-2	ERROR	1.997592		no-known-verdict	not-run	tlsfsolve: OxiDD solver failed
amba_case_study_unreal	amba_case_study_unreal_pb_2_pe_.ltl	"{""n"": 2}"	exact	exact lowered objective	ok	34	114	exit-1	UNREALIZABLE	9.032407		no-known-verdict	not-applicable	
