family	n	clients	min_k	min_k_is_n	overapprox_k1	per_k
abcg_arbiter	2	2	2	true	1.0652	1:x1.0652 2:=1.0000
abcg_arbiter	3	3	2	false	1.1837	1:x1.1837 2:=1.0000
amba_decomposed_arbiter	2	2	2	true	1.0003	1:x1.0003 2:=1.0000
amba_decomposed_arbiter	3	3	3	true	1.0002	1:x1.0002 2:x1.0000 3:=1.0000
amba_decomposed_arbiter	4	4	4	true	1.0001	1:x1.0001 2:x1.0000 3:x1.0000 4:=1.0000
amba_decomposed_lock	2	2	1	false	1.0000	1:=1.0000
amba_decomposed_lock	3	3	1	false	1.0000	1:=1.0000
amba_decomposed_lock	4	4	1	false	1.0000	1:=1.0000
arbiter	3	3	2	false	1.0159	1:x1.0159 2:=1.0000
arbiter	4	4	2	false	1.0307	1:x1.0307 2:=1.0000
arbiter	5	5	2	false	1.0495	1:x1.0495 2:=1.0000
arbiter	6	6	2	false	1.0722	1:x1.0722 2:=1.0000
arbiter	7	7	2	false	1.0986	1:x1.0986 2:=1.0000
arbiter_on_inpchange	2	2	2	true	1.0038	1:x1.0038 2:=1.0000
arbiter_on_inpchange	3	3	2	false	1.0111	1:x1.0111 2:=1.0000
arbiter_on_inpchange	4	4	2	false	1.0214	1:x1.0214 2:=1.0000
arbiter_with_buffer	2	2	1	false	1.0000	1:=1.0000
arbiter_with_buffer	3	3	1	false	1.0000	1:=1.0000
arbiter_with_buffer	4	4	1	false	1.0000	1:=1.0000
arbiter_with_cancel	2	2	2	true	1.0029	1:x1.0029 2:=1.0000
arbiter_with_cancel	3	3	2	false	1.0083	1:x1.0083 2:=1.0000
arbiter_with_cancel	4	4	2	false	1.0161	1:x1.0161 2:=1.0000
collector_v1	3	3	1	false	1.0000	1:=1.0000
collector_v3	3	3	3	true	1.3226	1:x1.3226 2:x1.3226 3:=1.0000
lift	2	2	2	true	1.1339	1:x1.1339 2:=1.0000
lift	3	3	3	true	1.0423	1:x1.0423 2:x1.0423 3:=1.0000
load_balancer	2	2	2	true	1.0616	1:x1.0616 2:=1.0000
load_balancer	3	3	2	false	1.0387	1:x1.0387 2:=1.0000
load_balancer	4	4	2	false	1.0226	1:x1.0226 2:=1.0000
load_balancer	5	5	2	false	1.0122	1:x1.0122 2:=1.0000
prioritized_arbiter	3	3	1	false	1.0000	1:=1.0000
prioritized_arbiter	4	4	1	false	1.0000	1:=1.0000
prioritized_arbiter	5	5	1	false	1.0000	1:=1.0000
prioritized_arbiter	6	6	1	false	1.0000	1:=1.0000
round_robin_arbiter	3	3	3	true	1.0434	1:x1.0434 2:x1.0434 3:=1.0000
round_robin_arbiter	4	4	4	true	1.0169	1:x1.0169 2:x1.0169 3:x1.0169 4:=1.0000
round_robin_arbiter	5	5	5	true	1.0066	1:x1.0066 2:x1.0066 3:x1.0066 4:x1.0066 5:=1.0000
simple_arbiter_with_hints	2	2	1	false	1.0000	1:=1.0000
simple_arbiter_with_hints	4	4	1	false	1.0000	1:=1.0000
simple_arbiter_with_hints	6	6	1	false	1.0000	1:=1.0000
