family	ns	scalar_by_n	local_by_n	pairwise_by_n	buswide_by_n	role_classes_by_n	pairwise_growth
amba_decomposed_arbiter	2,3,4,5	2:4,3:4,4:4,5:4	2:7,3:10,4:13,5:16	2:0,3:0,4:0,5:0	2:4,3:4,4:4,5:4	2:2,3:2,4:2,5:2	none
arbiter	1,2,3,4,5	1:0,2:0,3:0,4:0,5:0	1:0,2:8,3:12,4:16,5:20	1:0,2:0,3:0,4:0,5:0	1:4,2:1,3:1,4:1,5:1	1:0,2:1,3:1,4:1,5:1	none
arbiter_with_buffer	1,2,3,4	1:0,2:0,3:0,4:0	1:0,2:2,3:3,4:4	1:0,2:0,3:0,4:0	1:1,2:1,3:1,4:1	1:0,2:1,3:1,4:1	none
arbiter_with_cancel	1,2,3,4	1:0,2:0,3:0,4:0	1:0,2:12,3:18,4:24	1:0,2:0,3:0,4:0	1:6,2:1,3:1,4:1	1:0,2:1,3:1,4:1	none
collector_v1	3,5	3:0,5:0	3:3,5:5	3:0,5:0	3:1,5:1	3:1,5:1	none
lift	2,3,4,5	2:3,3:1,4:1,5:1	2:2,3:5,4:6,5:8	2:0,3:0,4:0,5:0	2:14,3:22,4:29,5:36	2:1,3:2,4:2,5:2	none
load_balancer	2,3,4,5	2:1,3:1,4:1,5:1	2:5,3:7,4:9,5:11	2:1,3:2,4:3,5:4	2:3,3:3,4:3,5:3	2:2,3:2,4:2,5:2	linear
prioritized_arbiter	2,3,4,5	2:1,3:1,4:1,5:1	2:4,3:6,4:8,5:10	2:0,3:0,4:0,5:0	2:2,3:2,4:2,5:2	2:1,3:1,4:1,5:1	none
prioritized_arbiter_enc	8,10,12,13	8:0,10:0,12:0,13:0	8:0,10:0,12:0,13:0	8:0,10:0,12:0,13:0	8:9,10:12,12:14,13:15	8:0,10:0,12:0,13:0	none
round_robin_arbiter	2,3,4,5	2:0,3:0,4:0,5:0	2:8,3:12,4:16,5:20	2:0,3:0,4:0,5:0	2:1,3:1,4:1,5:1	2:1,3:1,4:1,5:1	none
round_robin_arbiter_unreal2	2,3,4,5	2:0,3:0,4:0,5:0	2:8,3:12,4:16,5:20	2:0,3:3,4:6,5:10	2:2,3:1,4:1,5:1	2:1,3:1,4:1,5:1	quadratic
simple_arbiter_enc	8,10,11,12	8:0,10:0,11:0,12:0	8:0,10:0,11:0,12:0	8:0,10:0,11:0,12:0	8:8,10:11,11:12,12:13	8:0,10:0,11:0,12:0	none
