instance	result	exit_code	seconds	cap_s
abcg_arbiter_pb_4_pe_.ltl	TIMEOUT	124	120.21893011000066	120
abcg_arbiter_pb_5_pe_.ltl	TIMEOUT	124	120.2285581670003	120
abcg_arbiter_pb_6_pe_.ltl	TIMEOUT	124	120.218602525998	120
amba_decomposed_lock_pb_15_pe_.ltl	TIMEOUT	124	120.22411150699918	120
amba_decomposed_lock_pb_16_pe_.ltl	TIMEOUT	124	120.21885595700587	120
amba_decomposed_lock_pb_30_pe_.ltl	TIMEOUT	124	120.14375683900289	120
arbiter_on_inpchange_pb_5_pe_.ltl	TIMEOUT	124	120.1357826109961	120
arbiter_on_inpchange_pb_6_pe_.ltl	TIMEOUT	124	120.13303506800003	120
arbiter_on_inpchange_pb_7_pe_.ltl	TIMEOUT	124	120.2003685669988	120
arbiter_pb_10_pe_.ltl	TIMEOUT	124	120.22696053699474	120
arbiter_pb_6_pe_.ltl	TIMEOUT	124	120.07992827000271	120
arbiter_pb_7_pe_.ltl	TIMEOUT	124	120.1724427429981	120
arbiter_pb_8_pe_.ltl	TIMEOUT	124	120.12954575099866	120
arbiter_pb_9_pe_.ltl	TIMEOUT	124	120.22312820200023	120
arbiter_with_buffer_pb_10_pe_.ltl	TIMEOUT	124	120.21933090699895	120
arbiter_with_buffer_pb_6_pe_.ltl	TIMEOUT	124	120.11971541800449	120
arbiter_with_buffer_pb_7_pe_.ltl	TIMEOUT	124	120.27026584200212	120
arbiter_with_buffer_pb_8_pe_.ltl	MEMOUT	-15	103.05386421399999	120
arbiter_with_buffer_pb_9_pe_.ltl	TIMEOUT	124	120.26938020400121	120
arbiter_with_cancel_pb_10_pe_.ltl	TIMEOUT	124	120.20079882899881	120
arbiter_with_cancel_pb_6_pe_.ltl	TIMEOUT	124	120.1363131850012	120
arbiter_with_cancel_pb_7_pe_.ltl	TIMEOUT	124	120.08730532700065	120
arbiter_with_cancel_pb_8_pe_.ltl	TIMEOUT	124	120.21885051999925	120
arbiter_with_cancel_pb_9_pe_.ltl	TIMEOUT	124	120.228541425	120
collector_v1_pb_11_pe_.ltl	MEMOUT	-15	80.2564365290018	120
collector_v1_pb_12_pe_.ltl	TIMEOUT	124	120.13588872200125	120
collector_v1_pb_13_pe_.ltl	TIMEOUT	124	120.17111895400012	120
collector_v1_pb_14_pe_.ltl	TIMEOUT	124	120.21864770600223	120
collector_v1_pb_15_pe_.ltl	TIMEOUT	124	120.32839177000278	120
load_balancer_pb_10_pe_.ltl	TIMEOUT	124	120.15951856000174	120
load_balancer_pb_11_pe_.ltl	TIMEOUT	124	120.21841779900024	120
load_balancer_pb_8_pe_.ltl	TIMEOUT	124	120.16412418200343	120
load_balancer_pb_9_pe_.ltl	TIMEOUT	124	120.22805326800153	120
prioritized_arbiter_pb_10_pe_.ltl	TIMEOUT	124	120.21896835199732	120
prioritized_arbiter_pb_12_pe_.ltl	TIMEOUT	124	120.27706926599785	120
prioritized_arbiter_pb_7_pe_.ltl	TIMEOUT	124	120.11196209400077	120
prioritized_arbiter_pb_8_pe_.ltl	TIMEOUT	124	120.1114672190015	120
prioritized_arbiter_pb_9_pe_.ltl	TIMEOUT	124	120.21901982500276	120
simple_arbiter_with_hints_pb_10_pe_.ltl	TIMEOUT	124	120.2697505449978	120
simple_arbiter_with_hints_pb_12_pe_.ltl	TIMEOUT	124	120.12871577199985	120
simple_arbiter_with_hints_pb_15_pe_.ltl	TIMEOUT	124	120.22228819599695	120
simple_arbiter_with_hints_pb_8_pe_.ltl	TIMEOUT	124	120.11968949700531	120
