instance,result,seconds,exit
abcg_arbiter_pb_4_pe_.ltl,UNKNOWN,120,2
abcg_arbiter_pb_5_pe_.ltl,UNKNOWN,120,2
abcg_arbiter_pb_6_pe_.ltl,UNKNOWN,120,2
amba_decomposed_lock_pb_15_pe_.ltl,REALIZABLE,54.477873,0
amba_decomposed_lock_pb_16_pe_.ltl,UNKNOWN,120,2
amba_decomposed_lock_pb_30_pe_.ltl,UNKNOWN,120,2
arbiter_pb_6_pe_.ltl,REALIZABLE,2.434190,0
arbiter_pb_7_pe_.ltl,REALIZABLE,3.002562,0
arbiter_pb_8_pe_.ltl,REALIZABLE,3.640090,0
arbiter_pb_9_pe_.ltl,REALIZABLE,4.716459,0
arbiter_pb_10_pe_.ltl,REALIZABLE,6.574120,0
arbiter_on_inpchange_pb_5_pe_.ltl,REALIZABLE,11.097588,0
arbiter_on_inpchange_pb_6_pe_.ltl,REALIZABLE,53.006813,0
arbiter_on_inpchange_pb_7_pe_.ltl,UNKNOWN,120,2
arbiter_with_buffer_pb_6_pe_.ltl,REALIZABLE,1.979488,0
arbiter_with_buffer_pb_7_pe_.ltl,REALIZABLE,4.795565,0
arbiter_with_buffer_pb_8_pe_.ltl,REALIZABLE,18.369931,0
arbiter_with_buffer_pb_9_pe_.ltl,UNKNOWN,120,2
arbiter_with_buffer_pb_10_pe_.ltl,UNKNOWN,120,2
arbiter_with_cancel_pb_6_pe_.ltl,REALIZABLE,5.283140,0
arbiter_with_cancel_pb_7_pe_.ltl,REALIZABLE,8.405992,0
arbiter_with_cancel_pb_8_pe_.ltl,REALIZABLE,17.645799,0
arbiter_with_cancel_pb_9_pe_.ltl,REALIZABLE,56.026831,0
arbiter_with_cancel_pb_10_pe_.ltl,UNKNOWN,120,2
collector_v1_pb_11_pe_.ltl,UNKNOWN,120,2
collector_v1_pb_12_pe_.ltl,UNKNOWN,120,2
collector_v1_pb_13_pe_.ltl,UNKNOWN,120,2
collector_v1_pb_14_pe_.ltl,UNKNOWN,120,2
collector_v1_pb_15_pe_.ltl,UNKNOWN,120,2
load_balancer_pb_8_pe_.ltl,REALIZABLE,21.591758,0
load_balancer_pb_9_pe_.ltl,REALIZABLE,64.509396,0
load_balancer_pb_10_pe_.ltl,UNKNOWN,120,2
load_balancer_pb_11_pe_.ltl,UNKNOWN,120,2
prioritized_arbiter_pb_7_pe_.ltl,REALIZABLE,0.993899,0
prioritized_arbiter_pb_8_pe_.ltl,REALIZABLE,1.042248,0
prioritized_arbiter_pb_9_pe_.ltl,REALIZABLE,1.110763,0
prioritized_arbiter_pb_10_pe_.ltl,REALIZABLE,1.240433,0
prioritized_arbiter_pb_12_pe_.ltl,REALIZABLE,2.262997,0
simple_arbiter_with_hints_pb_8_pe_.ltl,UNKNOWN,120,2
simple_arbiter_with_hints_pb_10_pe_.ltl,UNKNOWN,120,2
simple_arbiter_with_hints_pb_12_pe_.ltl,UNKNOWN,120,2
simple_arbiter_with_hints_pb_15_pe_.ltl,UNKNOWN,120,2
