instance,result,seconds,exit
abcg_arbiter_pb_4_pe_.ltl,REALIZABLE,14.423,0
abcg_arbiter_pb_5_pe_.ltl,TIMEOUT,120.223,124
abcg_arbiter_pb_6_pe_.ltl,TIMEOUT,120.168,124
amba_decomposed_lock_pb_15_pe_.ltl,REALIZABLE,0.049,0
amba_decomposed_lock_pb_16_pe_.ltl,REALIZABLE,0.105,0
amba_decomposed_lock_pb_30_pe_.ltl,TIMEOUT,120.223,124
arbiter_pb_6_pe_.ltl,REALIZABLE,0.14,0
arbiter_pb_7_pe_.ltl,REALIZABLE,0.687,0
arbiter_pb_8_pe_.ltl,REALIZABLE,3.987,0
arbiter_pb_9_pe_.ltl,REALIZABLE,25.104,0
arbiter_pb_10_pe_.ltl,TIMEOUT,120.136,124
arbiter_on_inpchange_pb_5_pe_.ltl,TIMEOUT,120.221,124
arbiter_on_inpchange_pb_6_pe_.ltl,TIMEOUT,120.048,124
arbiter_on_inpchange_pb_7_pe_.ltl,TIMEOUT,120.136,124
arbiter_with_buffer_pb_6_pe_.ltl,REALIZABLE,1.518,0
arbiter_with_buffer_pb_7_pe_.ltl,REALIZABLE,14.782,0
arbiter_with_buffer_pb_8_pe_.ltl,TIMEOUT,120.202,124
arbiter_with_buffer_pb_9_pe_.ltl,TIMEOUT,120.226,124
arbiter_with_buffer_pb_10_pe_.ltl,TIMEOUT,120.226,124
arbiter_with_cancel_pb_6_pe_.ltl,REALIZABLE,1.644,0
arbiter_with_cancel_pb_7_pe_.ltl,REALIZABLE,15.332,0
arbiter_with_cancel_pb_8_pe_.ltl,TIMEOUT,120.059,124
arbiter_with_cancel_pb_9_pe_.ltl,TIMEOUT,120.043,124
arbiter_with_cancel_pb_10_pe_.ltl,TIMEOUT,120.137,124
collector_v1_pb_11_pe_.ltl,TIMEOUT,120.119,124
collector_v1_pb_12_pe_.ltl,TIMEOUT,120.136,124
collector_v1_pb_13_pe_.ltl,TIMEOUT,120.168,124
collector_v1_pb_14_pe_.ltl,TIMEOUT,120.276,124
collector_v1_pb_15_pe_.ltl,TIMEOUT,120.222,124
load_balancer_pb_8_pe_.ltl,TIMEOUT,120.136,124
load_balancer_pb_9_pe_.ltl,TIMEOUT,120.099,124
load_balancer_pb_10_pe_.ltl,TIMEOUT,120.097,124
load_balancer_pb_11_pe_.ltl,TIMEOUT,120.075,124
prioritized_arbiter_pb_7_pe_.ltl,REALIZABLE,0.033,0
prioritized_arbiter_pb_8_pe_.ltl,REALIZABLE,0.035,0
prioritized_arbiter_pb_9_pe_.ltl,REALIZABLE,0.029,0
prioritized_arbiter_pb_10_pe_.ltl,REALIZABLE,0.029,0
prioritized_arbiter_pb_12_pe_.ltl,REALIZABLE,0.035,0
simple_arbiter_with_hints_pb_8_pe_.ltl,REALIZABLE,0.325,0
simple_arbiter_with_hints_pb_10_pe_.ltl,REALIZABLE,7.257,0
simple_arbiter_with_hints_pb_12_pe_.ltl,TIMEOUT,120.222,124
simple_arbiter_with_hints_pb_15_pe_.ltl,TIMEOUT,120.102,124
