index	instance	family_key	label	build	expected	result	seconds	fallback_logged
1	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	11.42770737799583	False
2	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	10.460837366990745	False
3	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	9.553906977991574	False
4	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	10.208557713020127	False
5	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.036902808991726	False
6	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	8.596076162008103	False
7	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.03699004900409	False
8	F-G-contradiction-16.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	9.692493573005777	False
9	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	12.330527334997896	False
10	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	11.552803947008215	False
11	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	11.087804326030891	False
12	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	11.553834435995668	False
13	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.05284689698601	False
14	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	9.923497121024411	False
15	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.053525434981566	False
16	F-G-contradiction-17.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	10.795594104973134	False
17	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	14.37527360895183	False
18	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	13.178345019987319	False
19	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	12.24764423398301	False
20	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	13.210560590028763	False
21	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.089058908983134	False
22	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	11.14371904102154	False
23	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-automaton	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.08577789599076	False
24	F-G-contradiction-18.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-automaton	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	12.31400026701158	False
25	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_automaton-race	otf_sparse_automaton	UNREALIZABLE	UNREALIZABLE	14.867392643995117	False
26	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	otf_sparse_formula-race	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	13.203178431023844	False
27	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_lazy-race	otf_mix_formula_lazy	UNREALIZABLE	UNREALIZABLE	13.63961873203516	False
28	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	otf_mix_formula_eager-race	otf_mix_formula_eager	UNREALIZABLE	UNREALIZABLE	13.586270608997438	False
29	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	main-forward-unreal-formula	main-best_four_arm_contradiction	UNREALIZABLE	TIMEOUT	17.087160644994583	False
30	F-G-contradiction-19.ltl	direct:tlsf/sweap:F-G-contradiction	sparse-unreal-formula	otf_sparse_formula	UNREALIZABLE	UNREALIZABLE	11.618415175005794	False
