instance,result,seconds,exit
01.ltl,REALIZABLE,0.023579517990583554,0
02.ltl,REALIZABLE,0.054395043989643455,0
03.ltl,REALIZABLE,2.8130371540028136,0
05.ltl,REALIZABLE,12.510856715991395,0
06.ltl,REALIZABLE,16.99102364599821,0
07.ltl,TIMEOUT,17.03705491501023,124
08.ltl,TIMEOUT,17.037018393020844,124
09.ltl,REALIZABLE,7.712539318978088,0
10.ltl,REALIZABLE,3.589848331990652,0
11.ltl,REALIZABLE,3.576848819007864,0
12.ltl,REALIZABLE,5.355952826997964,0
13.ltl,REALIZABLE,5.1400515570130665,0
ActionConverter.ltl,REALIZABLE,0.014918021013727412,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.023060410981997848,0
Alarm_06e9cad4.ltl,REALIZABLE,1.5914666229800787,0
Alarm_2d1010f8.ltl,REALIZABLE,0.02433753400691785,0
Alarm_68c86764.ltl,REALIZABLE,1.698165311012417,0
Alarm_70523fbe.ltl,REALIZABLE,0.9058019549993332,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.016181765007786453,0
Alarm_9cac58d3.ltl,REALIZABLE,0.017613548989174888,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.029033530998277,124
Alarm_f2774e0b.ltl,REALIZABLE,0.970579943008488,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.01889607499470003,0
AllLights_06e9cad4.ltl,UNREALIZABLE,3.1388391900109127,1
AllLights_2c5b09da.ltl,UNREALIZABLE,1.362552834005328,1
AllLights_63831f8c.ltl,UNREALIZABLE,3.172412987012649,1
AllLights_aeb1d897.ltl,UNREALIZABLE,4.843588485993678,1
AllLights_b209ff21.ltl,UNREALIZABLE,4.706568085995968,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,3.612118792021647,1
AllShades_66f450a4.ltl,UNREALIZABLE,2.8764646649942733,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.018550252978457138,1
Automata.ltl,REALIZABLE,0.0448508310073521,0
Automata16S.ltl,TIMEOUT,17.090643187984824,124
Automata32S.ltl,TIMEOUT,17.090366090997122,124
Button.ltl,REALIZABLE,0.03329282198683359,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.035083333001239225,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.02990012598456815,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.0360680999874603,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.03701447899220511,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.03304706999915652,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.04004103198531084,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.03397275501629338,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.037647742981789634,1
CheckLight_007df645.ltl,UNREALIZABLE,0.04125409698463045,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.03629748499952257,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.02849759900709614,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.034408554987749085,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.03652958301245235,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.03350102697731927,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.03581674300949089,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.03383021699846722,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.03659431799314916,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.038236565014813095,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.02986079701804556,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.035090379999019206,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.03597916098078713,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.0360062200052198,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.03767460200469941,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.03362306801136583,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.030752157006645575,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.03741076000733301,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.036857741011772305,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.032366117025958374,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.03270677200634964,1
Cockpitboard.ltl,REALIZABLE,0.03170361899537966,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.03367985598742962,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.03642931702779606,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.018169131013564765,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.018569865002064034,0
Coffee_06e9cad4.ltl,REALIZABLE,0.02682947600260377,0
Coffee_235467da.ltl,REALIZABLE,0.02109328901860863,0
Coffee_2c5b09da.ltl,REALIZABLE,0.023137973999837413,0
Coffee_6479ef9a.ltl,REALIZABLE,0.03810113499639556,0
Coffee_d6376bf9.ltl,REALIZABLE,0.03898073002346791,0
Coffee_efe2feaf.ltl,REALIZABLE,0.031002695992356166,0
Coffee_f1477cc5.ltl,UNREALIZABLE,0.035012622975045815,1
Core_4b5a2bad.ltl,UNREALIZABLE,0.048338108987081796,1
Core_66f450a4.ltl,UNREALIZABLE,0.030520786996930838,1
Core_fa4d4ce3.ltl,UNREALIZABLE,0.04918393099796958,1
Core_solved_974f4a68.ltl,REALIZABLE,0.03939945399179123,0
Demo1_06e9cad4.ltl,TIMEOUT,17.09290420799516,124
Demo1_2c5b09da.ltl,TIMEOUT,17.092808629997307,124
Demo1_63831f8c.ltl,TIMEOUT,17.093434371985495,124
Demo1_c2b9e44d.ltl,TIMEOUT,17.09403397399001,124
Demo1_d65ed84e.ltl,TIMEOUT,17.097507014026633,124
DeviceBehaviorChec_fa8592c8.ltl,UNREALIZABLE,0.03496588999405503,1
Door_2d1010f8.ltl,REALIZABLE,0.03487900199252181,0
EnemeyModule.ltl,REALIZABLE,0.02553577901562676,0
EscalatorBidirectional.ltl,REALIZABLE,0.04031546402256936,0
EscalatorBidirectionalInit.ltl,REALIZABLE,0.04417708300752565,0
EscalatorCounting.ltl,REALIZABLE,0.03813568799523637,0
EscalatorCountingInit.ltl,REALIZABLE,0.03738146400428377,0
EscalatorNonCounting.ltl,REALIZABLE,0.03846303798491135,0
EscalatorNonReactive.ltl,REALIZABLE,0.03140939198783599,0
EscalatorSmart.ltl,REALIZABLE,0.04245137100224383,0
Example1_d6376bf9.ltl,REALIZABLE,0.033621292997850105,0
F-G-contradiction-10.ltl,UNREALIZABLE,0.05483689298853278,1
F-G-contradiction-11.ltl,UNREALIZABLE,0.049388126004487276,1
F-G-contradiction-110.ltl,TIMEOUT,17.139659184002085,124
F-G-contradiction-111.ltl,TIMEOUT,17.130602160992566,124
F-G-contradiction-112.ltl,TIMEOUT,17.053853980003623,124
F-G-contradiction-113.ltl,TIMEOUT,17.053296798985684,124
F-G-contradiction-114.ltl,TIMEOUT,17.089950738009065,124
F-G-contradiction-12.ltl,UNREALIZABLE,0.08244624600047246,1
F-G-contradiction-13.ltl,UNREALIZABLE,0.14264711999567226,1
F-G-contradiction-14.ltl,UNREALIZABLE,0.2807273170037661,1
F-G-contradiction-15.ltl,UNREALIZABLE,0.31064567499561235,1
F-G-contradiction-16.ltl,TIMEOUT,17.053273123019608,124
F-G-contradiction-17.ltl,TIMEOUT,17.052328691002913,124
F-G-contradiction-18.ltl,TIMEOUT,17.085528984986013,124
F-G-contradiction-19.ltl,TIMEOUT,17.08565105299931,124
F-G-contradiction-2-unreal.ltl,UNREALIZABLE,0.032302555977366865,1
FelixSpecFixed2.2.core_fa8592c8.ltl,UNREALIZABLE,0.021910012990701944,1
FelixSpecFixed2_fa4d4ce3.ltl,TIMEOUT,17.089992416993482,124
FelixSpecFixed3.core_b209ff21.ltl,UNREALIZABLE,0.07247104900307022,1
FelixSpecFixed3_b0840146.ltl,TIMEOUT,17.089576425991254,124
FelixSpecFixed4GuaranteesOnly_88f351a6.ltl,UNREALIZABLE,0.03423472598660737,1
FelixSpecFixed4_3916ec59.ltl,TIMEOUT,17.088838124996983,124
FelixSpecFixed5_f82794da.ltl,TIMEOUT,17.08566611498827,124
FelixSpecFixed_2418b67e.ltl,TIMEOUT,17.089125831000274,124
Full_f1477cc5.ltl,TIMEOUT,17.093235496984562,124
GF-G-contradiction0.ltl,UNREALIZABLE,0.03886132797924802,1
GF-G-contradiction1.ltl,UNREALIZABLE,0.06485076597891748,1
GF-G-contradiction2.ltl,UNREALIZABLE,0.25302019200171344,1
GF-G-contradiction3.ltl,TIMEOUT,17.053519556997344,124
GF-G-contradiction4.ltl,TIMEOUT,17.052382690977538,124
GF-G-contradiction5.ltl,TIMEOUT,17.085429857019335,124
GF-G-contradiction6.ltl,TIMEOUT,17.085100394004257,124
GF-G-contradiction7.ltl,TIMEOUT,17.05320284399204,124
Gamelogic.ltl,REALIZABLE,0.027574428997468203,0
GamemodeChooser.ltl,REALIZABLE,0.036775757995201275,0
Gamemodule.ltl,REALIZABLE,0.03918157800217159,0
HeatingMin_d6c5ac79.ltl,REALIZABLE,0.03313921898370609,0
Heating_235467da.ltl,REALIZABLE,0.03400115799740888,0
Heating_974f4a68.ltl,REALIZABLE,0.04496717802248895,0
Heating_b02056d6.ltl,REALIZABLE,0.03415656401193701,0
Heating_b209ff21.ltl,REALIZABLE,0.029459627985488623,0
Increment.ltl,REALIZABLE,0.03063479100819677,0
IntendDemo_42dc4fff.ltl,UNREALIZABLE,0.05907198000932112,1
KitchenTimerV0.ltl,REALIZABLE,0.03027532997657545,0
KitchenTimerV1.ltl,REALIZABLE,0.038837747008074075,0
KitchenTimerV10.ltl,REALIZABLE,0.09764563300996087,0
KitchenTimerV2.ltl,REALIZABLE,0.021021106018451974,0
KitchenTimerV3.ltl,REALIZABLE,0.03329916900838725,0
KitchenTimerV4.ltl,REALIZABLE,0.04748820900567807,0
KitchenTimerV5.ltl,REALIZABLE,0.052433417993597686,0
KitchenTimerV6.ltl,REALIZABLE,0.06953380498453043,0
KitchenTimerV7.ltl,REALIZABLE,0.0727980739902705,0
KitchenTimerV8.ltl,REALIZABLE,0.07172275701304898,0
KitchenTimerV9.ltl,REALIZABLE,0.13389623601688072,0
LampController_974f4a68.ltl,REALIZABLE,0.032734101987443864,0
LedMatrix.ltl,TIMEOUT,17.080682480009273,124
Light_a50cadd7.ltl,UNREALIZABLE,0.03198597897426225,1
Light_aeb1d897.ltl,UNREALIZABLE,0.04696101200534031,1
Light_d65ed84e.ltl,REALIZABLE,0.04366120300255716,0
Lights2Min_9cbf2546.ltl,REALIZABLE,0.038658830017084256,0
Lights2_06e9cad4.ltl,REALIZABLE,0.18230799300363287,0
Lights2_0f5381e9.ltl,REALIZABLE,0.17836215998977423,0
Lights2_2c5b09da.ltl,REALIZABLE,0.04287668500910513,0
Lights2_9cac58d3.ltl,REALIZABLE,0.1870443900115788,0
Lights2_b02056d6.ltl,REALIZABLE,0.17644153398578055,0
Lights2_f1477cc5.ltl,UNREALIZABLE,0.049589947011554614,1
Lights2_f3987563.ltl,REALIZABLE,0.19122583299758844,0
Lights3Min_6479ef9a.ltl,REALIZABLE,0.025870974001009017,0
Lights3_06e9cad4.ltl,REALIZABLE,0.05212288600159809,0
Lights3_235467da.ltl,REALIZABLE,0.034536554012447596,0
Lights3_2c5b09da.ltl,REALIZABLE,0.030975174973718822,0
Lights3_3916ec59.ltl,REALIZABLE,0.050790033012162894,0
Lights3_6bea956e.ltl,REALIZABLE,0.03792929698829539,0
Lights3_f1477cc5.ltl,REALIZABLE,0.041826808999758214,0
LightsMin_6bea956e.ltl,REALIZABLE,0.027369414980057627,0
LightsTotal_06e9cad4.ltl,REALIZABLE,0.4012377949838992,0
LightsTotal_2c5b09da.ltl,UNREALIZABLE,0.0495896739885211,1
LightsTotal_9cbf2546.ltl,REALIZABLE,0.4327631579944864,0
LightsTotal_d65ed84e.ltl,REALIZABLE,0.3780873520008754,0
Lights_06e9cad4.ltl,REALIZABLE,0.03907294699456543,0
Lights_2c5b09da.ltl,REALIZABLE,0.024763965979218483,0
Lights_3461125b.ltl,REALIZABLE,0.04029709901078604,0
Lights_9cac58d3.ltl,REALIZABLE,0.042666167981224135,0
Lights_b0840146.ltl,REALIZABLE,0.042858286993578076,0
Lights_f3987563.ltl,REALIZABLE,0.04425176000222564,0
ModdifiedLedMatrix4X.ltl,UNREALIZABLE,0.5421650399803184,1
ModdifiedLedMatrix5X.ltl,REALIZABLE,0.129384369996842,0
Morning2Min_6cbc6174.ltl,REALIZABLE,0.02854905801359564,0
Morning2_06e9cad4.ltl,TIMEOUT,17.09438352601137,124
Morning2_1cf58fc1.ltl,UNREALIZABLE,1.5693995160108898,1
Morning2_2c5b09da.ltl,TIMEOUT,17.088925674004713,124
Morning2_407db2cc.ltl,TIMEOUT,17.09178678400349,124
Morning2_4d4ca5c4.ltl,REALIZABLE,0.03025241897557862,0
Morning2_63831f8c.ltl,TIMEOUT,17.09378331102198,124
Morning2_68c86764.ltl,TIMEOUT,17.09337801800575,124
Morning2_9cac58d3.ltl,REALIZABLE,0.031035138003062457,0
Morning2_d65ed84e.ltl,TIMEOUT,17.09191206700052,124
Morning2s_06cf2373.ltl,TIMEOUT,17.053893206990324,124
Morning2s_06e9cad4.ltl,TIMEOUT,17.05323516597855,124
Morning2s_2c5b09da.ltl,TIMEOUT,17.09017301799031,124
Morning2s_42dc4fff.ltl,TIMEOUT,17.094947709992994,124
Morning2s_9cbf2546.ltl,TIMEOUT,17.041431447985815,124
Morning2s_d6c5ac79.ltl,TIMEOUT,17.0945500539965,124
MorningMin_d6c5ac79.ltl,REALIZABLE,0.03713584801880643,0
Morning_14a3b3a2.ltl,TIMEOUT,17.0840186419955,124
Morning_4b5e6eaa.ltl,TIMEOUT,17.09133812697837,124
Morning_88c5c1c3.ltl,TIMEOUT,17.076931906980462,124
Morning_9cac58d3.ltl,TIMEOUT,17.090671351004858,124
Morning_c92eb242.ltl,TIMEOUT,17.09066156699555,124
Morning_f1477cc5.ltl,UNREALIZABLE,6.950585195998428,1
Morning_f2774e0b.ltl,TIMEOUT,17.077164476009784,124
MusicAppFeedback.ltl,REALIZABLE,0.027502206998178735,0
MusicAppMotivating.ltl,REALIZABLE,0.037337515997933224,0
MusicAppSimple.ltl,REALIZABLE,0.03473684101481922,0
OneCounter.ltl,REALIZABLE,2.897547396016307,0
OneCounterGui.ltl,UNREALIZABLE,0.0255748099880293,1
OneCounterGuiA1.ltl,UNREALIZABLE,0.02279254500172101,1
OneCounterGuiA2.ltl,UNREALIZABLE,0.03317136500845663,1
OneCounterGuiA3.ltl,UNREALIZABLE,0.05511270399438217,1
OneCounterGuiA4.ltl,UNREALIZABLE,0.0630941670096945,1
OneCounterGuiA5.ltl,UNREALIZABLE,0.09617107600206509,1
OneCounterGuiA6.ltl,UNREALIZABLE,0.29781707501388155,1
OneCounterGuiA7.ltl,UNREALIZABLE,0.8488256260170601,1
OneCounterGuiA8.ltl,UNREALIZABLE,3.133607594005298,1
OneCounterInRange.ltl,UNREALIZABLE,0.022979589004535228,1
OneCounterInRangeA1.ltl,UNREALIZABLE,0.0168707609991543,1
OneCounterInRangeA2.ltl,UNREALIZABLE,0.01666416399530135,1
OneCounterInRangeA3.ltl,REALIZABLE,0.024694730003830045,0
PlugController_fa4d4ce3.ltl,REALIZABLE,0.03086430300027132,0
Radarboard.ltl,REALIZABLE,0.03438311399077065,0
RegManager.ltl,REALIZABLE,0.03377771298983134,0
Room_a50cadd7.ltl,UNREALIZABLE,0.034421957010636106,1
RotationCalculator.ltl,REALIZABLE,0.04264823597623035,0
SPI.ltl,REALIZABLE,0.2874073970015161,0
SPIPureNext.ltl,TIMEOUT,17.053089521010406,124
SPIReadClk.ltl,REALIZABLE,0.030220740009099245,0
SPIReadManag.ltl,REALIZABLE,0.02849821897689253,0
SPIReadSdi.ltl,REALIZABLE,0.020476675999816507,0
SPIWriteClk.ltl,REALIZABLE,0.02300754500902258,0
SPIWriteManag.ltl,REALIZABLE,0.024868584994692355,0
SPIWriteSdi.ltl,REALIZABLE,0.04313766400446184,0
Scoreboard.ltl,REALIZABLE,0.039071595994755626,0
Sensor.ltl,REALIZABLE,0.14578086900291964,0
SensorInit.ltl,REALIZABLE,0.14342215401120484,0
SensorPart.ltl,REALIZABLE,0.03686704198480584,0
SensorRegister.ltl,REALIZABLE,0.0267323559965007,0
SensorSelector.ltl,REALIZABLE,0.03410480698221363,0
SensorSubmodulChooser.ltl,REALIZABLE,0.058203147986205295,0
Shades2Min_63831f8c.ltl,REALIZABLE,0.02044419400044717,0
Shades2_235467da.ltl,REALIZABLE,0.0380280910176225,0
Shades2_42dc4fff.ltl,REALIZABLE,0.039289675012696534,0
Shades2_70523fbe.ltl,REALIZABLE,0.03809133899630979,0
Shades2_a5f99bc6.ltl,REALIZABLE,0.037208342022495344,0
ShadesMin_aeb1d897.ltl,REALIZABLE,0.03857197301113047,0
Shades_6479ef9a.ltl,REALIZABLE,0.03875824098940939,0
Shades_974f4a68.ltl,REALIZABLE,0.048230468994006515,0
Shades_9cac58d3.ltl,REALIZABLE,0.040348283015191555,0
Shades_a02758ea.ltl,REALIZABLE,0.04369722699630074,0
SingleContoller_d65ed84e.ltl,UNREALIZABLE,0.04734293799265288,1
SliderDefault.ltl,REALIZABLE,0.03754501399816945,0
SliderDelayed.ltl,REALIZABLE,0.04775656299898401,0
SliderScored.ltl,REALIZABLE,0.029048836993752047,0
System_b0840146.ltl,UNREALIZABLE,0.020429369003977627,1
Time_a50cadd7.ltl,UNREALIZABLE,0.029835725988959894,1
Timer_a50cadd7.ltl,REALIZABLE,0.029717958997935057,0
TorcsAccelerating.ltl,REALIZABLE,0.03106914699310437,0
TorcsGearing.ltl,REALIZABLE,0.03086915597668849,0
TorcsSimple.ltl,REALIZABLE,0.04475698998430744,0
TorcsSteeringImproved.ltl,REALIZABLE,0.038932432973524556,0
TorcsSteeringSimple.ltl,REALIZABLE,0.03834425797685981,0
TorcsSteeringSmart.ltl,REALIZABLE,0.039230369991855696,0
TwoCounters.ltl,UNREALIZABLE,0.041021732991794124,1
