instance,result,seconds,exit
01.ltl,REALIZABLE,0.023187298997072503,0
02.ltl,REALIZABLE,0.0418605979939457,0
03.ltl,REALIZABLE,3.075480459985556,0
05.ltl,REALIZABLE,13.396579995984212,0
06.ltl,TIMEOUT,17.032632223999826,124
07.ltl,TIMEOUT,17.036019287013914,124
08.ltl,TIMEOUT,17.03690217298572,124
09.ltl,REALIZABLE,7.661070947011467,0
10.ltl,REALIZABLE,3.2766514319810085,0
11.ltl,REALIZABLE,3.137190773995826,0
12.ltl,REALIZABLE,5.479099785996368,0
13.ltl,REALIZABLE,5.29495060199406,0
ActionConverter.ltl,REALIZABLE,0.031074513972271234,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.03981851998833008,0
Alarm_06e9cad4.ltl,REALIZABLE,1.6917264029907528,0
Alarm_2d1010f8.ltl,REALIZABLE,0.018733240984147415,0
Alarm_68c86764.ltl,REALIZABLE,1.6833961959928274,0
Alarm_70523fbe.ltl,REALIZABLE,0.9492931649729144,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.01968905798275955,0
Alarm_9cac58d3.ltl,REALIZABLE,0.017714702000375837,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.093992489011725,124
Alarm_f2774e0b.ltl,REALIZABLE,0.9651826279878151,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.022874852002132684,0
AllLights_06e9cad4.ltl,UNREALIZABLE,3.0415415030147415,1
AllLights_2c5b09da.ltl,UNREALIZABLE,1.3052760190039407,1
AllLights_63831f8c.ltl,UNREALIZABLE,3.2093334209930617,1
AllLights_aeb1d897.ltl,UNREALIZABLE,4.541060510993702,1
AllLights_b209ff21.ltl,UNREALIZABLE,4.3988169340009335,1
AllLights_d6c5ac79.ltl,UNREALIZABLE,3.7373449159786105,1
AllShades_66f450a4.ltl,UNREALIZABLE,1.5366722760081757,1
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.017518411012133583,1
Automata.ltl,REALIZABLE,0.056300909986021,0
Automata16S.ltl,TIMEOUT,17.09096343399142,124
Automata32S.ltl,TIMEOUT,17.089891512005124,124
Button.ltl,REALIZABLE,0.02162099297856912,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.0355236729956232,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.03249999799299985,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.03517111900146119,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.03465331700863317,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.03453863100730814,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.035311786021338776,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.043648388993460685,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.03307340698665939,1
CheckLight_007df645.ltl,UNREALIZABLE,0.03667257400229573,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.038267591007752344,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.03211707097943872,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.03416406598989852,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.029543698008637875,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.030032547016162425,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.03470629098592326,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.04160610801773146,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.034329743997659534,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.03801572701195255,1
