baseline	candidate	primary_classification	selected_instances	stable_gains	stable_losses	variable_coverage	both_all_rounds	neither_any_round	stable_major_speedups	stable_major_slowdowns
main-best_four_arm_contradiction	otf_sparse_automaton	gained	47	45	0	2	0	0	0	0
main-best_four_arm_contradiction	otf_sparse_automaton	lost	1	0	0	0	0	1	0	0
main-best_four_arm_contradiction	otf_sparse_automaton	both	27	0	0	0	27	0	23	0
main-best_four_arm_contradiction	otf_sparse_formula	gained	50	47	0	2	1	0	0	0
main-best_four_arm_contradiction	otf_sparse_formula	lost	2	0	0	1	0	1	0	0
main-best_four_arm_contradiction	otf_sparse_formula	both	46	0	0	0	46	0	42	0
main-best_four_arm_contradiction	otf_sparse_formula	neither	1	1	0	0	0	0	0	0
main-best_four_arm_contradiction	otf_mix_formula_lazy	gained	55	52	0	3	0	0	0	0
main-best_four_arm_contradiction	otf_mix_formula_lazy	lost	12	0	10	1	0	1	0	0
main-best_four_arm_contradiction	otf_mix_formula_lazy	both	61	0	0	0	61	0	43	15
main-best_four_arm_contradiction	otf_mix_formula_lazy	neither	1	0	0	1	0	0	0	0
main-best_four_arm_contradiction	otf_mix_formula_eager	gained	54	52	0	2	0	0	0	0
main-best_four_arm_contradiction	otf_mix_formula_eager	lost	12	0	10	1	0	1	0	0
main-best_four_arm_contradiction	otf_mix_formula_eager	both	59	0	0	0	59	0	43	15
main-best_four_arm_contradiction	otf_mix_formula_eager	neither	2	0	1	0	0	1	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_automaton	gained	115	114	0	1	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_automaton	lost	4	0	2	2	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_automaton	both	77	0	0	1	76	0	65	7
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_formula	gained	116	116	0	0	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_formula	lost	3	0	2	1	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_sparse_formula	both	79	0	0	2	77	0	65	6
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_lazy	gained	122	120	0	2	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_lazy	lost	14	0	12	2	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_lazy	both	93	0	0	1	92	0	67	20
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_eager	gained	121	120	0	1	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_eager	lost	14	0	12	2	0	0	0	0
main-best_decomp_rank_bucketed_semantic_mona	otf_mix_formula_eager	both	93	0	0	1	92	0	67	20
main-best_four_arm_bboxtree	otf_sparse_automaton	gained	68	67	0	1	0	0	0	0
main-best_four_arm_bboxtree	otf_sparse_automaton	lost	1	0	0	1	0	0	0	0
main-best_four_arm_bboxtree	otf_sparse_automaton	both	41	0	0	1	40	0	35	1
