instance,result,seconds,exit
01.ltl,REALIZABLE,0.029,0
02.ltl,REALIZABLE,0.041,0
03.ltl,REALIZABLE,3.597,0
05.ltl,TIMEOUT,17.081,124
06.ltl,TIMEOUT,17.072,124
07.ltl,TIMEOUT,17.082,124
08.ltl,TIMEOUT,17.082,124
09.ltl,TIMEOUT,17.082,124
10.ltl,TIMEOUT,17.082,124
11.ltl,TIMEOUT,17.082,124
12.ltl,TIMEOUT,17.082,124
13.ltl,TIMEOUT,17.049,124
ActionConverter.ltl,REALIZABLE,0.014,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.03,0
Alarm_06e9cad4.ltl,TIMEOUT,17.049,124
Alarm_2d1010f8.ltl,REALIZABLE,0.023,0
Alarm_68c86764.ltl,TIMEOUT,17.049,124
Alarm_70523fbe.ltl,TIMEOUT,17.049,124
Alarm_88c5c1c3.ltl,REALIZABLE,0.019,0
Alarm_9cac58d3.ltl,REALIZABLE,0.019,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.05,124
Alarm_f2774e0b.ltl,TIMEOUT,17.049,124
AllHeating_d6376bf9.ltl,REALIZABLE,0.023,0
AllLights_06e9cad4.ltl,TIMEOUT,17.033,124
AllLights_2c5b09da.ltl,TIMEOUT,17.049,124
AllLights_63831f8c.ltl,TIMEOUT,17.033,124
AllLights_aeb1d897.ltl,TIMEOUT,17.033,124
AllLights_b209ff21.ltl,TIMEOUT,17.033,124
AllLights_d6c5ac79.ltl,TIMEOUT,17.033,124
AllShades_66f450a4.ltl,TIMEOUT,17.049,124
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.019,1
Automata.ltl,REALIZABLE,0.035,0
Automata16S.ltl,REALIZABLE,0.029,0
Automata32S.ltl,REALIZABLE,0.032,0
Button.ltl,REALIZABLE,0.032,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.034,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.036,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.029,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.026,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.033,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.033,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.03,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.032,1
CheckLight_007df645.ltl,UNREALIZABLE,0.035,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.033,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.032,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.029,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.031,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.018,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.014,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.014,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.016,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.02,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.015,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.02,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.024,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.015,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.014,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.019,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.016,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.015,1
CheckWarnlight_54e1f7d2.ltl,UNREALIZABLE,0.015,1
CheckWarnlight_6bea956e.ltl,UNREALIZABLE,0.014,1
CheckWindows_54e1f7d2.ltl,UNREALIZABLE,0.016,1
Cockpitboard.ltl,REALIZABLE,0.016,0
Cockpitboard_efe2feaf.ltl,REALIZABLE,0.029,0
CoffeMachine_974f4a68.ltl,REALIZABLE,0.05,0
CoffeMachine_a50cadd7.ltl,UNREALIZABLE,0.029,1
CoffeeMin_88f351a6.ltl,REALIZABLE,0.03,0
Coffee_06e9cad4.ltl,REALIZABLE,0.057,0
Coffee_235467da.ltl,REALIZABLE,0.105,0
Coffee_2c5b09da.ltl,REALIZABLE,0.033,0
Coffee_6479ef9a.ltl,REALIZABLE,0.057,0
Coffee_d6376bf9.ltl,REALIZABLE,0.045,0
Coffee_efe2feaf.ltl,REALIZABLE,0.107,0
