instance,result,seconds,exit
01.ltl,REALIZABLE,0.033,0
02.ltl,REALIZABLE,0.043,0
03.ltl,TIMEOUT,17.024,124
05.ltl,TIMEOUT,17.132,124
06.ltl,TIMEOUT,17.232,124
07.ltl,TIMEOUT,17.182,124
08.ltl,TIMEOUT,17.383,124
09.ltl,TIMEOUT,17.333,124
10.ltl,TIMEOUT,17.282,124
11.ltl,TIMEOUT,17.333,124
12.ltl,TIMEOUT,17.433,124
13.ltl,TIMEOUT,17.05,124
ActionConverter.ltl,REALIZABLE,0.019,0
AlarmMin_efe2feaf.ltl,REALIZABLE,0.025,0
Alarm_06e9cad4.ltl,TIMEOUT,17.081,124
Alarm_2d1010f8.ltl,REALIZABLE,0.015,0
Alarm_68c86764.ltl,REALIZABLE,12.485,0
Alarm_70523fbe.ltl,REALIZABLE,6.393,0
Alarm_88c5c1c3.ltl,REALIZABLE,0.019,0
Alarm_9cac58d3.ltl,REALIZABLE,0.017,0
Alarm_a5f99bc6.ltl,TIMEOUT,17.05,124
Alarm_f2774e0b.ltl,REALIZABLE,3.166,0
AllHeating_d6376bf9.ltl,REALIZABLE,0.032,0
AllLights_06e9cad4.ltl,TIMEOUT,17.082,124
AllLights_2c5b09da.ltl,TIMEOUT,17.082,124
AllLights_63831f8c.ltl,TIMEOUT,17.07,124
AllLights_aeb1d897.ltl,TIMEOUT,17.081,124
AllLights_b209ff21.ltl,TIMEOUT,17.082,124
AllLights_d6c5ac79.ltl,TIMEOUT,17.082,124
AllShades_66f450a4.ltl,TIMEOUT,17.082,124
Assumptions_a50cadd7.ltl,UNREALIZABLE,0.044,1
Automata.ltl,REALIZABLE,0.066,0
Automata16S.ltl,TIMEOUT,17.082,124
Automata32S.ltl,TIMEOUT,17.083,124
Button.ltl,REALIZABLE,0.03,0
CheckAlarmBroken1_1a2942e3.ltl,REALIZABLE,0.031,0
CheckAlarm_6bea956e.ltl,UNREALIZABLE,0.039,1
CheckCoffeMachineBroken1_a5f99bc6.ltl,REALIZABLE,0.039,0
CheckCoffeMachine_3461125b.ltl,UNREALIZABLE,0.04,1
CheckCoffeMachine_f3987563.ltl,UNREALIZABLE,0.039,1
CheckDoor_c2b9e44d.ltl,UNREALIZABLE,0.034,1
CheckHeating_2418b67e.ltl,UNREALIZABLE,0.04,1
CheckHeating_3461125b.ltl,UNREALIZABLE,0.032,1
CheckLight_007df645.ltl,UNREALIZABLE,0.038,1
CheckLight_aeb1d897.ltl,UNREALIZABLE,0.041,1
CheckRoom_06e9cad4.ltl,UNREALIZABLE,0.034,1
CheckRoom_2c5b09da.ltl,UNREALIZABLE,0.033,1
CheckRoom_3916ec59.ltl,UNREALIZABLE,0.038,1
CheckRoom_70523fbe.ltl,UNREALIZABLE,0.042,1
CheckShades_1a2942e3.ltl,UNREALIZABLE,0.039,1
CheckShades_3461125b.ltl,UNREALIZABLE,0.031,1
CheckShades_4d4ca5c4.ltl,UNREALIZABLE,0.015,1
CheckShades_aeb1d897.ltl,UNREALIZABLE,0.023,1
CheckTime_3916ec59.ltl,UNREALIZABLE,0.012,1
CheckTime_4b5e6eaa.ltl,UNREALIZABLE,0.019,1
CheckTime_54e1f7d2.ltl,UNREALIZABLE,0.016,1
CheckTimer_54e1f7d2.ltl,UNREALIZABLE,0.015,1
CheckTimer_fa8592c8.ltl,UNREALIZABLE,0.014,1
CheckWarnlightBroken1_70523fbe.ltl,REALIZABLE,0.017,0
CheckWarnlight_1cf58fc1.ltl,UNREALIZABLE,0.015,1
CheckWarnlight_4b5a2bad.ltl,UNREALIZABLE,0.015,1
