solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
real-any-backward	Alarm_2d1010f8.ltl	1	REALIZABLE	0.02153685298981145	false		17
real-any-backward	CheckAlarm_6bea956e.ltl				true	UNKNOWN	17
real-any-backward	CheckCoffeMachineBroken1_a5f99bc6.ltl	1	REALIZABLE	0.033479574020020664	false		17
real-any-backward	CheckCoffeMachine_3461125b.ltl				true	UNKNOWN	17
real-any-backward	CheckShades_1a2942e3.ltl				true	UNKNOWN	17
real-any-backward	CheckTimer_54e1f7d2.ltl				true	UNKNOWN	17
real-any-backward	Core_fa4d4ce3.ltl				true	UNKNOWN	17
real-any-backward	EscalatorSmart.ltl	1	REALIZABLE	0.02253444102825597	false		17
real-any-backward	FelixSpecFixed2.2.core_fa8592c8.ltl				true	UNKNOWN	17
real-any-backward	OneCounterInRangeA2.ltl				true	UNKNOWN	17
real-any-backward	SPIReadSdi.ltl	1	REALIZABLE	0.0338123959954828	false		17
real-any-backward	Sensor.ltl	1	REALIZABLE	0.13579824101179838	false		17
real-any-backward	Window2Min_88c5c1c3.ltl	1	REALIZABLE	0.019785304029937834	false		17
real-any-backward	WindowMin_a5f99bc6.ltl	1	REALIZABLE	0.03953745699254796	false		17
real-any-backward	abcg_arbiter_pb_2_pe_.ltl	1	REALIZABLE	0.10242376301903278	false		17
real-any-backward	amba_decomposed_encode_pb_4_pe_.ltl	1	REALIZABLE	0.020992617995943874	false		17
real-any-backward	amba_decomposed_lock_pb_3_pe_.ltl	1	REALIZABLE	0.03942425298737362	false		17
real-any-backward	amba_decomposed_shift.ltl	1	REALIZABLE	0.03526351600885391	false		17
real-any-backward	arbiter-paper-unreal-unreal.ltl				true	UNKNOWN	17
real-any-backward	arbiter_pb_2_pe_.ltl	1	REALIZABLE	0.02127073798328638	false		17
real-any-backward	arbiter_with_cancel_pb_1_pe_.ltl	1	REALIZABLE	0.03343349299393594	false		17
real-any-backward	chomp_pb_2_2_pe_.ltl	1	REALIZABLE	0.08593032095814124	false		17
real-any-backward	full_arbiter_unreal1_pb_3_2_pe_.ltl				true	UNKNOWN	17
real-any-backward	lift_pb_2_pe_.ltl	1	REALIZABLE	0.04965888598235324	false		17
real-any-backward	lift_wrong_physics_unreal_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-backward	lilydemo04_modified.ltl				true	UNKNOWN	17
real-any-backward	load_balancer_unreal1_pb_2_2_pe_.ltl				true	UNKNOWN	17
real-any-backward	load_balancer_unreal1_pb_2_8_pe_.ltl				true	UNKNOWN	17
real-any-backward	load_balancer_unreal1_pb_3_10_pe_.ltl				true	UNKNOWN	17
real-any-backward	load_balancer_unreal1_pb_3_8_pe_.ltl				true	UNKNOWN	17
real-any-backward	ltl2dba11.ltl	1	REALIZABLE	0.020223334024194628	false		17
real-any-backward	ltl2dba_R_pb_1_pe_.ltl	1	REALIZABLE	0.030646704020909965	false		17
real-any-backward	ltl2dba_R_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-backward	ltl2dba_theta_pb_7_pe_.ltl				true	UNKNOWN	17
