solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
real-any-spot-guarded-sparse	Alarm_2d1010f8.ltl	1	REALIZABLE	0.024947294034063816	false		17
real-any-spot-guarded-sparse	CheckAlarm_6bea956e.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	CheckCoffeMachineBroken1_a5f99bc6.ltl	1	REALIZABLE	0.02161784697091207	false		17
real-any-spot-guarded-sparse	CheckCoffeMachine_3461125b.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	CheckShades_1a2942e3.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	CheckTimer_54e1f7d2.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	Core_fa4d4ce3.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	EscalatorSmart.ltl	1	REALIZABLE	0.031296839006245136	false		17
real-any-spot-guarded-sparse	FelixSpecFixed2.2.core_fa8592c8.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	OneCounterInRangeA2.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	SPIReadSdi.ltl	1	REALIZABLE	0.020047018013428897	false		17
real-any-spot-guarded-sparse	Sensor.ltl	1	REALIZABLE	0.6620797450304963	false		17
real-any-spot-guarded-sparse	Window2Min_88c5c1c3.ltl	1	REALIZABLE	0.01994888298213482	false		17
real-any-spot-guarded-sparse	WindowMin_a5f99bc6.ltl	1	REALIZABLE	0.019302311004139483	false		17
real-any-spot-guarded-sparse	abcg_arbiter_pb_2_pe_.ltl	1	REALIZABLE	0.14973547297995538	false		17
real-any-spot-guarded-sparse	amba_decomposed_encode_pb_4_pe_.ltl	1	REALIZABLE	0.021324868022929877	false		17
real-any-spot-guarded-sparse	amba_decomposed_lock_pb_3_pe_.ltl	1	REALIZABLE	0.01658051402773708	false		17
real-any-spot-guarded-sparse	amba_decomposed_shift.ltl	1	REALIZABLE	0.018446550995577127	false		17
real-any-spot-guarded-sparse	arbiter-paper-unreal-unreal.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	arbiter_pb_2_pe_.ltl	1	REALIZABLE	0.021899133047554642	false		17
real-any-spot-guarded-sparse	arbiter_with_cancel_pb_1_pe_.ltl	1	REALIZABLE	0.02124334400286898	false		17
real-any-spot-guarded-sparse	chomp_pb_2_2_pe_.ltl	1	REALIZABLE	0.051686138031072915	false		17
real-any-spot-guarded-sparse	full_arbiter_unreal1_pb_3_2_pe_.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	lift_pb_2_pe_.ltl	1	REALIZABLE	0.022142088040709496	false		17
real-any-spot-guarded-sparse	lift_wrong_physics_unreal_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	lilydemo04_modified.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	load_balancer_unreal1_pb_2_2_pe_.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	load_balancer_unreal1_pb_2_8_pe_.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	load_balancer_unreal1_pb_3_10_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	load_balancer_unreal1_pb_3_8_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	ltl2dba11.ltl	1	REALIZABLE	0.02193358598742634	false		17
real-any-spot-guarded-sparse	ltl2dba_R_pb_1_pe_.ltl	1	REALIZABLE	0.017998437047936022	false		17
real-any-spot-guarded-sparse	ltl2dba_R_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	ltl2dba_theta_pb_7_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	narylatch_pb_11_pe_.ltl	1	REALIZABLE	0.02078130398876965	false		17
real-any-spot-guarded-sparse	narylatch_pb_16_pe_.ltl	1	REALIZABLE	0.02224113798001781	false		17
real-any-spot-guarded-sparse	narylatch_pb_32_pe_.ltl	1	REALIZABLE	0.033083702030126005	false		17
real-any-spot-guarded-sparse	precise-reachability-real.ltl	1	REALIZABLE	0.12221070501254871	false		17
real-any-spot-guarded-sparse	prioritized_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	robot-grid-reach-repeated-with-obstacles-1d-real.ltl	1	REALIZABLE	0.03961938101565465	false		17
real-any-spot-guarded-sparse	F-G-contradiction-15.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	FelixSpecFixed3.core_b209ff21.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	GF-G-contradiction2.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	KitchenTimerV9.ltl	1	REALIZABLE	0.08889568195445463	false		17
real-any-spot-guarded-sparse	Lights2_b02056d6.ltl	1	REALIZABLE	0.21928201901027933	false		17
real-any-spot-guarded-sparse	LightsTotal_2c5b09da.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	MorningMin_d6c5ac79.ltl	1	REALIZABLE	0.03179793298477307	false		17
real-any-spot-guarded-sparse	OneCounter.ltl	5	REALIZABLE	1.501546984014567	false		17
real-any-spot-guarded-sparse	OneCounterGuiA5.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	SingleContoller_d65ed84e.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	TwoCounters3.ltl	5	REALIZABLE	1.2967257480486296	false		17
real-any-spot-guarded-sparse	TwoCountersDisButA5.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	TwoCountersGui.ltl				true	UNKNOWN	17
real-any-spot-guarded-sparse	amba_decomposed_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
real-any-spot-guarded-sparse	amba_decomposed_encode_pb_16_pe_.ltl	1	REALIZABLE	0.6857116830069572	false		17
real-any-spot-guarded-sparse	amba_decomposed_lock_pb_11_pe_.ltl	1	REALIZABLE	0.051040162972640246	false		17
real-any-spot-guarded-sparse	amba_decomposed_lock_pb_12_pe_.ltl	1	REALIZABLE	0.09000054298667237	false		17
real-any-spot-guarded-sparse	amba_decomposed_lock_pb_13_pe_.ltl	1	REALIZABLE	0.22174496698426083	false		17
real-any-spot-guarded-sparse	arbiter_pb_5_pe_.ltl	17	REALIZABLE	7.850754964980297	false	REALIZABLE	17
real-any-spot-guarded-sparse	arbiter_with_buffer_pb_4_pe_.ltl	1	REALIZABLE	0.07284767500823364	false		17
real-any-spot-guarded-sparse	chain-simple-30-real.ltl	1	REALIZABLE	0.5912886189762503	false		17
real-any-spot-guarded-sparse	chain-simple-50-real.ltl	5	REALIZABLE	1.0484509330126457	false		17
