solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
real-small-spot-guarded-spot-eager	Alarm_2d1010f8.ltl	1	REALIZABLE	0.05579224700341001	false		17
real-small-spot-guarded-spot-eager	CheckAlarm_6bea956e.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	CheckCoffeMachineBroken1_a5f99bc6.ltl	1	REALIZABLE	0.10459040402201936	false		17
real-small-spot-guarded-spot-eager	CheckCoffeMachine_3461125b.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	CheckShades_1a2942e3.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	CheckTimer_54e1f7d2.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	Core_fa4d4ce3.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	EscalatorSmart.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	FelixSpecFixed2.2.core_fa8592c8.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	OneCounterInRangeA2.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	SPIReadSdi.ltl	1	REALIZABLE	0.021092021954245865	false		17
real-small-spot-guarded-spot-eager	Sensor.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	Window2Min_88c5c1c3.ltl	1	REALIZABLE	0.03143890295177698	false		17
real-small-spot-guarded-spot-eager	WindowMin_a5f99bc6.ltl	1	REALIZABLE	0.080291973950807	false		17
real-small-spot-guarded-spot-eager	abcg_arbiter_pb_2_pe_.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	amba_decomposed_encode_pb_4_pe_.ltl	1	REALIZABLE	0.0291741139953956	false		17
real-small-spot-guarded-spot-eager	amba_decomposed_lock_pb_3_pe_.ltl	1	REALIZABLE	0.0318140639574267	false		17
real-small-spot-guarded-spot-eager	amba_decomposed_shift.ltl	1	REALIZABLE	0.02596707799239084	false		17
real-small-spot-guarded-spot-eager	arbiter-paper-unreal-unreal.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	arbiter_pb_2_pe_.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	arbiter_with_cancel_pb_1_pe_.ltl	1	REALIZABLE	0.058066450990736485	false		17
real-small-spot-guarded-spot-eager	chomp_pb_2_2_pe_.ltl	1	REALIZABLE	0.1642967259977013	false		17
real-small-spot-guarded-spot-eager	full_arbiter_unreal1_pb_3_2_pe_.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	lift_pb_2_pe_.ltl	1	REALIZABLE	0.898278284992557	false		17
real-small-spot-guarded-spot-eager	lift_wrong_physics_unreal_pb_5_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	lilydemo04_modified.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	load_balancer_unreal1_pb_2_2_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	load_balancer_unreal1_pb_2_8_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	load_balancer_unreal1_pb_3_10_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	load_balancer_unreal1_pb_3_8_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	ltl2dba11.ltl	1	REALIZABLE	0.018466713023371994	false		17
real-small-spot-guarded-spot-eager	ltl2dba_R_pb_1_pe_.ltl	1	REALIZABLE	0.02129563898779452	false		17
real-small-spot-guarded-spot-eager	ltl2dba_R_pb_5_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	ltl2dba_theta_pb_7_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	narylatch_pb_11_pe_.ltl	1	REALIZABLE	0.13331134000327438	false		17
real-small-spot-guarded-spot-eager	narylatch_pb_16_pe_.ltl	1	REALIZABLE	0.16515261598397046	false		17
real-small-spot-guarded-spot-eager	narylatch_pb_32_pe_.ltl	1	REALIZABLE	0.3074954809853807	false		17
real-small-spot-guarded-spot-eager	precise-reachability-real.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	prioritized_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	robot-grid-reach-repeated-with-obstacles-1d-real.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	F-G-contradiction-15.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	FelixSpecFixed3.core_b209ff21.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	GF-G-contradiction2.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	KitchenTimerV9.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	Lights2_b02056d6.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	LightsTotal_2c5b09da.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	MorningMin_d6c5ac79.ltl	17	REALIZABLE	5.9134130659513175	false	REALIZABLE	17
real-small-spot-guarded-spot-eager	OneCounter.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	OneCounterGuiA5.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	SingleContoller_d65ed84e.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	TwoCounters3.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	TwoCountersDisButA5.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	TwoCountersGui.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	amba_decomposed_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	amba_decomposed_encode_pb_16_pe_.ltl	5	REALIZABLE	1.800632905040402	false		17
real-small-spot-guarded-spot-eager	amba_decomposed_lock_pb_11_pe_.ltl	1	REALIZABLE	0.1255364659591578	false		17
real-small-spot-guarded-spot-eager	amba_decomposed_lock_pb_12_pe_.ltl	1	REALIZABLE	0.22383359202649444	false		17
real-small-spot-guarded-spot-eager	amba_decomposed_lock_pb_13_pe_.ltl	1	REALIZABLE	0.41268940101144835	false		17
real-small-spot-guarded-spot-eager	arbiter_pb_5_pe_.ltl				true	UNKNOWN	17
real-small-spot-guarded-spot-eager	arbiter_with_buffer_pb_4_pe_.ltl	17	REALIZABLE	10.468437935982365	false	REALIZABLE	17
real-small-spot-guarded-spot-eager	chain-simple-30-real.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	chain-simple-50-real.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	chomp_pb_3_2_pe_.ltl	17	REALIZABLE	14.811071660951711	false	REALIZABLE	17
real-small-spot-guarded-spot-eager	collector_v2_pb_12_pe_.ltl				true	TIMEOUT	17
real-small-spot-guarded-spot-eager	full_arbiter_unreal1_pb_2_14_pe_.ltl				true	UNKNOWN	17
