solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
unreal-formula-backward	Alarm_2d1010f8.ltl				true	UNKNOWN	17
unreal-formula-backward	CheckAlarm_6bea956e.ltl	1	UNREALIZABLE	0.024363525968510658	false		17
unreal-formula-backward	CheckCoffeMachineBroken1_a5f99bc6.ltl				true	UNKNOWN	17
unreal-formula-backward	CheckCoffeMachine_3461125b.ltl	1	UNREALIZABLE	0.03026297502219677	false		17
unreal-formula-backward	CheckShades_1a2942e3.ltl	1	UNREALIZABLE	0.02989671303657815	false		17
unreal-formula-backward	CheckTimer_54e1f7d2.ltl	1	UNREALIZABLE	0.029788640968035907	false		17
unreal-formula-backward	Core_fa4d4ce3.ltl	1	UNREALIZABLE	0.033943534013815224	false		17
unreal-formula-backward	EscalatorSmart.ltl				true	TIMEOUT	17
unreal-formula-backward	FelixSpecFixed2.2.core_fa8592c8.ltl	1	UNREALIZABLE	0.02217136899707839	false		17
unreal-formula-backward	OneCounterInRangeA2.ltl	1	UNREALIZABLE	0.032585881010163575	false		17
unreal-formula-backward	SPIReadSdi.ltl				true	UNKNOWN	17
unreal-formula-backward	Sensor.ltl				true	UNKNOWN	17
unreal-formula-backward	Window2Min_88c5c1c3.ltl				true	UNKNOWN	17
unreal-formula-backward	WindowMin_a5f99bc6.ltl				true	UNKNOWN	17
unreal-formula-backward	abcg_arbiter_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-backward	amba_decomposed_encode_pb_4_pe_.ltl				true	UNKNOWN	17
unreal-formula-backward	amba_decomposed_lock_pb_3_pe_.ltl				true	UNKNOWN	17
unreal-formula-backward	amba_decomposed_shift.ltl				true	UNKNOWN	17
unreal-formula-backward	arbiter-paper-unreal-unreal.ltl	1	UNREALIZABLE	0.09723569400375709	false		17
unreal-formula-backward	arbiter_pb_2_pe_.ltl				true	UNKNOWN	17
unreal-formula-backward	arbiter_with_cancel_pb_1_pe_.ltl				true	UNKNOWN	17
unreal-formula-backward	chomp_pb_2_2_pe_.ltl				true	UNKNOWN	17
unreal-formula-backward	full_arbiter_unreal1_pb_3_2_pe_.ltl	1	UNREALIZABLE	0.02646028803428635	false		17
unreal-formula-backward	lift_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-backward	lift_wrong_physics_unreal_pb_5_pe_.ltl	1	UNREALIZABLE	0.0381308370269835	false		17
unreal-formula-backward	lilydemo04_modified.ltl	1	UNREALIZABLE	0.024268741952255368	false		17
unreal-formula-backward	load_balancer_unreal1_pb_2_2_pe_.ltl	1	UNREALIZABLE	0.016918370965868235	false		17
unreal-formula-backward	load_balancer_unreal1_pb_2_8_pe_.ltl	1	UNREALIZABLE	0.04368005401920527	false		17
unreal-formula-backward	load_balancer_unreal1_pb_3_10_pe_.ltl	5	UNREALIZABLE	2.1420458770007826	false		17
