solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
unreal-formula-spot-guarded-spot-eager	Alarm_2d1010f8.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	CheckAlarm_6bea956e.ltl	1	UNREALIZABLE	0.20393329596845433	false		17
unreal-formula-spot-guarded-spot-eager	CheckCoffeMachineBroken1_a5f99bc6.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	CheckCoffeMachine_3461125b.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	CheckShades_1a2942e3.ltl	5	UNREALIZABLE	3.475147225020919	false		17
unreal-formula-spot-guarded-spot-eager	CheckTimer_54e1f7d2.ltl	1	UNREALIZABLE	0.026894241978880018	false		17
unreal-formula-spot-guarded-spot-eager	Core_fa4d4ce3.ltl				true	MEMOUT	17
unreal-formula-spot-guarded-spot-eager	EscalatorSmart.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	FelixSpecFixed2.2.core_fa8592c8.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	OneCounterInRangeA2.ltl	1	UNREALIZABLE	0.23981730500236154	false		17
unreal-formula-spot-guarded-spot-eager	SPIReadSdi.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded-spot-eager	Sensor.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	Window2Min_88c5c1c3.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	WindowMin_a5f99bc6.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	abcg_arbiter_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	amba_decomposed_encode_pb_4_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	amba_decomposed_lock_pb_3_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	amba_decomposed_shift.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded-spot-eager	arbiter-paper-unreal-unreal.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	arbiter_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	arbiter_with_cancel_pb_1_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	chomp_pb_2_2_pe_.ltl				true	MEMOUT	17
unreal-formula-spot-guarded-spot-eager	full_arbiter_unreal1_pb_3_2_pe_.ltl	1	UNREALIZABLE	0.023406091961078346	false		17
unreal-formula-spot-guarded-spot-eager	lift_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded-spot-eager	lift_wrong_physics_unreal_pb_5_pe_.ltl				true	MEMOUT	17
unreal-formula-spot-guarded-spot-eager	lilydemo04_modified.ltl	1	UNREALIZABLE	0.035355361993424594	false		17
unreal-formula-spot-guarded-spot-eager	load_balancer_unreal1_pb_2_2_pe_.ltl				true	TIMEOUT	17
