solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
unreal-formula-spot-guarded	Alarm_2d1010f8.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	CheckAlarm_6bea956e.ltl	1	UNREALIZABLE	0.021419770026113838	false		17
unreal-formula-spot-guarded	CheckCoffeMachineBroken1_a5f99bc6.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	CheckCoffeMachine_3461125b.ltl	1	UNREALIZABLE	0.039484296983573586	false		17
unreal-formula-spot-guarded	CheckShades_1a2942e3.ltl	1	UNREALIZABLE	0.041338587005157024	false		17
unreal-formula-spot-guarded	CheckTimer_54e1f7d2.ltl	1	UNREALIZABLE	0.039829079003538936	false		17
unreal-formula-spot-guarded	Core_fa4d4ce3.ltl	1	UNREALIZABLE	0.051889320951886475	false		17
unreal-formula-spot-guarded	EscalatorSmart.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	FelixSpecFixed2.2.core_fa8592c8.ltl	1	UNREALIZABLE	0.04323999001644552	false		17
unreal-formula-spot-guarded	OneCounterInRangeA2.ltl	1	UNREALIZABLE	0.0280710129882209	false		17
unreal-formula-spot-guarded	SPIReadSdi.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	Sensor.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	Window2Min_88c5c1c3.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	WindowMin_a5f99bc6.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	abcg_arbiter_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	amba_decomposed_encode_pb_4_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	amba_decomposed_lock_pb_3_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	amba_decomposed_shift.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	arbiter-paper-unreal-unreal.ltl	1	UNREALIZABLE	0.055159132985863835	false		17
unreal-formula-spot-guarded	arbiter_pb_2_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	arbiter_with_cancel_pb_1_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	chomp_pb_2_2_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	full_arbiter_unreal1_pb_3_2_pe_.ltl	1	UNREALIZABLE	0.022608222963754088	false		17
unreal-formula-spot-guarded	lift_pb_2_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	lift_wrong_physics_unreal_pb_5_pe_.ltl	1	UNREALIZABLE	0.03585905098589137	false		17
unreal-formula-spot-guarded	lilydemo04_modified.ltl	1	UNREALIZABLE	0.028787443006876856	false		17
unreal-formula-spot-guarded	load_balancer_unreal1_pb_2_2_pe_.ltl	1	UNREALIZABLE	0.02622334798797965	false		17
unreal-formula-spot-guarded	load_balancer_unreal1_pb_2_8_pe_.ltl	1	UNREALIZABLE	0.06107057101326063	false		17
unreal-formula-spot-guarded	load_balancer_unreal1_pb_3_10_pe_.ltl	5	UNREALIZABLE	2.097976478980854	false		17
unreal-formula-spot-guarded	load_balancer_unreal1_pb_3_8_pe_.ltl	1	UNREALIZABLE	0.46109136298764497	false		17
unreal-formula-spot-guarded	ltl2dba11.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	ltl2dba_R_pb_1_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	ltl2dba_R_pb_5_pe_.ltl	1	UNREALIZABLE	0.09437348897336051	false		17
unreal-formula-spot-guarded	ltl2dba_theta_pb_7_pe_.ltl	1	UNREALIZABLE	0.05349929298972711	false		17
unreal-formula-spot-guarded	narylatch_pb_11_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	narylatch_pb_16_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	narylatch_pb_32_pe_.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	precise-reachability-real.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	prioritized_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	robot-grid-reach-repeated-with-obstacles-1d-real.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	F-G-contradiction-15.ltl	1	UNREALIZABLE	0.48638385703088716	false		17
unreal-formula-spot-guarded	FelixSpecFixed3.core_b209ff21.ltl	1	UNREALIZABLE	0.04629677103366703	false		17
unreal-formula-spot-guarded	GF-G-contradiction2.ltl	1	UNREALIZABLE	0.22495015698950738	false		17
unreal-formula-spot-guarded	KitchenTimerV9.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	Lights2_b02056d6.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	LightsTotal_2c5b09da.ltl	1	UNREALIZABLE	0.04473870899528265	false		17
unreal-formula-spot-guarded	MorningMin_d6c5ac79.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	OneCounter.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	OneCounterGuiA5.ltl	1	UNREALIZABLE	0.10620826500235125	false		17
unreal-formula-spot-guarded	SingleContoller_d65ed84e.ltl	1	UNREALIZABLE	0.045480066968593746	false		17
unreal-formula-spot-guarded	TwoCounters3.ltl				true	UNKNOWN	17
unreal-formula-spot-guarded	TwoCountersDisButA5.ltl	5	UNREALIZABLE	1.0370177470031194	false		17
unreal-formula-spot-guarded	TwoCountersGui.ltl	5	UNREALIZABLE	2.256528515019454	false		17
unreal-formula-spot-guarded	amba_decomposed_arbiter_pb_5_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	amba_decomposed_encode_pb_16_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	amba_decomposed_lock_pb_11_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	amba_decomposed_lock_pb_12_pe_.ltl				true	TIMEOUT	17
unreal-formula-spot-guarded	amba_decomposed_lock_pb_13_pe_.ltl				true	TIMEOUT	17
