solver_label	instance	smallest_cap_solved	decisive_result	decisive_seconds	still_unsolved_at_max_cap	failure_kind_at_max_cap	max_cap_s
race2-best	06.ltl	17	REALIZABLE	16.217585402016994	false	REALIZABLE	17
race2-best	07.ltl	17	REALIZABLE	15.037759847007692	false	REALIZABLE	17
race2-best	08.ltl				true	TIMEOUT	17
race2-best	Alarm_2d1010f8.ltl	17	REALIZABLE	0.024127081967890263	false	REALIZABLE	17
race2-best	Alarm_a5f99bc6.ltl				true	TIMEOUT	17
race2-best	Automata16S.ltl				true	TIMEOUT	17
race2-best	Automata32S.ltl				true	TIMEOUT	17
race2-best	CheckAlarm_6bea956e.ltl	17	UNREALIZABLE	0.040022939967457205	false	UNREALIZABLE	17
race2-best	CheckCoffeMachineBroken1_a5f99bc6.ltl	17	REALIZABLE	0.03580579697154462	false	REALIZABLE	17
race2-best	CheckCoffeMachine_3461125b.ltl	17	UNREALIZABLE	0.033104214002378285	false	UNREALIZABLE	17
race2-best	CheckShades_1a2942e3.ltl	17	UNREALIZABLE	0.03332496399525553	false	UNREALIZABLE	17
race2-best	CheckTimer_54e1f7d2.ltl	17	UNREALIZABLE	0.03321760200196877	false	UNREALIZABLE	17
race2-best	Core_fa4d4ce3.ltl	17	UNREALIZABLE	0.041789968963712454	false	UNREALIZABLE	17
race2-best	Demo1_06e9cad4.ltl				true	TIMEOUT	17
race2-best	Demo1_2c5b09da.ltl				true	TIMEOUT	17
race2-best	Demo1_63831f8c.ltl				true	TIMEOUT	17
race2-best	Demo1_c2b9e44d.ltl				true	TIMEOUT	17
race2-best	Demo1_d65ed84e.ltl				true	TIMEOUT	17
race2-best	EscalatorSmart.ltl	17	REALIZABLE	0.039644778007641435	false	REALIZABLE	17
race2-best	F-G-contradiction-110.ltl				true	TIMEOUT	17
race2-best	F-G-contradiction-111.ltl				true	TIMEOUT	17
race2-best	F-G-contradiction-112.ltl				true	TIMEOUT	17
race2-best	F-G-contradiction-113.ltl				true	TIMEOUT	17
race2-best	F-G-contradiction-114.ltl				true	TIMEOUT	17
race2-best	F-G-contradiction-15.ltl	17	UNREALIZABLE	0.43150296597741544	false	UNREALIZABLE	17
race2-best	FelixSpecFixed2.2.core_fa8592c8.ltl	17	UNREALIZABLE	0.02369692304637283	false	UNREALIZABLE	17
race2-best	FelixSpecFixed2_fa4d4ce3.ltl				true	TIMEOUT	17
race2-best	FelixSpecFixed3.core_b209ff21.ltl	17	UNREALIZABLE	0.059856411011423916	false	UNREALIZABLE	17
race2-best	FelixSpecFixed3_b0840146.ltl				true	TIMEOUT	17
race2-best	FelixSpecFixed4_3916ec59.ltl				true	TIMEOUT	17
race2-best	FelixSpecFixed5_f82794da.ltl				true	TIMEOUT	17
race2-best	FelixSpecFixed_2418b67e.ltl				true	TIMEOUT	17
race2-best	Full_f1477cc5.ltl				true	TIMEOUT	17
race2-best	GF-G-contradiction2.ltl	17	UNREALIZABLE	0.22290557500673458	false	UNREALIZABLE	17
race2-best	GF-G-contradiction6.ltl	17	UNREALIZABLE	14.523939550039358	false	UNREALIZABLE	17
race2-best	GF-G-contradiction7.ltl	17	UNREALIZABLE	14.145912645966746	false	UNREALIZABLE	17
race2-best	IntendDemo_42dc4fff.ltl	17	UNREALIZABLE	0.07489039399661124	false	UNREALIZABLE	17
race2-best	KitchenTimerV9.ltl	17	REALIZABLE	0.12222745298640803	false	REALIZABLE	17
race2-best	LedMatrix.ltl				true	TIMEOUT	17
race2-best	Light_a50cadd7.ltl	17	UNREALIZABLE	0.03530265297740698	false	UNREALIZABLE	17
race2-best	Lights2_b02056d6.ltl	17	REALIZABLE	0.22020513197639957	false	REALIZABLE	17
race2-best	LightsTotal_2c5b09da.ltl	17	UNREALIZABLE	0.04618402197957039	false	UNREALIZABLE	17
race2-best	Morning2_06e9cad4.ltl				true	TIMEOUT	17
race2-best	Morning2_2c5b09da.ltl				true	TIMEOUT	17
race2-best	Morning2_407db2cc.ltl				true	TIMEOUT	17
race2-best	Morning2_63831f8c.ltl				true	TIMEOUT	17
race2-best	Morning2_68c86764.ltl				true	TIMEOUT	17
race2-best	Morning2_d65ed84e.ltl				true	TIMEOUT	17
race2-best	Morning2s_06cf2373.ltl				true	TIMEOUT	17
race2-best	Morning2s_06e9cad4.ltl				true	TIMEOUT	17
race2-best	Morning2s_2c5b09da.ltl				true	TIMEOUT	17
